* GTE (Global Tropospheric Experiment) is a project of NASA Langley Research
* Center (NASA-LaRC).  Ozonesonde launches are one component of the data
* collected in support of this mission.

* GTE Station: Easter Island, Chile

* Crespo, Juan,Chile
* Ozone/Ecc sonde
* Pem-Tropics
* Latitude of Sonde Launch Station:  -27.17 South
* Longitude of Sonde Launch Station: -109.42 West
* Altitude of Sonde Launch Station: 69.2 Meters
* The geometric altitude, integrated column ozone
* and ozone mixing ratio were calculated by NASA
* as data was not provided by Easter.  All sonde
* levels are reported. 

#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
1997-01-20,EIMO,1,"Crespo, Juan Climatological Services Office, Santiago, Chile"
* NASA-LaRC Project Co-ordinator: Vince Brackett, NASA-LaRC

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,441,EasterIsland,CHL,EIC

#INSTRUMENT
Name,Model,Number
ECC,na,na

#LOCATION
Latitude,Longitude,Height
-27.17,-109.42,69.2

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2006-03-13,00:00:00


#PROFILE
Pressure,O3PartialPressure,Temperature,GPHeight,RelativeHumidity,
1015.1,1.44,25.7,49,66,
989.8,1.51,21.6,271,76,
959.8,1.53,19.3,537,80,
927.3,1.49,17.5,833,80,
893.1,1.46,16.1,1154,74,
863.5,1.42,13.9,1440,77,
833.7,1.32,12.5,1736,80,
803.3,1.27,11,2047,84,
776.7,1.35,11.9,2329,37,
748.6,1.9,10.6,2637,28,
720.4,1.51,8,2955,62,
693.8,1.36,5.8,3264,62,
667.3,1.21,4.3,3584,70,
641.9,1.4,2.6,3899,54,
616.4,2.1,1.8,4226,30,
593,1.64,0,4536,49,
569.6,1.41,-2.2,4858,56,
546.5,1.38,-4.7,5186,55,
525.3,1.72,-6,5497,40,
503.9,1.97,-7.6,5820,28,
482.5,2.01,-9.1,6158,15,
462.4,2.13,-10.9,6485,23,
443.3,1.93,-12.6,6808,20,
424.9,1.68,-15.1,7131,20,
407.1,1.52,-17.8,7452,20,
390.3,1.3,-20.2,7766,17,
373.7,1.22,-23.1,8086,16,
356.8,1.1,-26,8422,25,
341,1.1,-28.9,8749,22,
326.9,1.13,-31.3,9050,18,
313.4,1.1,-33.6,9345,23,
300.9,1.06,-35.8,9630,30,
287.8,1.08,-38.4,9937,48,
276,0.95,-40.3,10225,54,
264.8,0.84,-41.9,10505,35,
254.6,0.83,-44.5,10770,32,
244.5,0.8,-46.3,11042,26,
234.5,0.78,-48.2,11316,24,
224.7,0.67,-50.7,11596,31,
215.4,0.62,-53.1,11871,33,
206.1,0.61,-55.7,12152,32,
197.4,0.62,-57.2,12425,25,
189.3,0.62,-58.1,12690,15,
181.3,0.65,-60,12962,8,
173.5,0.75,-61.7,13234,7,
166.3,0.78,-62.9,13496,6,
158.9,0.89,-63.8,13776,6,
152,1.25,-63,14047,5,
145,1.49,-65,14337,4,
138.2,1.45,-67.4,14628,5,
131.7,1.56,-68.8,14918,5,
125.3,1.62,-68.8,15215,6,
119.2,1.54,-70.2,15512,5,
113.5,1.52,-71,15805,4,
107.9,1.39,-71.5,16103,3,
102.6,1.35,-71.4,16398,2,
97.1,1.35,-73.5,16721,2,
91.7,1.38,-75.3,17055,1,
87.2,1.67,-74.6,17348,1,
83,2.27,-71.9,17640,1,
78.8,2.67,-71.2,17943,1,
74.8,3.02,-70.6,18252,1,
71.2,3.3,-70.6,18549,1,
67.5,3.34,-71.4,18863,1,
63.9,3.81,-70.8,19181,1,
60.6,4.39,-69.1,19502,1,
57.5,5.17,-67,19812,1,
54.6,5.64,-66.3,20131,1,
51.8,6.07,-65.7,20454,1,
49,6.54,-65.3,20791,1,
46.3,6.88,-65.4,21127,1,
44,8.01,-63.1,21445,1,
41.7,8.83,-62.6,21768,1,
39.6,9.48,-61.3,22099,1,
37.4,10,-60.6,22456,1,
35.4,10.78,-59.3,22796,1,
33.5,11.75,-56.6,23135,1,
31.7,12.31,-55.3,23481,1,
30,12.25,-55.7,23840,1,
28.4,12.53,-55.5,24190,1,
26.9,12.71,-55.3,24531,1,
25.4,12.94,-54.6,24891,1,
24.1,12.91,-54.1,25244,1,
22.8,13.11,-52.9,25599,1,
21.6,13.11,-52.5,25958,1,
20.4,13.43,-50,26312,1,
19.3,13.25,-50,26695,1,
18.2,12.98,-50,27074,1,
17.2,12.67,-50.2,27445,1,
16.3,12.47,-47.8,27800,1,
15.4,12.27,-45.8,28151,1,
14.6,11.91,-43.5,28532,1,
13.7,11.78,-41.8,28929,1,
13,11.18,-42,29316,1,
12.3,10.59,-41.9,29702,1,





