* GTE (Global Tropospheric Experiment) is a project of NASA Langley Research
* Center (NASA-LaRC).  Ozonesonde launches are one component of the data
* collected in support of this mission.

* GTE Station: Easter Island, Chile

* Crespo, Juan,Chile
* Ozone/Ecc sonde
* Pem-Tropics
* Latitude of Sonde Launch Station:  -27.17 South
* Longitude of Sonde Launch Station: -109.42 West
* Altitude of Sonde Launch Station: 69.2 Meters
* The geometric altitude, integrated column ozone
* and ozone mixing ratio were calculated by NASA
* as data was not provided by Easter.  All sonde
* levels are reported. 

#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
1997-01-20,EIMO,1,"Crespo, Juan Climatological Services Office, Santiago, Chile"
* NASA-LaRC Project Co-ordinator: Vince Brackett, NASA-LaRC

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,441,EasterIsland,CHL,EIC

#INSTRUMENT
Name,Model,Number
ECC,na,na

#LOCATION
Latitude,Longitude,Height
-27.17,-109.42,69.2

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2006-03-24,23:43


#PROFILE
Pressure,O3PartialPressure,Temperature,GPHeight,RelativeHumidity,
1016,1.21,25.2,49,69,
986.4,1.27,20.9,307,77,
952.5,1.3,18.6,608,76,
918.5,1.5,17.4,920,55,
887,1.58,15.3,1217,56,
855.5,1.58,12.8,1522,49,
824.8,1.41,10.3,1828,75,
796.8,1.35,8.3,2114,86,
768.9,2.28,9.3,2410,13,
740.4,2.41,9.9,2723,8,
713.4,2.41,9.9,3031,7,
686.6,2.08,8,3348,12,
660.8,1.92,6.2,3662,5,
637.2,2.03,4.5,3959,7,
612.6,1.52,2.8,4278,24,
588.9,1.22,1.2,4597,14,
568.1,1.13,-0.4,4885,18,
547.3,1.11,-2.6,5182,22,
526.8,1.3,-5.4,5482,28,
505.3,1.44,-7.4,5808,12,
485,1.67,-8.9,6126,39,
465,1.61,-11.2,6450,7,
446.1,1.55,-13.1,6767,2,
427.3,1.53,-15.3,7095,17,
409.2,1.47,-18.3,7419,22,
393.3,1.41,-20.7,7713,27,
377.5,1.42,-23.2,8015,28,
362.2,1.42,-25.8,8317,27,
346.8,1.06,-28.5,8630,61,
332.6,0.86,-31.1,8927,68,
319.3,0.95,-32.9,9216,20,
305.7,1.3,-35,9520,8,
293.7,1.07,-36.5,9798,27,
281.6,1.19,-38.1,10088,25,
269.8,1.04,-40.6,10382,12,
259,0.99,-43.2,10658,13,
248,0.88,-45.8,10949,20,
236.3,0.81,-48.4,11269,20,
226.9,0.74,-50.8,11536,17,
217.4,0.7,-53.2,11811,17,
207.7,0.69,-55.8,12105,17,
197.6,0.96,-57.9,12420,17,
189.2,1.04,-59.7,12693,15,
180,1.22,-61.5,13002,12,
171.8,1.08,-63.1,13289,12,
163.7,1.19,-65.4,13585,12,
156,1.28,-66.7,13878,11,
148.3,1.37,-64.9,14183,10,
141.7,1.65,-65,14463,8,
135.1,1.83,-65.7,14751,6,
128.8,1.74,-66.6,15043,5,
122.5,1.73,-65.3,15344,4,
116.4,1.39,-67.5,15654,4,
110.3,1.43,-68.5,15978,3,
104.7,1.41,-70.8,16291,3,
99.1,1.47,-71.9,16611,2,
94,1.64,-71.4,16923,2,
88.9,1.56,-72.3,17256,2,
83.9,1.77,-71.8,17595,1,
79.3,1.87,-74.3,17924,1,
75,2.18,-73.7,18254,2,
71,2.53,-72.3,18573,2,
67.2,3.14,-70.7,18900,2,
63.4,3.59,-70.4,19241,2,
59.8,4.95,-68.8,19591,2,
56.6,5.41,-67.1,19917,2,
53.6,5.83,-65.6,20251,2,
50.7,6.99,-65,20588,2,
47.9,7.48,-63.2,20939,2,
45.3,8.11,-61.1,21281,2,
42.9,8.83,-61.1,21622,1,
40.6,9.28,-60.3,21961,1,
38.3,9.64,-59.3,22324,2,
36.2,10.22,-57.8,22681,1,
34.2,11.33,-56.9,23041,1,
32.3,11.72,-56.2,23395,1,
30.5,12.18,-55.5,23764,1,
28.8,12.15,-55.5,24142,1,
27.1,12.67,-54.7,24524,1,
25.6,13.35,-53.8,24890,1,
24.1,13.67,-53.8,25266,1,
22.7,13.92,-51.6,25653,1,
21.5,13.99,-50.2,26024,1,
20.2,14.13,-50.4,26412,1,
19.1,13.65,-50.3,26788,1,
18,14.1,-48.7,27173,1,
17,13.66,-48,27556,1,
16,13.52,-46.8,27940,1,
15.1,13.08,-47.1,28338,1,
14.2,12.97,-46.2,28730,1,
13.4,12.26,-46.6,29138,1,
