* GTE (Global Tropospheric Experiment) is a project of NASA Langley Research
* Center (NASA-LaRC).  Ozonesonde launches are one component of the data
* collected in support of this mission.

* GTE Station: Easter Island, Chile

* Crespo, Juan,Chile
* Ozone/Ecc sonde
* Pem-Tropics
* Latitude of Sonde Launch Station:  -27.17 South
* Longitude of Sonde Launch Station: -109.42 West
* Altitude of Sonde Launch Station: 69.2 Meters
* The geometric altitude, integrated column ozone
* and ozone mixing ratio were calculated by NASA
* as data was not provided by Easter.  All sonde
* levels are reported. 

#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
1997-01-20,EIMO,1,"Crespo, Juan Climatological Services Office, Santiago, Chile"
* NASA-LaRC Project Co-ordinator: Vince Brackett, NASA-LaRC

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,441,EasterIsland,CHL,EIC

#INSTRUMENT
Name,Model,Number
ECC,na,na

#LOCATION
Latitude,Longitude,Height
-27.17,-109.42,69.2

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2006-06-23,23:31


#PROFILE
Pressure,O3PartialPressure,Temperature,GPHeight,RelativeHumidity,
1006.5,2.12,22.2,49,69,
975.4,2.41,18.5,321,70,
940.1,2.39,15.6,636,81,
913.8,2.34,13.7,876,76,
891.6,2.37,12.7,1083,67,
868.6,3.06,19.4,1306,1,
841.6,2.97,17.8,1575,2,
808,2.76,15.1,1921,24,
772,2.14,11.7,2305,37,
738.8,1.99,8.9,2670,40,
712.4,2.01,6.8,2970,38,
691.6,2.06,5.6,3212,37,
673.5,1.98,4,3429,41,
653.6,2.07,2.5,3672,28,
633.9,2.06,1.2,3918,24,
612.9,2.54,1.3,4189,6,
590,2.81,0.2,4495,1,
566.8,3.27,-1.2,4814,1,
543.5,2.95,-3.5,5147,1,
521.8,2.59,-5.6,5468,7,
501.6,2.25,-7.4,5777,13,
482.7,1.96,-9.8,6074,12,
462.1,1.99,-11.1,6410,9,
442.4,1.68,-13.4,6742,9,
424.3,1.66,-15.7,7058,19,
407.4,1.36,-18.1,7364,20,
392.4,1.5,-20.4,7644,14,
378.5,1.39,-22.9,7908,16,
362.9,1.32,-25.8,8216,15,
348.4,1.25,-28.3,8509,14,
333.6,1.16,-31,8817,20,
318.9,1.1,-33.8,9136,23,
304.4,1.07,-36.9,9461,28,
290.6,1.14,-39.2,9780,24,
278.7,1.8,-39.5,10065,1,
268.1,1.7,-41.7,10330,7,
256.4,1.54,-44.4,10629,14,
245.5,1.51,-47.2,10918,14,
234.1,1.4,-50.3,11231,16,
224.3,1.16,-51,11511,4,
214.6,1.16,-52.8,11796,4,
205.9,1.19,-53.9,12064,3,
197.5,0.94,-55.3,12328,4,
190,0.96,-56.2,12575,1,
182.2,1.05,-56.8,12843,1,
174.1,1.04,-59.1,13129,1,
164.5,1.16,-61.2,13482,1,
156.5,1.31,-63.2,13789,2,
148.8,1.31,-65.9,14096,3,
141.7,1.27,-68,14393,4,
134.5,1.31,-69.3,14705,5,
128,1.33,-70.4,15001,5,
121.9,1.36,-71.3,15290,4,
115.9,1.45,-70.4,15589,3,
110.2,1.55,-68.8,15890,2,
104.6,1.62,-68.7,16201,1,
99.3,1.76,-68.8,16511,1,
94.3,1.89,-69.2,16819,1,
89.6,2.04,-68.8,17127,1,
85.1,3.04,-69.3,17435,1,
81,3.85,-68.4,17731,1,
76.8,4.51,-68.8,18044,1,
72.7,5.26,-68,18373,1,
68.9,5.54,-67.2,18701,1,
65.2,5.74,-66.8,19032,1,
61.9,6.79,-65.9,19352,1,
58.6,8.04,-65.5,19681,1,
55.3,8.51,-65.9,20029,1,
52.3,9.76,-64.9,20367,1,
49.5,10.62,-62.8,20705,1,
46.8,9.62,-63.7,21046,1,
44.3,11.06,-62.6,21384,1,
41.9,11.74,-62.2,21741,1,
39.6,12.3,-61.2,22081,1,
37.5,12.77,-60.2,22421,1,
35.5,13.19,-60.6,22764,1,
33.6,13.1,-60.2,23107,1,
31.7,13.03,-60.3,23462,1,
29.9,12.54,-59.4,23835,1,
28.2,13,-59.2,24202,2,
26.5,12.8,-58.2,24581,1,
25.1,12.79,-55.8,24934,3,
23.8,13.32,-53.7,25285,1,
22.4,12.79,-53.3,25668,1,
21.1,12.58,-52.6,26057,1,
19.9,11.74,-52.4,26443,1,
18.8,10.64,-52.4,26808,1,
17.8,10.91,-51.6,27163,1,
16.7,10.81,-52.1,27548,1,
15.8,10.1,-51.8,27930,1,
14.8,9.54,-50.1,28332,1,
14,9.31,-48.8,28697,1,
13.3,8.97,-49.1,29067,1,
12.5,8.37,-49.5,29462,1,
11.7,7.25,-49.4,29871,1,
11,6.87,-45.9,30275,1,
10.5,7.03,-43.4,30620,1,
9.9,6.57,-42,30969,1,
9.4,6.19,-41.5,31346,1,
8.9,5.85,-40.2,31737,1,
