* GTE (Global Tropospheric Experiment) is a project of NASA Langley Research
* Center (NASA-LaRC).  Ozonesonde launches are one component of the data
* collected in support of this mission.

* GTE Station: Easter Island, Chile

* Crespo, Juan,Chile
* Ozone/Ecc sonde
* Pem-Tropics
* Latitude of Sonde Launch Station:  -27.17 South
* Longitude of Sonde Launch Station: -109.42 West
* Altitude of Sonde Launch Station: 69.2 Meters
* The geometric altitude, integrated column ozone
* and ozone mixing ratio were calculated by NASA
* as data was not provided by Easter.  All sonde
* levels are reported. 

#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
1997-01-20,EIMO,1,"Crespo, Juan Climatological Services Office, Santiago, Chile"
* NASA-LaRC Project Co-ordinator: Vince Brackett, NASA-LaRC

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,441,EasterIsland,CHL,EIC

#INSTRUMENT
Name,Model,Number
ECC,na,na

#LOCATION
Latitude,Longitude,Height
-27.17,-109.42,69.2

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2006-06-16,23:23


#PROFILE
Pressure,O3PartialPressure,Temperature,GPHeight,RelativeHumidity,
1009.4,2.52,20.3,49,61,
979.2,2.54,17.1,309,60,
942.4,2.46,14.1,634,67,
905.4,2.39,11.3,970,73,
870.5,2.33,8.6,1298,82,
837.9,2.24,7.1,1612,85,
804.9,2.33,9.9,1945,9,
771.6,2.35,9,2294,6,
740.8,1.95,7.4,2631,32,
711,1.83,5.8,2967,28,
680.4,1.81,4.2,3325,21,
649.6,2.29,2.9,3701,15,
620.4,2.24,1.1,4071,10,
592.9,2.18,-0.6,4435,25,
563.7,2.04,0.1,4839,7,
536.5,2.23,-2.6,5232,8,
510.9,2.09,-6,5619,12,
485.8,1.93,-9.7,6009,16,
461.9,1.84,-13.2,6396,18,
438.6,1.73,-16.4,6788,14,
416.7,1.74,-20,7169,14,
395.9,1.62,-23.3,7547,15,
375.9,1.56,-27.2,7924,19,
357,1.45,-29.9,8293,17,
339.8,1.38,-33,8642,15,
323.2,1.3,-36.4,8991,17,
307.4,1.27,-39.4,9338,18,
292.3,1.26,-41.9,9680,17,
277.5,1.22,-44.9,10028,22,
263.1,1.45,-47.6,10383,17,
248.8,1.43,-51.1,10748,18,
235.7,1.54,-53.5,11099,18,
222.6,1.89,-55.1,11466,15,
209.8,1.75,-58.1,11842,13,
199.4,1.87,-59.9,12159,12,
189.6,1.93,-59.3,12472,11,
180.2,1.95,-56.9,12793,6,
169.7,1.76,-58.9,13173,3,
160.9,1.63,-61.7,13506,4,
153.3,1.55,-63,13803,4,
146.1,1.46,-64.3,14100,4,
138.9,1.48,-64.8,14407,3,
132.3,1.47,-66.4,14704,3,
125.5,1.48,-66.5,15021,4,
118.9,1.45,-68.7,15348,3,
112.9,1.63,-68.4,15656,4,
107.3,1.64,-68,15961,4,
101.8,1.72,-69.1,16278,3,
96.2,1.88,-69.9,16612,3,
91.4,2.63,-70.2,16918,3,
86.6,3.27,-70.5,17238,3,
81.8,5.57,-67.9,17578,3,
77.2,5.83,-67.4,17925,3,
73.1,5.24,-68.2,18257,3,
69,5.04,-69.7,18602,2,
65.1,6.41,-68,18952,2,
61.4,10.47,-64.9,19306,2,
58,10.79,-64.1,19647,2,
54.8,11.07,-64.4,19994,1,
51.5,11.4,-63.5,20373,2,
48.7,12.02,-62.7,20719,1,
46,12.24,-61.6,21070,1,
43.5,13.07,-60,21419,1,
41.1,8.46,-58,21777,1,
38.6,0,-59,22176,1,
36.3,0,-59.5,22552,2,
34.3,0,-58.4,22921,2,
32.5,0,-57.8,23259,1,
30.6,0,-56,23627,1,
28.8,0,-54.9,24012,1,
27.2,0,-55.3,24392,1,
25.6,0,-54.5,24766,1,
24.2,0,-52.8,25125,1,
22.8,0,-51,25506,1,
21.5,0,-51.1,25894,1,
20.3,0,-51,26288,1,
19.1,0,-49.9,26682,1,
18,0,-49.5,27076,1,
16.9,0,-50.2,27475,1,
15.9,0,-49.2,27875,1,
15,0,-47.9,28269,1,
14.1,0,-46.6,28654,1,
13.2,0,-45.8,29078,1,
12.5,0,-46.7,29489,1,
