* GTE (Global Tropospheric Experiment) is a project of NASA Langley Research
* Center (NASA-LaRC).  Ozonesonde launches are one component of the data
* collected in support of this mission.
*
* GTE Station: Easter Island, Chile
*
* Crespo, Juan, Met Office, Easter Island, Chile
* Ozone/Ecc sonde
* Pem-Tropics
* Latitude of Sonde Launch Station:  -27.17 South
* Longitude of Sonde Launch Station: -109.42 West
* Altitude of Sonde Launch Station: 69.2 Meters
* The geometric altitude, integrated column ozone
* and ozone mixing ratio were calculated by NASA
* as data was not provided by Easter.  All sonde
* levels are reported. 
*
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1,1
*
#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
1997-1-20,EIMO,1,"Crespo, Juan, , Climatological Services Office, Santiago, Chile"
* NASA-LaRC Project Co-ordinator: Vince Brackett, NASA-LaRC
*
#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,441,Easter Island,CHL
*
#INSTRUMENT
Name,Model,Number
ECC,na,na
*
#LOCATION
Latitude,Longitude,Height
-27.17,-109.42,69.2
*
#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2008-10-24,23:55
*
*
#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1022,2.18,19.8,49,84
990.2,2.42,17.9,320,84
956.5,2.42,15.2,616,93
925.3,2.39,13.2,897,89
895.9,2.4,11,1168,85
869.2,2.58,9.3,1420,79
841.6,2.52,7.3,1686,100
812.4,2.49,5.9,1978,100
786.6,3.4,9.5,2242,35
761.5,3.73,8.8,2510,10
733,4.51,6.9,2824,7
705.6,4.58,5,3135,9
680.9,4.84,3.8,3425,5
657.4,3.77,2.9,3709,5
635.3,3.57,1.7,3985,3
613.8,3.48,0.5,4262,3
592.2,3.13,-0.6,4549,3
571.7,3.13,-2.4,4828,4
549.8,2.99,-4.4,5137,3
529.7,2.99,-6,5430,3
510.5,3,-8.3,5717,4
490.3,2.97,-10.9,6028,5
469.6,2.88,-13.4,6358,7
452.4,3.24,-15,6641,6
434.6,3.56,-16.6,6943,9
417.9,2.23,-18.9,7237,17
403.8,1.74,-20.9,7490,15
387.3,1.57,-23.7,7797,24
373.3,1.39,-26.1,8065,28
360.9,1.38,-28,8308,35
349.7,1.33,-30.1,8533,35
338.6,1.28,-32.2,8763,36
326.9,1.21,-34.3,9008,39
314.9,1.13,-36.5,9270,50
302.4,1.12,-38.7,9550,56
291.3,1.02,-40.3,9805,62
280.1,0.99,-42.3,10072,65
269.3,0.93,-44.2,10337,59
259.6,0.85,-46.3,10581,62
249.9,0.83,-48.4,10833,68
239.5,0.84,-50.9,11111,64
229.9,0.84,-53.2,11375,66
221.1,0.85,-55.4,11625,64
212.9,0.83,-57.6,11865,63
205,0.83,-59.4,12103,61
197.5,0.83,-61.5,12334,60
190.1,1.01,-63.4,12572,54
182.8,2.29,-61.8,12811,36
176,2.34,-61.1,13046,17
169.4,2.36,-62.2,13284,11
162.9,2.3,-63.4,13525,10
156.8,2.17,-63.7,13759,9
151,2.07,-63.8,13991,8
145.4,2.01,-64.2,14223,7
139.8,1.86,-65.8,14463,7
134.4,1.94,-66.9,14698,7
129.2,2.02,-67.8,14937,7
124,2.21,-67.2,15183,7
118.8,2.28,-68.5,15443,7
113.9,2.27,-69.7,15695,7
109.2,2.31,-70.6,15942,7
104.8,2.92,-69.4,16188,7
100.6,3.65,-69.7,16433,6
96.6,3.52,-69.6,16676,6
92.7,4.21,-69.7,16917,6
89,3.59,-69.2,17163,5
85.3,4.11,-68.9,17414,5
82,4.58,-68.4,17650,4
78.9,5.31,-68.4,17881,4
75.7,5.14,-68.5,18131,4
72.6,6.32,-67.8,18385,3
69.5,6.52,-68.1,18647,3
66.5,7.08,-67.3,18908,3
63.7,9.02,-66.8,19171,3
61.1,9.27,-65.7,19427,2
58.5,9.32,-65.6,19684,2
56,9.75,-65.1,19952,2
53.5,10.11,-65.4,20231,2
51.2,10.9,-64.4,20501,2
49,10.05,-64.3,20761,2
47,10.67,-62.1,21019,2
45.1,11.8,-61.9,21279,2
43.2,12.38,-60.2,21546,2
41.3,12.77,-60.2,21826,1
39.5,13.3,-59.8,22108,1
37.6,13.79,-59.3,22406,1
35.9,14.17,-57.9,22699,1
34.4,14.56,-57.7,22976,1
32.9,14.2,-58,23260,1
31.4,14.2,-58.1,23542,1
30.1,13.89,-57.5,23823,1
28.8,13.79,-56.2,24100,1
27.5,14.18,-55.1,24383,1
26.3,14.82,-54.7,24684,1
25.1,14.71,-53.5,24972,1
24,14.94,-53,25260,1
23,14.06,-52.6,25544,1
21.9,13.65,-52.6,25840,1
20.9,13.39,-53.1,26156,1
19.9,13.09,-53.9,26464,1
19,12.56,-53.6,26775,1
18,12.69,-54.6,27095,1
17.1,12.37,-54.9,27430,1
16.3,12.13,-53.5,27754,1
15.5,11.86,-53.2,28064,1
14.8,11.14,-52.8,28367,1
14.1,10.75,-52.1,28670,1
13.5,10.49,-51,28962,1
