* GTE (Global Tropospheric Experiment) is a project of NASA Langley Research
* Center (NASA-LaRC).  Ozonesonde launches are one component of the data
* collected in support of this mission.
*
* GTE Station: Easter Island, Chile
*
* Crespo, Juan, Met Office, Easter Island, Chile
* Ozone/Ecc sonde
* Pem-Tropics
* Latitude of Sonde Launch Station:  -27.17 South
* Longitude of Sonde Launch Station: -109.42 West
* Altitude of Sonde Launch Station: 69.2 Meters
* The geometric altitude, integrated column ozone
* and ozone mixing ratio were calculated by NASA
* as data was not provided by Easter.  All sonde
* levels are reported. 
*
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1,1
*
#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
1997-1-20,EIMO,1,"Crespo, Juan, , Climatological Services Office, Santiago, Chile"
* NASA-LaRC Project Co-ordinator: Vince Brackett, NASA-LaRC
*
#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,441,Easter Island,CHL
*
#INSTRUMENT
Name,Model,Number
ECC,na,na
*
#LOCATION
Latitude,Longitude,Height
-27.17,-109.42,69.2
*
#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2008-10-17,23:44
*
*
#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1020.8,2.44,20.6,49,68
980.4,2.37,16.9,395,82
942.8,2.43,14.1,727,88
909.6,2.41,11.6,1029,90
883.3,2.57,10.2,1274,83
852.4,2.63,7.8,1570,98
827,2.59,6.6,1819,96
797.4,3.03,5.8,2117,50
771.8,5.3,7.4,2386,15
743.5,5.43,5.3,2692,15
719.5,5.61,5.5,2959,5
695.9,6.11,5.2,3232,3
671,6.37,3.9,3527,3
648.9,6.3,2.9,3798,4
629.4,5.18,1.8,4044,4
606.7,5.39,0.4,4340,3
584.7,4.7,-1.9,4635,5
563.8,3.88,-4,4922,5
543.3,3.31,-6.4,5213,6
524,3.02,-8.8,5494,6
503.3,2.74,-11.6,5804,7
483.7,2.83,-13.8,6108,6
467.6,2.75,-15.5,6363,7
452.9,2.67,-17,6603,5
437.1,3.08,-18.5,6870,6
422.6,2.97,-20.1,7120,5
409.1,2.87,-22.1,7360,5
395.9,2.84,-23.9,7599,5
381.4,3,-25.9,7871,6
366.8,2.93,-28,8153,6
355.2,2.77,-29.6,8383,6
342.7,2.49,-31.3,8636,29
331.4,2.32,-33.8,8872,36
320.5,2.1,-35.9,9105,51
310,2.01,-37.9,9337,56
299.9,1.87,-40,9565,50
288.7,1.78,-42.1,9822,51
277.3,1.89,-44.7,10094,30
265.9,1.75,-47.2,10372,54
256.1,1.87,-47.6,10620,18
246.9,2.16,-49.5,10861,15
238.3,2.51,-50,11094,11
229.7,2.84,-51.3,11333,9
220.6,2.49,-53.2,11595,12
211.6,2.36,-55.1,11863,12
203.3,1.81,-56.7,12117,12
195.1,1.69,-57.7,12375,12
187.3,1.62,-59,12631,10
180.1,1.84,-60.3,12877,9
173.2,2.17,-61.1,13122,8
166.5,2.16,-61.8,13364,8
160,2.16,-62.3,13613,7
153.4,1.91,-63.5,13870,6
147,1.92,-63.8,14130,6
140.8,1.95,-65.2,14397,6
134.6,2,-65.9,14667,6
129,1.96,-67.9,14925,6
123.5,2.09,-69,15185,6
118,2.05,-70.8,15456,6
112.6,2.15,-71.7,15734,7
107.7,2.29,-69.5,15996,7
102.8,2.33,-70.6,16274,6
98.2,2.75,-70.8,16546,6
93.8,3.21,-71.6,16818,6
89.4,3.69,-71.6,17102,5
85.3,3.75,-71,17380,5
81.4,4.08,-71.2,17653,5
77.6,4.72,-69.4,17938,4
74.1,5.23,-69.4,18215,4
70.7,6.08,-68.1,18498,3
67.3,7.93,-66.5,18795,3
64.1,8.39,-66.1,19087,2
61,8.92,-66.4,19391,2
58.1,9.29,-66.6,19684,2
55.4,9.94,-65.1,19966,2
52.9,10.56,-63.7,20248,2
50.4,10.85,-63,20545,2
48,11.53,-62.4,20846,2
45.8,11.65,-62.1,21135,2
43.8,12.11,-61.5,21421,2
41.7,13.04,-59.7,21722,2
39.7,13.99,-58.7,22029,2
37.8,14.62,-57.4,22338,1
36.1,14.88,-57.2,22633,2
34.4,14.83,-56.7,22930,2
32.8,14.92,-56.4,23247,2
31.1,15.02,-55.7,23569,2
29.6,14.93,-56.1,23884,2
28.2,14.91,-55.3,24198,2
26.8,14.71,-56.4,24517,2
25.5,14.67,-55.1,24842,2
24.3,14.48,-54.4,25159,2
23.1,13.04,-53.8,25466,2
22,12.81,-52.9,25786,2
20.9,13.19,-52.4,26117,2
19.9,13.25,-51.6,26451,2
18.8,13.2,-52,26790,2
17.9,12.06,-51.3,27120,2
17,11.56,-50.9,27456,2
16.1,11.09,-50.9,27795,2
15.3,11.31,-50.4,28129,2
