#CONTENT 
Class,Category,Level,Form
WOUDC,OzoneSonde,1,1

#DATA_GENERATION 
Date,Agency,Version,ScientificAuthority
2009-02-20,EIMO,1,Juan Crespo

#PLATFORM 
Type,ID,Name,Country,GAW_ID
STN,441,Easter Island,CHL,EIC

#INSTRUMENT 
Name,Model,Number 
ECC,6A,na

#LOCATION 
Latitude,Longitude,Height 
-27.17,-109.42,49
 
#TIMESTAMP 
UTCOffset,Date,Time 
+00:00:00,2009-02-20,23:52:00
 
#PROFILE 
Pressure,O3PartialPressure,Temperature,RelativeHumidity,GPHeight
1014.1,1.2,25.3,69.0,49.0
1010.3,1.2,22.9,73.0,83.0
1006.3,1.2,22.3,76.0,117.0
1002.4,1.2,22.0,78.0,151.0
998.5,1.2,21.8,78.0,185.0
993.9,1.2,21.4,79.0,226.0
988.8,1.2,20.9,81.0,270.0
983.0,1.2,20.4,83.0,321.0
977.5,1.2,20.0,84.0,370.0
972.3,1.2,19.5,86.0,416.0
967.1,1.2,19.5,84.0,462.0
962.1,1.2,19.1,83.0,507.0
956.7,1.2,18.6,83.0,555.0
951.8,1.2,18.2,81.0,599.0
947.0,1.2,17.8,84.0,643.0
942.1,1.2,17.4,87.0,687.0
937.3,1.2,17.1,89.0,731.0
932.3,1.2,16.6,90.0,777.0
927.5,1.2,16.4,90.0,821.0
922.6,1.2,16.3,84.0,866.0
917.4,1.1,16.1,83.0,914.0
912.5,1.1,15.8,83.0,960.0
907.8,1.2,15.5,83.0,1004.0
903.2,1.2,15.2,83.0,1047.0
898.5,1.2,14.7,82.0,1091.0
892.9,1.2,14.3,85.0,1145.0
887.0,1.2,14.0,86.0,1200.0
881.2,1.2,13.6,86.0,1256.0
875.4,1.2,13.2,87.0,1312.0
869.8,1.2,13.7,79.0,1365.0
864.3,1.2,13.3,79.0,1419.0
858.7,1.2,12.9,79.0,1474.0
853.0,1.3,12.6,78.0,1530.0
847.4,1.3,12.2,76.0,1585.0
842.1,1.3,12.0,75.0,1638.0
836.9,1.4,11.6,74.0,1690.0
831.4,1.4,11.3,74.0,1745.0
826.6,1.4,11.0,76.0,1794.0
821.3,1.4,10.6,79.0,1847.0
815.9,1.5,10.3,81.0,1902.0
810.8,1.5,9.9,83.0,1955.0
805.8,1.5,9.5,86.0,2005.0
800.7,1.5,9.2,88.0,2058.0
796.1,1.5,8.8,89.0,2107.0
791.2,1.5,8.5,89.0,2157.0
786.6,1.5,8.1,89.0,2206.0
782.0,1.5,7.9,89.0,2254.0
777.6,1.5,7.6,90.0,2301.0
773.1,1.5,7.3,92.0,2349.0
768.6,1.6,7.0,92.0,2397.0
764.1,1.6,6.7,96.0,2446.0
759.6,1.6,6.5,98.0,2494.0
755.4,1.5,6.4,98.0,2540.0
750.9,1.6,6.2,97.0,2588.0
746.6,1.5,6.0,97.0,2636.0
742.0,1.5,5.7,96.0,2686.0
737.7,1.5,5.5,95.0,2734.0
733.2,1.5,5.3,95.0,2784.0
728.6,1.5,5.1,95.0,2836.0
724.1,1.5,4.9,96.0,2886.0
719.9,1.5,4.8,96.0,2934.0
715.5,1.5,4.5,96.0,2984.0
711.2,1.5,4.2,96.0,3034.0
706.7,1.5,4.0,96.0,3086.0
702.2,1.5,3.7,96.0,3137.0
697.7,1.5,3.3,95.0,3189.0
693.3,1.5,2.9,95.0,3240.0
689.4,1.6,2.7,95.0,3286.0
685.4,1.5,3.0,90.0,3334.0
681.4,1.6,3.3,83.0,3381.0
677.4,1.6,3.5,67.0,3429.0
673.6,1.8,3.6,52.0,3474.0
670.2,1.9,3.6,38.0,3516.0
666.8,2.1,3.6,20.0,3557.0
663.4,2.2,3.5,16.0,3599.0
660.0,2.3,3.4,12.0,3641.0
656.6,2.4,3.2,14.0,3682.0
653.4,2.4,3.0,16.0,3722.0
650.2,2.4,2.7,17.0,3761.0
646.7,2.4,2.5,17.0,3805.0
643.3,2.4,2.3,19.0,3848.0
639.8,2.4,2.1,20.0,3891.0
636.4,2.4,1.9,20.0,3935.0
633.1,2.3,1.7,19.0,3976.0
629.6,2.3,1.4,17.0,4021.0
626.1,2.4,1.2,10.0,4066.0
622.6,2.5,0.9,15.0,4111.0
619.2,2.8,0.7,18.0,4154.0
615.9,2.8,0.5,15.0,4197.0
612.5,2.9,0.3,13.0,4242.0
608.9,3.0,-0.1,11.0,4289.0
605.5,3.0,-0.5,12.0,4334.0
602.2,2.9,-0.8,16.0,4377.0
599.0,2.7,-1.0,18.0,4420.0
595.6,2.5,-1.2,18.0,4465.0
592.2,2.4,-1.5,18.0,4511.0
588.9,2.4,-1.7,16.0,4556.0
585.4,2.3,-2.0,16.0,4603.0
582.0,2.3,-2.2,15.0,4649.0
578.6,2.3,-2.6,15.0,4696.0
575.4,2.3,-2.9,15.0,4740.0
572.1,2.2,-3.2,15.0,4784.0
568.8,2.2,-3.5,15.0,4831.0
565.7,2.2,-3.9,16.0,4873.0
562.6,2.2,-4.3,15.0,4917.0
559.4,2.1,-4.6,15.0,4962.0
556.3,2.1,-4.9,16.0,5006.0
553.3,2.1,-5.3,17.0,5048.0
550.1,2.1,-5.7,19.0,5094.0
547.0,2.0,-6.1,20.0,5138.0
543.8,2.0,-6.4,22.0,5184.0
540.6,2.1,-6.7,24.0,5229.0
537.3,2.1,-7.3,26.0,5277.0
534.1,2.1,-7.7,27.0,5324.0
530.7,2.1,-8.2,29.0,5374.0
527.8,2.0,-8.6,31.0,5415.0
524.9,2.0,-9.0,33.0,5459.0
521.7,2.0,-9.4,36.0,5506.0
518.5,2.0,-10.0,36.0,5553.0
515.2,2.0,-10.3,35.0,5602.0
511.9,2.0,-10.7,32.0,5653.0
508.9,2.0,-11.0,37.0,5698.0
505.9,2.0,-11.3,39.0,5743.0
503.1,1.9,-11.7,41.0,5786.0
500.1,1.9,-12.0,41.0,5831.0
497.1,1.9,-12.4,40.0,5877.0
493.8,1.9,-12.8,38.0,5928.0
491.0,1.9,-13.1,39.0,5971.0
488.2,1.9,-13.5,40.0,6015.0
485.3,2.0,-13.8,37.0,6060.0
482.6,1.9,-14.1,34.0,6102.0
479.7,1.9,-14.6,31.0,6149.0
476.6,1.9,-15.0,27.0,6197.0
473.7,2.0,-15.4,36.0,6243.0
470.9,2.0,-15.8,42.0,6289.0
468.0,1.9,-16.3,46.0,6335.0
465.1,1.9,-16.6,38.0,6381.0
462.2,1.9,-16.9,31.0,6428.0
