#CONTENT 
Class,Category,Level,Form
WOUDC,OzoneSonde,1,1

#DATA_GENERATION 
Date,Agency,Version,ScientificAuthority
2015-06-19,EIMO,1,Juan Crespo

#PLATFORM 
Type,ID,Name,Country,GAW_ID
STN,441,Easter Island,CHL,EIC

#INSTRUMENT 
Name,Model,Number 
ECC,6A,na

#LOCATION 
Latitude,Longitude,Height 
-27.17,-109.42,49
 
#TIMESTAMP 
UTCOffset,Date,Time 
+00:00:00,2015-06-19,23:37:00
 
#PROFILE 
Pressure,O3PartialPressure,Temperature,RelativeHumidity,GPHeight
1009.6,2.87,17.15,51,49
1008.1,2.89,17.05,50,62
1007.1,2.95,16.95,50,70
1006,2.97,16.85,50,79
1004.9,2.97,16.75,51,89
1003.7,2.97,16.65,51,99
1002.2,2.96,16.55,51,112
1000.6,2.95,16.45,51,125
999,2.95,16.35,52,139
997.4,2.94,16.15,52,153
995.6,2.94,16.05,52,168
994.1,2.92,15.85,53,181
992.8,2.9,15.75,53,192
991.5,2.9,15.65,53,203
990.2,2.9,15.55,53,214
989.1,2.9,15.45,54,223
988.3,2.91,15.35,54,231
987.5,2.91,15.35,54,237
986.6,2.92,15.25,55,245
985.5,2.93,15.15,55,254
984.3,2.93,15.05,55,265
983,2.93,14.95,55,276
981.7,2.92,14.85,55,287
980.4,2.91,14.65,55,299
979,2.9,14.55,56,310
978,2.88,14.45,56,319
977.3,2.87,14.45,56,325
976.5,2.87,14.35,57,332
975.6,2.87,14.25,57,340
974.9,2.88,14.25,57,346
974.2,2.88,14.15,57,351
973.6,2.88,14.15,57,357
972.8,2.88,14.15,57,364
972.1,2.9,14.05,57,370
971.2,2.91,13.95,56,377
970.4,2.91,13.85,56,385
969.6,2.91,13.85,57,392
968.8,2.91,13.75,57,398
968,2.9,13.75,58,406
966.9,2.9,13.65,58,415
965.7,2.9,13.55,58,426
964.4,2.91,13.35,58,437
963.2,2.91,13.25,58,448
962.2,2.91,13.15,58,456
961.4,2.91,13.15,59,464
960.5,2.91,13.05,59,471
959.5,2.91,13.05,59,480
958.6,2.91,12.95,60,488
957.8,2.91,12.85,60,495
957,2.89,12.75,60,502
956.2,2.89,12.75,60,509
955.4,2.87,12.65,60,516
954.7,2.87,12.55,60,522
954,2.87,12.55,61,528
953.2,2.88,12.45,61,535
952.3,2.88,12.35,62,543
951.6,2.88,12.35,62,549
950.8,2.88,12.25,63,556
949.9,2.88,12.15,63,564
948.8,2.88,12.15,64,574
947.7,2.88,11.95,63,584
946.8,2.83,11.95,63,592
946.1,2.82,11.85,63,598
945.3,2.82,11.85,63,605
944.6,2.83,11.85,63,612
943.9,2.84,11.75,63,617
943.3,2.84,11.65,63,623
942.5,2.84,11.65,63,630
941.6,2.85,11.55,63,638
940.7,2.88,11.45,64,646
939.9,2.91,11.25,65,653
939.2,2.91,11.25,66,660
938.5,2.91,11.25,67,666
937.7,2.91,11.15,67,672
936.9,2.91,11.15,66,679
936.1,2.91,11.05,65,687
935.2,2.9,10.95,64,695
934.3,2.89,10.95,64,702
933.6,2.86,10.85,64,709
932.8,2.85,10.75,64,716
932,2.84,10.75,63,724
931,2.83,10.65,62,732
930,2.83,10.65,61,741
929,2.82,10.55,61,750
928.1,2.82,10.45,60,759
927.1,2.81,10.35,59,767
926.1,2.81,10.35,60,776
925.2,2.81,10.25,62,784
924.2,2.82,10.15,63,793
923.2,2.82,10.05,64,803
922.2,2.81,9.95,64,812
921,2.82,9.85,65,822
919.8,2.82,9.75,64,833
918.8,2.81,9.65,64,842
917.9,2.79,9.55,65,850
917.1,2.79,9.55,65,858
916.2,2.78,9.45,65,865
915.4,2.78,9.35,64,872
914.7,2.78,9.25,64,879
914,2.77,9.25,63,885
913.3,2.77,9.25,64,892
912.4,2.77,9.15,64,900
911.5,2.76,9.05,66,908
910.7,2.77,8.95,67,916
909.8,2.77,8.85,67,924
909,2.76,8.85,67,931
908.3,2.76,8.75,67,937
907.6,2.75,8.75,67,944
906.9,2.75,8.65,67,951
906.1,2.75,8.55,68,957
905.2,2.76,8.55,68,965
904.4,2.76,8.45,66,973
903.4,2.77,8.35,65,982
902.4,2.77,8.25,67,991
901.4,2.76,8.15,69,1000
900.6,2.75,8.05,67,1008
899.9,2.75,8.05,66,1014
899.3,2.75,8.05,65,1019
898.6,2.75,7.95,65,1026
897.7,2.74,7.95,65,1034
896.8,2.74,7.85,66,1043
895.9,2.74,7.75,66,1051
895.2,2.73,7.65,67,1057
894.5,2.73,7.55,67,1064
893.9,2.72,7.55,66,1069
893.4,2.72,7.65,65,1074
892.8,2.73,7.65,64,1079
892.3,2.72,7.65,64,1085
891.6,2.72,7.55,63,1091
891,2.72,7.55,62,1097
890.3,2.72,7.55,61,1103
889.6,2.72,7.45,61,1109
888.9,2.72,7.45,61,1116
888.1,2.72,7.35,60,1123
887.3,2.7,7.35,60,1130
886.6,2.7,7.25,59,1137
885.9,2.7,7.25,59,1144
885,2.7,7.15,59,1151
883.9,2.71,7.05,60,1162
882.7,2.7,6.95,60,1173
881.7,2.69,6.85,61,1182
881.1,2.65,6.85,61,1188
880.4,2.65,6.75,61,1195
879.5,2.68,6.75,62,1203
878.7,2.71,6.65,61,1210
878,2.71,6.55,61,1217
877.3,2.7,6.55,60,1224
876.6,2.7,6.45,60,1230
875.8,2.7,6.45,60,1238
875,2.69,6.35,60,1245
874.2,2.69,6.35,60,1253
873.3,2.68,6.25,60,1261
872.5,2.67,6.15,61,1269
871.7,2.67,6.15,61,1276
870.9,2.66,6.05,61,1283
870.3,2.66,6.05,62,1289
869.6,2.67,5.95,63,1296
868.8,2.67,5.95,63,1303
867.9,2.67,5.85,64,1311
867,2.66,5.75,63,1320
866.1,2.64,5.65,62,1329
865.3,2.64,5.65,61,1337
864.4,2.65,5.55,61,1345
863.5,2.65,5.55,61,1354
862.7,2.65,5.45,61,1361
861.8,2.61,5.35,62,1369
861,2.6,5.25,62,1377
860.2,2.6,5.25,63,1385
859.2,2.6,5.25,63,1394
858.3,2.61,5.05,63,1403
857.5,2.62,5.05,62,1410
856.7,2.62,4.95,62,1418
855.9,2.62,4.85,62,1426
854.9,2.66,4.75,62,1435
853.9,2.72,4.65,63,1445
852.7,2.73,4.55,64,1457
851.5,2.73,4.45,66,1468
850.5,2.7,4.35,67,1478
849.4,2.67,4.25,67,1488
848.4,2.67,4.15,68,1497
847.5,2.64,4.15,68,1506
846.7,2.64,4.05,69,1514
