#CONTENT 
Class,Category,Level,Form 
WOUDC,OzoneSonde,1,1

#DATA_GENERATION 
Date,Agency,Version,ScientificAuthority 
2019-05-17,EIMO,1,Juan Crespo

#PLATFORM 
Type,ID,Name,Country,GAW_ID
STN,441,Easter Island,CHL,EIC

#INSTRUMENT 
Name,Model,Number 
ECC,6A,na

#LOCATION 
Latitude,Longitude,Height 
-27.17,-109.42,49.9
 
#TIMESTAMP 
UTCOffset,Date,Time 
+00:00:00,2019-05-17,0:00:00
 
#PROFILE 
Pressure,O3PartialPressure,Temperature,RelativeHumidity,WindDirection,WindSpeed,GPHeight
948.1,2.6,16.8,81.2,16.1,4.9,613.8
947.4,2.6,16.8,81.6,15.9,4.8,619.4
946.7,2.6,16.7,81.7,15.5,4.7,624.7
946.3,2.6,16.7,81.2,15.1,4.6,629.4
945.8,2.6,16.6,80.6,14.7,4.5,633.6
945.3,2.6,16.6,80.1,14.1,4.4,637.6
944.9,2.6,16.6,79.9,13.5,4.4,641.9
944.5,2.6,16.5,79.1,12.8,4.3,646.9
943.7,2.6,16.5,78.7,12.1,4.2,652.9
942.9,2.6,16.5,79.5,11.3,4.1,659.3
942.2,2.6,16.4,80.1,10.4,4,665.1
941.8,2.6,16.4,79.8,9.6,3.9,669.9
941.3,2.6,16.4,79.1,8.7,3.8,674.2
940.9,2.6,16.3,78.5,7.9,3.7,678.1
940.5,2.6,16.3,77.5,7.1,3.6,682.1
940,2.6,16.3,76.4,6.3,3.6,686.5
939.5,2.6,16.3,76.2,5.6,3.5,691.3
938.9,2.6,16.2,76.5,4.9,3.4,696.6
938.2,2.6,16.2,76.2,4.4,3.3,702.2
937.5,2.6,16.1,75.7,3.9,3.2,707.6
937.1,2.6,16.1,75.5,3.5,3.1,712.3
936.7,2.6,16.1,75.5,3.1,2.9,716.5
936.2,2.6,16.1,76.1,2.9,2.8,720.8
935.7,2.6,16,77,2.7,2.7,724.9
935.3,2.6,16,77.8,2.6,2.6,729
934.9,2.6,15.9,78.4,2.6,2.4,733.2
934.3,2.6,15.9,78.6,2.8,2.3,737.7
933.8,2.6,15.8,78.6,3,2.2,742.5
933.3,2.6,15.7,78.5,3.4,2,747.3
932.7,2.6,15.7,78.3,3.9,1.9,752.1
932.2,2.6,15.7,78.2,4.6,1.7,756.9
931.7,2.6,15.6,78.4,5.3,1.6,761.9
931.1,2.6,15.6,78.9,6.2,1.4,767
930.6,2.6,15.5,79.5,7.3,1.3,772.1
930,2.6,15.5,79.8,8.7,1.1,777.1
929.5,2.6,15.4,79.8,10.6,1,781.6
929.1,2.6,15.4,79.8,13.2,0.8,785.7
928.7,2.6,15.3,80.1,16.9,0.7,789.3
928.3,2.6,15.3,80.4,22.2,0.6,792.8
928,2.6,15.3,80.6,30.3,0.5,796.1
927.6,2.6,15.2,80.7,42,0.4,799.8
927,2.6,15.2,80.7,58.1,0.3,803.9
926.6,2.6,15.1,80.7,76.5,0.3,808
926.3,2.6,15.1,80.5,93.2,0.3,811.7
925.8,2.6,15.1,80.6,105.3,0.4,815.5
925.4,2.6,15,80.9,113,0.4,819.4
924.9,2.6,15,81.1,117.4,0.5,823.3
924.5,2.6,15,81,119.5,0.5,827.1
924.1,2.6,15,80.5,119.8,0.5,831
923.7,2.6,15,79.6,118.8,0.6,835
923.2,2.6,14.9,79.1,116.7,0.6,839.4
922.7,2.6,14.9,78.8,113.6,0.6,844
922.2,2.6,14.9,78.2,109.6,0.7,848.8
921.6,2.6,14.9,77.8,105.1,0.7,853.7
921.1,2.6,14.8,77.8,100,0.7,858.3
920.7,2.7,14.8,78.1,94.6,0.7,862.6
920.3,2.7,14.7,78.6,89.2,0.8,866.9
919.7,2.7,14.7,79.4,84,0.8,871.5
919.2,2.7,14.6,80.2,79,0.8,876.5
918.6,2.7,14.6,80.5,74.4,0.8,881.8
918,2.7,14.5,80.7,70,0.9,887.3
917.4,2.7,14.5,80.5,65.9,0.9,892.3
917,2.7,14.4,79.8,62,0.9,896.8
916.5,2.7,14.4,79.8,58.3,0.9,900.8
916.1,2.7,14.4,79.9,54.7,0.9,904.6
915.8,2.7,14.3,79.8,51.2,0.9,908.4
915.3,2.7,14.3,79.9,47.8,0.9,912.6
914.8,2.6,14.3,80.2,44.4,0.9,917.1
914.2,2.6,14.2,80.6,41.1,0.8,921.8
913.8,2.7,14.2,80.9,37.8,0.8,926.5
913.3,2.7,14.1,81,34.5,0.7,931.2
912.7,2.7,14.1,81.1,30.9,0.7,935.9
912.2,2.6,14,81.4,26.9,0.6,940.6
911.8,2.6,14,82,22.1,0.5,944.9
911.3,2.7,13.9,82.5,16.2,0.4,949.1
910.9,2.7,13.9,82.3,7.8,0.3,953.2
910.4,2.7,13.9,81.6,354.8,0.2,957.3
910,2.7,13.8,81.1,332.8,0.2,961.5
909.5,2.7,13.8,81.4,299.3,0.2,966.2
909,2.7,13.8,81.7,267.4,0.2,971.2
908.4,2.7,13.7,81.7,247.2,0.2,976.5
907.8,2.7,13.7,81.9,234.9,0.3,982
907.2,2.7,13.6,82.1,226.4,0.4,987.4
906.7,2.7,13.6,82.4,220,0.5,992.4
906.2,2.7,13.5,82.2,214.6,0.5,997.1
905.7,2.7,13.5,81.9,209.9,0.6,1001.7
905.2,2.6,13.5,81.9,205.6,0.6,1006.1
904.7,2.6,13.4,82.1,201.6,0.7,1010.5
904.3,2.6,13.4,82.3,197.8,0.7,1014.8
903.8,2.6,13.3,82.5,194.2,0.8,1019.2
903.3,2.6,13.3,82.2,190.8,0.8,1023.6
902.8,2.6,13.3,81.8,187.6,0.8,1028.2
902.3,2.6,13.2,81.6,184.6,0.9,1032.8
901.8,2.6,13.2,81.3,181.8,0.9,1037.5
901.3,2.6,13.2,80.4,179.2,0.9,1042.2
900.8,2.6,13.1,78,177,0.9,1046.8
900.4,2.6,13.2,74.2,175.1,0.9,1051.3
899.9,2.6,13.3,72.2,173.6,1,1055.8
899.4,2.6,13.4,72.8,172.6,1,1060.1
898.9,2.6,13.4,73.7,172,1,1064.2
898.5,2.6,13.4,74.2,171.8,1,1068.1
898.2,2.6,13.4,74.8,172.1,1,1072.2
897.7,2.6,13.4,75.1,172.8,1,1076.5
897.1,2.6,13.3,75,174,1,1081.2
896.6,2.6,13.3,74.9,175.7,1,1086
896.1,2.6,13.3,74.8,177.9,1,1090.7
895.7,2.6,13.3,74.8,180.6,1,1095.2
895.2,2.6,13.3,74.6,183.6,1,1099.4
894.8,2.6,13.2,74.2,187,1,1103.5
894.4,2.6,13.2,73.4,190.6,1,1107.4
894,2.6,13.3,72.7,194.3,1,1111
893.6,2.6,13.3,72.1,197.9,1,1114.6
893.2,2.6,13.2,71.5,201.3,1.1,1118.5
892.7,2.6,13.2,71,204.5,1.1,1122.9
892.2,2.6,13.2,70.5,207.3,1.1,1127.7
891.7,2.6,13.2,70.1,209.7,1.1,1132.5
891.2,2.6,13.2,70,211.9,1.2,1137.2
890.7,2.6,13.2,69.9,213.8,1.2,1141.7
890.3,2.6,13.2,69.8,215.3,1.2,1146.5
889.7,2.6,13.1,69.5,216.6,1.2,1151.8
889.1,2.6,13.1,69,217.6,1.2,1157.4
888.5,2.6,13.1,68.7,218.2,1.2,1162.7
888,2.6,13.1,68.7,218.5,1.1,1167.1
887.6,2.6,13,68.9,218.4,1.1,1170.8
887.3,2.6,13,69,218,1.1,1174.2
887.1,2.6,12.9,69.2,217.2,1,1177.8
886.5,2.6,12.9,69.3,215.9,1,1182.2
885.9,2.6,12.9,69.5,214.3,0.9,1187.2
885.4,2.6,12.8,69.5,212.3,0.8,1192.3
884.9,2.6,12.8,69.4,210,0.8,1197.2
884.4,2.6,12.8,69.2,207.3,0.7,1202
883.9,2.6,12.7,69.1,204.2,0.7,1206.6
883.4,2.6,12.7,68.9,200.8,0.6,1210.7
883.1,2.6,12.7,68.9,196.8,0.5,1214.5
882.7,2.6,12.6,68.9,192.5,0.5,1218.3
882.3,2.6,12.6,69,187.9,0.4,1222.4
881.8,2.6,12.6,69.2,183.1,0.4,1226.9
881.2,2.6,12.5,69.3,178.3,0.3,1231.5
880.8,2.6,12.5,69.3,173.8,0.3,1235.9
880.3,2.6,12.5,69.3,170.1,0.2,1240.3
879.9,2.6,12.4,69.4,168.1,0.2,1244.8
879.4,2.6,12.4,69.5,170.1,0.1,1249.6
878.8,2.6,12.3,69.6,184.7,0.1,1254.7
878.3,2.6,12.3,69.7,239,0.1,1259.9
877.8,2.6,12.2,69.9,278.7,0.1,1265
877.3,2.6,12.2,70.1,288.4,0.2,1270.1
876.7,2.6,12.1,70.3,290.5,0.3,1275.1
876.2,2.6,12.1,70.6,290.3,0.4,1280
875.7,2.6,12.1,70.9,289.1,0.5,1284.7
875.2,2.6,12,71,287.5,0.6,1289.4
874.7,2.6,12,71.1,285.7,0.7,1294.2
874.2,2.6,11.9,71.2,283.8,0.8,1299.4
873.6,2.6,11.9,71.4,281.8,0.9,1304.7
873.1,2.6,11.8,71.5,279.8,1,1310.1
872.5,2.6,11.8,71.2,277.7,1.2,1315.3
872,2.6,11.7,70.9,275.6,1.3,1320.2
871.5,2.6,11.7,70.9,273.4,1.4,1324.7
871.1,2.6,11.7,70.9,271.1,1.5,1329.1
870.6,2.7,11.6,71.1,268.8,1.7,1333.6
870.1,2.7,11.6,71.4,266.5,1.8,1338.3
869.6,2.7,11.5,71.9,264.2,1.9,1343.2
869.1,2.7,11.5,72.5,261.8,2,1348.6
868.5,2.7,11.5,72.8,259.4,2.2,1354.4
867.8,2.7,11.4,73.1,257,2.3,1360.7
867.1,2.7,11.4,73.4,254.6,2.4,1366.9
866.5,2.7,11.3,73.7,252.3,2.5,1372.9
866,2.7,11.3,73.8,250,2.7,1378.7
865.4,2.7,11.3,74,247.7,2.8,1384.7
864.7,2.6,11.2,74.2,245.6,2.9,1390.8
864,2.6,11.1,74.4,243.5,3,1396.7
863.5,2.6,11.1,74.8,241.5,3.1,1402.3
863,2.6,11,75.1,239.6,3.2,1407.5
862.5,2.6,11,75.4,237.8,3.4,1412.6
861.9,2.6,10.9,75.7,236.2,3.5,1417.9
861.3,2.6,10.9,76,234.7,3.6,1423.3
860.8,2.6,10.8,76.1,233.3,3.7,1428.7
860.2,2.6,10.8,76.5,232,3.8,1434.5
859.5,2.6,10.7,76.8,230.9,3.9,1440.5
859,2.6,10.7,77,230,4,1446.6
858.3,2.6,10.6,77.1,229.1,4.1,1453
857.6,2.6,10.6,77,228.4,4.2,1459.4
856.9,2.6,10.5,76.8,227.7,4.3,1465.3
856.4,2.6,10.5,76.9,227.2,4.4,1470.6
856,2.6,10.5,77,226.8,4.4,1475.2
855.6,2.6,10.4,76.9,226.4,4.5,1479.4
855.2,2.6,10.4,76.4,226.1,4.6,1483.5
854.7,2.6,10.3,74.5,225.8,4.7,1487.5
854.3,2.6,10.4,70.9,225.6,4.8,1491.3
853.9,2.6,10.4,67,225.3,4.8,1495.2
853.5,2.6,10.5,64.7,225,4.9,1499.3
853.1,2.6,10.5,64,224.7,5,1504.2
852.5,2.6,10.5,63.9,224.4,5.1,1509.7
851.8,2.6,10.5,64.3,224,5.1,1515.3
851.2,2.6,10.4,65.1,223.6,5.2,1520.2
851,2.6,10.4,66.2,223.1,5.3,1524.1
850.7,2.6,10.3,67.2,222.5,5.4,1527.8
850.2,2.6,10.3,67.4,221.9,5.4,1532.1
849.6,2.6,10.3,66.7,221.3,5.5,1536.9
849.1,2.6,10.3,65.7,220.5,5.6,1541.7
848.8,2.6,10.3,64.9,219.7,5.6,1546.6
848.2,2.6,10.3,64.6,218.9,5.7,1551.7
847.6,2.6,10.2,65.5,218,5.8,1556.9
847.1,2.6,10.2,67.4,217.1,5.8,1561.9
846.7,2.6,10.1,69.2,216.2,5.9,1566.4
846.2,2.6,10.1,70.3,215.3,6,1570.5
845.8,2.6,10,70.8,214.4,6,1574.3
845.5,2.6,10,70.7,213.6,6.1,1578.2
845.1,2.6,10,70.1,212.8,6.1,1582.7
844.5,2.6,9.9,69.4,212.1,6.2,1587.8
843.9,2.6,9.9,69.1,211.5,6.2,1593.2
843.4,2.6,9.9,69,210.9,6.2,1598.4
843,2.6,9.8,68.5,210.5,6.3,1603.3
842.4,2.6,9.8,66.1,210.1,6.3,1608
841.9,2.6,9.9,62.3,209.9,6.3,1612.4
841.6,2.6,9.9,60.1,209.7,6.3,1616.5
