#CONTENT 
Class,Category,Level,Form 
WOUDC,OzoneSonde,1,1

#DATA_GENERATION 
Date,Agency,Version,ScientificAuthority 
2019-08-20,EIMO,1,Juan Crespo

#PLATFORM 
Type,ID,Name,Country,GAW_ID
STN,441,Easter Island,CHL,EIC

#INSTRUMENT 
Name,Model,Number 
ECC,6A,na

#LOCATION 
Latitude,Longitude,Height 
-27.17,-109.42,49.9
 
#TIMESTAMP 
UTCOffset,Date,Time 
+00:00:00,2019-08-20,23:42:00
 
#PROFILE 
Pressure,O3PartialPressure,Temperature,RelativeHumidity,WindDirection,WindSpeed,GPHeight
1006.3,-32768.0,19.1,64.0,320.0,10.0,49.9
1005.1,-32768.0,18.7,64.1,324.7,8.3,58.2
1004.8,-32768.0,18.7,64.1,326.5,8.1,63.2
1004.3,-32768.0,18.7,64.1,326.9,8.4,67.9
1003.6,-32768.0,18.6,64.3,326.7,8.8,72.8
1003.0,-32768.0,18.5,64.6,326.4,9.3,78.4
1002.3,-32768.0,18.5,64.7,326.2,9.8,84.8
1001.3,-32768.0,18.4,64.8,326.0,10.3,91.8
1000.5,-32768.0,18.4,64.7,325.9,10.7,98.4
1000.0,-32768.0,18.3,64.8,325.7,11.1,104.1
999.4,-32768.0,18.2,65.2,325.6,11.5,109.5
998.7,-32768.0,18.2,65.6,325.5,11.9,115.1
998.0,-32768.0,18.1,65.9,325.4,12.3,120.9
997.3,-32768.0,18.1,65.8,325.3,12.6,126.5
996.8,-32768.0,18.0,65.5,325.2,13.0,131.7
996.2,-32768.0,17.9,65.0,325.1,13.3,136.9
995.6,-32768.0,17.9,65.4,325.0,13.6,141.9
995.0,-32768.0,17.8,65.4,325.0,13.9,146.7
994.4,-32768.0,17.8,65.5,324.9,14.1,151.3
993.9,-32768.0,17.7,65.2,324.8,14.3,155.8
993.6,-32768.0,17.6,64.9,324.8,14.5,160.5
992.8,-32768.0,17.6,65.5,324.8,14.7,166.1
991.9,-32768.0,17.5,66.4,324.7,14.9,172.5
991.2,-32768.0,17.5,67.2,324.7,15.1,178.9
990.6,-32768.0,17.4,67.3,324.6,15.2,185.2
989.8,-32768.0,17.4,67.0,324.6,15.3,191.4
989.1,-32768.0,17.3,67.1,324.6,15.4,197.3
988.5,-32768.0,17.2,67.2,324.5,15.5,202.7
988.0,-32768.0,17.2,66.9,324.4,15.5,208.1
987.3,-32768.0,17.1,66.6,324.3,15.6,214.0
986.4,-32768.0,17.0,66.5,324.2,15.6,220.1
985.8,-32768.0,17.0,66.7,324.1,15.6,225.7
985.3,-32768.0,16.9,66.8,324.0,15.6,230.5
984.8,-32768.0,16.9,66.9,323.8,15.6,235.1
984.2,-32768.0,16.8,67.4,323.6,15.6,240.1
983.6,-32768.0,16.8,67.9,323.4,15.6,245.8
982.8,-32768.0,16.7,68.4,323.2,15.6,252.1
982.0,-32768.0,16.7,68.7,322.9,15.5,258.9
981.2,-32768.0,16.6,69.0,322.6,15.5,265.5
980.5,-32768.0,16.6,69.6,322.4,15.4,271.9
979.8,-32768.0,16.5,69.8,322.0,15.4,278.3
979.1,-32768.0,16.4,69.5,321.7,15.3,285.2
978.2,-32768.0,16.4,69.5,321.4,15.3,292.5
977.3,-32768.0,16.3,69.9,321.1,15.2,299.7
976.5,-32768.0,16.2,70.3,320.8,15.2,306.4
975.8,-32768.0,16.2,70.3,320.6,15.1,312.2
975.3,-32768.0,16.1,70.5,320.3,15.1,317.4
974.8,-32768.0,16.1,71.2,320.1,15.0,322.4
974.1,-32768.0,16.0,71.8,319.9,15.0,327.7
973.5,-32768.0,16.0,72.1,319.8,14.9,333.2
972.9,-32768.0,15.9,72.1,319.7,14.9,338.7
972.3,-32768.0,15.9,72.2,319.7,14.8,344.0
971.7,-32768.0,15.8,72.5,319.7,14.8,349.3
971.0,-32768.0,15.8,72.9,319.9,14.7,354.8
970.4,-32768.0,15.7,73.2,320.1,14.7,360.4
969.7,-32768.0,15.7,73.6,320.3,14.7,366.2
969.0,-32768.0,15.6,74.1,320.7,14.7,372.5
968.3,-32768.0,15.6,74.5,321.1,14.6,379.1
967.5,-32768.0,15.5,74.3,321.6,14.6,385.8
966.7,-32768.0,15.4,74.3,322.1,14.6,392.3
966.0,-32768.0,15.4,74.8,322.8,14.6,398.2
965.5,-32768.0,15.3,75.5,323.4,14.6,403.6
964.9,-32768.0,15.3,75.7,324.2,14.6,409.0
964.2,-32768.0,15.2,75.5,325.0,14.6,415.1
963.4,-32768.0,15.1,75.2,325.8,14.6,421.9
962.6,-32768.0,15.1,75.3,326.6,14.6,428.8
961.8,-32768.0,15.0,75.8,327.5,14.6,435.3
961.2,-32768.0,14.9,75.9,328.4,14.7,440.8
960.7,-32768.0,14.9,75.8,329.2,14.7,445.8
960.2,-32768.0,14.8,75.6,330.1,14.8,450.9
959.5,-32768.0,14.8,75.4,330.9,14.8,456.4
958.8,-32768.0,14.7,75.6,331.7,14.9,461.9
958.2,-32768.0,14.7,76.3,332.5,15.0,467.1
957.7,-32768.0,14.6,77.0,333.2,15.0,472.1
957.2,-32768.0,14.6,77.6,333.8,15.1,477.1
956.5,-32768.0,14.5,78.0,334.4,15.2,482.6
