
#CONTENT 
Class,Category,Level,Form 
WOUDC,OzoneSonde,1,1

#DATA_GENERATION 
Date,Agency,Version,ScientificAuthority 
2019-04-27,EIMO,1,Juan Crespo

#PLATFORM 
Type,ID,Name,Country,GAW_ID
STN,441,Easter Island,CHL,EIC

#INSTRUMENT 
Name,Model,Number 
ECC,6A,na

#LOCATION 
Latitude,Longitude,Height 
-27.17,-109.42,49.9
 
#TIMESTAMP 
UTCOffset,Date,Time 
+00:00:00,2019-04-27,00:19:00
 
#PROFILE 
Pressure,O3PartialPressure,Temperature,RelativeHumidity,WindDirection,WindSpeed,GPHeight
964.5,1.2,19.7,82.2,64,3.7,494.9
964,1.2,19.7,82.6,62.5,3.7,498.9
963.5,1.2,19.6,83.1,61,3.7,503.1
963,1.2,19.6,83.4,59.6,3.7,507.5
962.5,1.2,19.6,83.6,58.3,3.7,512.1
962,1.2,19.6,83.6,57.1,3.7,517
961.4,1.2,19.5,83.7,56,3.7,521.7
960.9,1.2,19.5,83.9,55,3.7,526
960.5,1.2,19.5,84,54.1,3.7,530
960.1,1.2,19.4,84,53.3,3.7,534.1
959.6,1.2,19.4,84,52.6,3.8,538.7
959,1.2,19.4,84,52.1,3.8,543.7
958.4,1.2,19.3,84,51.7,3.8,548.6
957.9,1.3,19.3,84,51.4,3.8,553.1
957.5,1.3,19.3,83.8,51.2,3.9,557.1
957.1,1.3,19.3,83.5,51.1,3.9,560.3
956.8,1.3,19.4,83.2,51.2,3.9,563.1
956.5,1.3,19.5,82.8,51.4,4,565.6
956.3,1.3,19.6,82.3,51.6,4,568.4
956,1.3,19.8,81.7,52,4.1,572.1
955.3,1.3,19.8,81.2,52.5,4.1,576.9
954.6,1.3,19.8,81.1,53,4.2,582.2
954.1,1.3,19.8,81.3,53.5,4.2,587.2
953.7,1.2,19.8,81.6,54,4.3,591.8
953.2,1.2,19.8,82,54.6,4.3,596.2
952.7,1.2,19.7,82.1,55.1,4.4,600.6
952.2,1.2,19.7,82.3,55.7,4.4,604.9
951.7,1.2,19.6,82.5,56.2,4.4,608.9
951.3,1.2,19.6,82.5,56.6,4.4,612.7
951,1.2,19.6,82.6,57.1,4.4,616.4
950.5,1.2,19.5,82.9,57.5,4.4,620.3
950.1,1.2,19.5,83.3,57.8,4.4,624.4
949.6,1.2,19.4,83.6,58.1,4.4,628.6
949.1,1.2,19.4,83.8,58.4,4.3,632.6
948.7,1.2,19.3,84.1,58.7,4.2,636.5
948.3,1.2,19.3,84.3,58.9,4.2,640.2
947.9,1.2,19.2,84.4,59.1,4.1,643.9
947.5,1.2,19.2,84.4,59.3,4,647.9
947,1.2,19.2,84.3,59.5,3.9,652.3
946.5,1.2,19.2,84.2,59.7,3.7,656.9
945.9,1.2,19.1,84.3,59.8,3.6,661.8
945.3,1.2,19.1,84.4,60.1,3.5,666.5
945,1.2,19.1,84.4,60.3,3.3,670.7
944.6,1.2,19.1,84.3,60.7,3.2,675
944,1.2,19.1,84.4,61.1,3.1,679.5
943.5,1.2,19,84.8,61.6,3,683.9
943.1,1.2,18.9,85.2,62.3,2.9,688
942.7,1.2,18.9,85.5,63.1,2.7,691.8
942.3,1.2,18.8,85.8,64,2.6,695.5
941.9,1.2,18.8,85.8,65.2,2.6,699.1
941.5,1.2,18.8,85.7,66.4,2.5,702.9
941,1.2,18.8,85.4,67.8,2.4,707.1
940.5,1.2,18.8,85,69.4,2.4,711.5
940,1.2,18.8,84.9,71,2.3,715.9
939.6,1.2,18.8,84.7,72.7,2.3,720
939.1,1.2,18.8,84.3,74.4,2.3,723.9
938.7,1.2,18.8,84.1,76.1,2.3,727.4
938.4,1.2,18.8,84.3,77.7,2.3,730.6
938.1,1.2,18.7,84.5,79.3,2.3,733.8
937.8,1.2,18.7,84.7,80.7,2.3,737.6
937.2,1.2,18.7,84.9,82,2.3,742.2
936.6,1.2,18.6,85.1,83.1,2.3,747.2
936.1,1.2,18.6,85,84.1,2.3,752
935.6,1.2,18.5,85.2,85,2.3,756.9
935,1.2,18.5,85.6,85.6,2.3,761.9
934.4,1.2,18.5,85.9,86.1,2.3,766.8
934,1.2,18.4,85.9,86.5,2.3,771.3
