#CONTENT 
Class,Category,Level,Form 
WOUDC,OzoneSonde,1,1

#DATA_GENERATION 
Date,Agency,Version,ScientificAuthority 
2019-10-13,EIMO,1,Juan Crespo

#PLATFORM 
Type,ID,Name,Country,GAW_ID
STN,441,Easter Island,CHL,EIC

#INSTRUMENT 
Name,Model,Number 
ECC,6A,na

#LOCATION 
Latitude,Longitude,Height 
-27.17,-109.42,49.9
 
#TIMESTAMP 
UTCOffset,Date,Time 
+00:00:00,2019-10-13,23:46:00
 
#PROFILE 
Pressure,O3PartialPressure,Temperature,RelativeHumidity,WindDirection,WindSpeed,GPHeight
1015.3,1.4,20.2,66.0,138.0,5.0,49.9
1014.9,1.4,19.3,68.5,150.0,4.0,53.1
1014.4,1.4,19.1,68.9,157.9,3.8,57.9
1013.8,1.5,19.1,69.1,161.4,3.8,62.9
1013.2,1.5,19.1,68.9,162.0,4.0,68.0
1012.5,1.5,19.0,68.9,162.0,4.3,72.8
1012.1,1.5,18.9,69.2,162.0,4.5,76.8
1011.7,1.5,18.9,69.4,162.2,4.6,80.2
1011.4,1.5,18.9,69.5,162.6,4.8,83.7
1010.9,1.5,18.9,69.2,162.9,5.0,87.9
1010.3,1.5,18.9,68.7,163.2,5.1,92.4
1009.7,1.5,18.9,68.5,163.4,5.2,96.8
1009.2,1.5,18.9,68.5,163.6,5.4,100.7
1009.0,1.5,18.8,68.7,163.7,5.5,104.3
1008.7,1.5,18.8,68.9,163.8,5.6,108.6
1007.8,1.5,18.8,69.0,163.8,5.7,113.5
1007.1,1.5,18.8,69.2,163.8,5.7,117.7
1006.9,1.5,18.7,69.3,163.7,5.8,119.4
1006.7,1.5,18.5,70.3,161.7,6.0,122.6
1006.4,1.5,18.5,70.5,161.2,6.0,124.6
1006.3,1.5,18.5,70.6,160.7,6.0,125.7
1006.2,1.5,18.4,71.7,158.8,6.1,127.5
1006.0,1.5,18.4,71.2,158.2,6.1,130.0
1005.5,1.5,18.4,70.6,157.6,6.1,133.8
1004.9,1.5,18.4,70.3,156.9,6.1,138.3
1004.3,1.5,18.4,70.3,156.3,6.1,142.7
1003.9,1.5,18.3,70.5,155.8,6.2,146.2
1003.7,1.5,18.3,70.7,155.2,6.2,148.8
1003.5,1.5,18.3,70.7,154.7,6.2,150.7
1003.3,1.5,18.3,70.6,154.3,6.2,152.7
1002.9,1.5,18.3,70.4,153.9,6.2,154.7
1002.7,1.5,18.2,70.5,153.5,6.3,156.9
1002.5,1.5,18.2,71.0,153.2,6.3,159.3
1002.1,1.5,18.1,71.9,153.0,6.3,162.2
1001.8,1.5,18.1,72.6,152.8,6.3,165.3
1001.3,1.5,18.1,72.6,152.6,6.4,168.5
1000.9,1.5,18.1,72.4,152.5,6.4,170.8
1000.8,1.5,18.0,72.5,152.4,6.4,174.3
1000.4,1.5,17.9,72.8,152.4,6.4,176.8
1000.1,1.5,17.9,72.9,152.4,6.5,179.6
999.8,1.5,17.9,73.1,152.4,6.5,182.4
999.4,1.5,17.9,73.3,152.4,6.5,184.8
999.3,1.5,17.8,73.3,152.5,6.5,186.9
999.1,1.5,17.8,73.2,152.6,6.5,188.9
998.6,1.5,17.7,73.2,152.7,6.5,191.3
998.4,1.5,17.7,73.4,152.8,6.5,194.2
998.1,1.5,17.7,73.6,152.9,6.6,197.9
997.4,1.5,17.7,73.6,153.0,6.6,202.6
996.7,1.5,17.6,73.3,153.1,6.6,207.4
996.3,1.5,17.6,72.8,153.3,6.6,211.2
996.1,1.5,17.6,72.5,153.4,6.6,213.9
995.8,1.5,17.5,72.3,153.6,6.6,216.3
995.5,1.5,17.5,72.0,153.8,6.6,219.0
995.2,1.5,17.5,71.9,153.9,6.6,222.0
994.8,1.5,17.5,72.3,154.1,6.6,225.5
994.3,1.5,17.4,73.1,154.3,6.5,229.4
993.8,1.5,17.4,73.6,154.5,6.5,233.2
993.4,1.5,17.3,73.8,154.7,6.5,236.9
993.0,1.5,17.3,73.7,154.9,6.5,240.8
992.5,1.5,17.2,73.5,155.1,6.5,245.0
991.9,1.5,17.2,73.5,155.3,6.5,249.9
991.3,1.5,17.2,73.8,155.4,6.5,255.2
990.6,1.5,17.1,74.4,155.6,6.5,260.5
990.1,1.5,17.1,75.1,155.8,6.5,265.5
989.5,1.5,17.0,75.7,155.9,6.5,270.6
988.9,1.5,16.9,76.4,156.0,6.5,275.6
988.4,1.5,16.9,76.7,156.0,6.5,280.2
987.9,1.5,17.0,76.4,156.0,6.5,284.6
987.3,1.5,17.0,76.3,156.0,6.5,288.9
986.9,1.5,16.9,76.9,155.9,6.5,292.9
986.6,1.5,16.8,77.4,155.8,6.5,297.0
986.0,1.5,16.8,77.5,155.6,6.5,301.8
985.2,1.5,16.7,77.5,155.4,6.5,306.9
984.6,1.5,16.7,77.1,155.2,6.5,311.8
984.2,1.5,16.7,76.4,154.9,6.5,315.9
983.9,1.5,16.6,75.8,154.6,6.5,319.7
983.4,1.5,16.5,76.3,154.2,6.5,323.9
982.8,1.5,16.5,77.7,153.9,6.4,328.7
982.2,1.5,16.4,78.5,153.5,6.4,333.7
981.6,1.5,16.4,78.4,153.1,6.4,338.8
981.0,1.5,16.4,78.0,152.6,6.3,343.3
980.6,1.5,16.3,78.4,152.2,6.3,347.2
980.3,1.5,16.3,79.0,151.8,6.2,350.9
979.8,1.5,16.3,78.6,151.4,6.2,355.0
979.3,1.5,16.2,77.4,151.0,6.1,360.0
978.5,1.5,16.1,76.6,150.6,6.0,366.1
977.7,1.5,16.0,76.4,150.2,5.9,372.3
977.1,1.5,16.0,76.4,149.9,5.9,378.0
976.5,1.5,16.0,76.4,149.6,5.8,383.3
976.0,1.5,15.9,76.4,149.3,5.7,388.1
975.4,1.5,15.9,76.6,149.1,5.6,392.6
975.0,1.5,15.8,76.9,148.9,5.5,397.2
974.4,1.5,15.8,77.5,148.8,5.5,402.1
973.8,1.5,15.7,78.0,148.7,5.4,407.3
973.2,1.5,15.7,77.9,148.7,5.3,412.6
972.5,1.5,15.7,77.1,148.6,5.3,417.8
972.0,1.5,15.6,77.4,148.7,5.2,422.3
971.6,1.5,15.5,78.5,148.7,5.2,426.3
971.2,1.5,15.5,79.2,148.8,5.1,430.0
970.7,1.5,15.4,79.4,149.0,5.1,433.7
970.3,1.5,15.4,79.9,149.1,5.1,437.4
969.9,1.5,15.3,80.3,149.3,5.1,441.4
969.4,1.5,15.3,80.3,149.5,5.1,445.7
968.8,1.5,15.3,80.4,149.8,5.1,450.2
968.3,1.5,15.2,80.8,150.1,5.1,454.9
967.8,1.5,15.1,80.6,150.3,5.1,459.8
967.2,1.5,15.1,80.1,150.6,5.1,465.1
966.5,1.5,15.1,80.0,151.0,5.2,470.5
965.9,1.5,15.0,79.5,151.3,5.2,475.4
965.6,1.5,15.0,78.5,151.6,5.3,479.8
965.0,1.5,15.0,78.6,151.9,5.3,484.4
964.3,1.5,14.9,79.7,152.3,5.4,489.2
963.9,1.5,14.9,81.1,152.7,5.4,493.7
963.4,1.5,14.8,81.6,153.1,5.5,498.1
962.9,1.5,14.8,81.2,153.5,5.6,502.6
962.4,1.5,14.7,80.3,154.0,5.6,507.4
961.8,1.5,14.7,79.5,154.4,5.7,512.5
961.1,1.5,14.7,78.3,154.9,5.7,517.7
960.5,1.5,14.6,77.3,155.4,5.8,522.8
960.1,1.5,14.6,76.9,155.8,5.8,527.8
959.5,1.5,14.6,77.2,156.2,5.9,533.1
958.7,1.5,14.5,77.9,156.6,6.0,538.6
958.2,1.5,14.5,78.2,157.0,6.0,543.8
957.7,1.5,14.4,78.3,157.4,6.1,548.7
957.1,1.5,14.4,78.7,157.8,6.1,553.6
956.6,1.5,14.4,79.1,158.1,6.1,558.7
955.9,1.5,14.3,79.6,158.4,6.2,564.0
955.3,1.5,14.3,79.9,158.7,6.2,569.2
954.8,1.5,14.2,79.7,158.9,6.3,573.8
954.3,1.5,14.2,80.1,159.1,6.3,577.8
954.0,1.5,14.1,81.2,159.3,6.4,581.4
