#CONTENT 
Class,Category,Level,Form 
WOUDC,OzoneSonde,1,1

#DATA_GENERATION 
Date,Agency,Version,ScientificAuthority 
2019-07-05,EIMO,1,Juan Crespo

#PLATFORM 
Type,ID,Name,Country,GAW_ID
STN,441,Easter Island,CHL,EIC

#INSTRUMENT 
Name,Model,Number 
ECC,6A,na

#LOCATION 
Latitude,Longitude,Height 
-27.17,-109.42,49.9
 
#TIMESTAMP 
UTCOffset,Date,Time 
+00:00:00,2019-07-05,23:35:00
 
#PROFILE 
Pressure,O3PartialPressure,Temperature,RelativeHumidity,WindDirection,WindSpeed,GPHeight
1008.1,2.4,16.8,94.0,270.0,5.0,49.9
1007.4,2.4,16.5,95.5,266.6,4.9,54.8
1006.8,2.4,16.5,95.5,264.4,5.1,60.6
1006.2,2.4,16.5,95.5,263.2,5.4,66.1
1005.6,2.4,16.4,95.3,262.4,5.8,71.7
1004.8,2.4,16.4,95.0,261.8,6.2,77.9
1004.0,2.4,16.3,94.8,261.2,6.5,85.0
1003.1,2.4,16.3,94.8,260.6,6.9,92.6
1002.1,2.4,16.2,94.9,260.0,7.3,100.3
1001.3,2.4,16.1,94.9,259.4,7.7,107.4
1000.5,2.4,16.1,95.1,258.9,8.1,113.5
1000.0,2.4,16.0,95.3,258.4,8.4,118.5
999.5,2.4,16.0,95.4,258.0,8.8,123.1
999.0,2.4,15.9,95.4,257.6,9.2,127.6
998.4,2.4,15.9,95.3,257.2,9.5,132.1
997.9,2.4,15.8,95.3,256.9,9.8,137.0
997.3,2.4,15.7,95.5,256.6,10.1,142.6
996.5,2.4,15.7,95.9,256.4,10.4,149.1
995.6,2.4,15.6,96.4,256.3,10.7,156.0
994.8,2.4,15.6,96.7,256.2,10.9,162.6
994.1,2.4,15.5,96.7,256.1,11.2,168.5
993.5,2.4,15.5,96.7,256.1,11.4,173.5
993.1,2.4,15.4,97.0,256.1,11.5,178.3
992.5,2.5,15.4,97.5,256.1,11.7,183.9
991.6,2.5,15.4,97.8,256.2,11.8,190.6
990.6,2.5,15.3,98.3,256.3,11.9,197.9
989.9,2.5,15.2,98.7,256.4,12.0,205.0
989.2,2.5,15.2,99.0,256.5,12.1,211.6
988.4,2.5,15.1,99.3,256.7,12.1,218.0
987.7,2.5,15.0,99.4,256.9,12.2,224.0
987.0,2.5,15.0,99.2,257.1,12.2,229.6
986.4,2.5,15.0,98.8,257.3,12.2,234.8
985.9,2.5,14.9,98.7,257.5,12.2,239.8
985.3,2.5,14.9,98.7,257.7,12.2,245.1
984.6,2.5,14.9,98.9,257.9,12.2,250.6
983.9,2.5,14.8,99.1,258.1,12.2,256.1
983.3,2.5,14.7,98.8,258.3,12.2,261.2
982.9,2.6,14.7,98.8,258.5,12.2,266.1
982.3,2.6,14.7,99.0,258.7,12.2,271.3
981.5,2.6,14.7,98.7,258.8,12.2,276.8
980.9,2.6,14.6,98.6,258.9,12.2,282.1
980.4,2.6,14.5,98.3,259.1,12.2,287.0
979.9,2.5,14.4,98.2,259.2,12.3,291.7
979.3,2.5,14.3,98.4,259.3,12.3,296.3
978.8,2.5,14.3,98.5,259.4,12.3,300.8
978.3,2.5,14.3,98.7,259.5,12.4,305.2
977.8,2.5,14.3,99.1,259.6,12.4,309.5
977.3,2.5,14.3,99.4,259.7,12.5,314.1
976.7,2.5,14.2,99.5,259.9,12.6,319.2
976.0,2.5,14.2,99.5,260.0,12.6,324.6
975.4,2.5,14.1,99.5,260.1,12.7,330.0
974.8,2.5,14.0,99.3,260.2,12.8,335.1
974.3,2.5,14.0,99.0,260.4,12.9,339.9
973.7,2.5,14.0,98.4,260.5,12.9,344.5
973.2,2.5,13.9,98.1,260.7,13.0,349.0
972.7,2.5,13.9,98.7,260.9,13.1,353.6
972.2,2.5,14.1,99.5,261.1,13.2,358.5
971.6,2.5,14.3,99.2,261.3,13.3,363.6
970.9,2.5,14.2,98.2,261.5,13.3,368.7
970.4,2.5,13.9,97.9,261.7,13.4,373.2
970.0,2.5,13.7,99.1,261.9,13.5,377.3
969.6,2.5,13.9,100.0,262.1,13.5,381.2
969.1,2.5,14.0,100.0,262.3,13.6,385.3
968.6,2.5,14.2,100.0,262.5,13.7,389.6
968.1,2.5,14.2,99.7,262.7,13.7,394.1
967.5,2.5,14.2,99.1,262.8,13.8,398.8
967.0,2.5,14.1,98.6,262.9,13.8,403.6
966.4,2.5,14.0,97.8,263.0,13.8,408.7
965.8,2.5,13.7,97.6,263.1,13.9,414.0
965.2,2.5,13.5,98.1,263.2,13.9,419.8
964.4,2.5,13.4,98.7,263.2,13.9,425.7
963.8,2.6,13.3,99.2,263.2,13.9,431.4
963.2,2.6,13.3,99.4,263.1,13.9,436.8
962.6,2.6,13.2,99.2,263.0,13.9,441.7
962.1,2.6,13.2,99.1,262.9,13.9,446.3
961.6,2.6,13.2,99.0,262.8,13.9,450.7
961.1,2.6,13.1,98.8,262.6,13.8,455.2
960.6,2.6,13.1,98.7,262.4,13.8,459.8
960.0,2.6,13.1,98.5,262.1,13.7,464.6
959.4,2.6,13.1,98.4,261.8,13.7,469.6
958.8,2.6,13.1,98.7,261.5,13.6,474.8
958.2,2.6,13.0,99.1,261.1,13.6,480.1
957.7,2.6,13.0,99.4,260.7,13.5,485.4
957.0,2.6,13.0,99.7,260.3,13.4,491.1
956.3,2.6,12.9,100.0,259.8,13.4,497.1
955.6,2.6,13.0,100.0,259.3,13.3,503.3
954.9,2.6,13.1,100.0,258.8,13.2,509.4
954.2,2.5,13.2,100.0,258.3,13.1,515.5
953.5,2.5,13.2,100.0,257.7,13.0,521.5
952.9,2.5,13.2,100.0,257.1,13.0,527.3
952.3,2.5,13.1,100.0,256.5,12.9,532.9
951.6,2.5,13.1,100.0,255.9,12.8,538.5
951.0,2.5,13.1,99.9,255.3,12.8,544.1
950.4,2.5,13.1,99.8,254.6,12.7,549.9
949.7,2.5,13.2,99.3,254.0,12.7,555.9
949.0,2.5,13.1,98.8,253.4,12.6,562.0
948.3,2.5,13.1,98.8,252.8,12.6,568.0
947.7,2.5,13.0,99.3,252.2,12.5,573.7
