* These data were originally received by the WOUDC in NASA-GTE file format
* and have been translated into extCSV file format for WOUDC archiving.
* This translation process re-formats these data to comply with WOUDC standards.

* This file was generated by GTE_CSX - version 1.0.
* 'na' is used where Instrument Model or Number are not available.

* GTE (Global Tropospheric Experiment) is a project of NASA Langley Research
* Center (NASA-LaRC).  Ozonesonde launches are one component of the data
* collected in support of this mission.

* GTE Station: Easter Island, Chile

* cjo3se68.pmt
* Carreno, Jorge, Met Office, Easter Island, Chile
* Ozone/Ecc sonde
* Pem-Tropics
* Latitude of Sonde Launch Station:  -27.17 South
* Longitude of Sonde Launch Station: -109.42 West
* Altitude of Sonde Launch Station: 69.2 Meters
* The integrated column ozone and ozone mixing ratio
* were calculated by NASA as data was not provided
* by Easter Island.  All sonde levels are reported.

#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
1997-01-20,EIMO,1.0,"Carreno, Jorge, Met Office, Easter Island, Chile"
* NASA-LaRC Project Co-ordinator: Vince Brackett, NASA-LaRC

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,441,Easter Island,CHL

#INSTRUMENT
Name,Model,Number
ECC,na,na

#LOCATION
Latitude,Longitude,Height
-27.17,-109.42,69.2

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,1997-03-28,23:00:06

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLcode,ObsType,Instrument,Number
213.2

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1010,0.195,28.1,,,,0,69,75
1009.5,0.487,29.1,,,,120,73,57
1008.5,0.682,28,,,,152,82,58
1003.9,0.779,26.8,,,,161,122,60
1001.6,0.779,25.9,,,,169,142,64
997.1,0.779,25.2,,,,178,182,66
992.6,0.779,25,,,,187,221,67
988.6,0.779,24.5,,,,196,256,68
983.5,0.877,24.1,,,,205,301,69
979.2,0.779,23.8,,,,214,339,70
974.4,0.779,23.4,,,,223,382,71
970.6,0.779,23,,,,232,416,71
966.1,0.877,22.6,,,,241,456,72
962.5,0.779,22.5,,,,250,489,73
959.5,0.779,22,,,,258,516,73
955.8,0.877,21.9,,,,267,549,73
952.6,0.779,21.5,,,,276,578,74
948.8,0.779,21.1,,,,285,612,75
945.3,0.877,21,,,,294,644,76
942.6,0.877,20.5,,,,303,669,78
939.5,0.779,20.4,,,,312,697,78
936.1,0.779,20.1,,,,322,728,76
933.8,0.877,20,,,,330,749,76
930.8,0.877,19.9,,,,339,777,76
928,0.877,19.6,,,,348,803,72
925.1,0.877,19.5,,,,356,830,71
922.6,0.877,19.1,,,,364,853,73
920.3,0.877,19,,,,372,874,76
918.1,0.877,18.9,,,,380,895,74
915.2,0.877,18.9,,,,389,922,73
912,0.877,18.6,,,,398,952,73
909,0.877,18.5,,,,407,980,70
906,0.974,18.5,,,,416,1008,68
903.1,0.974,18.4,,,,425,1035,66
899.5,0.974,18.1,,,,435,1069,64
897,0.974,18,,,,443,1093,64
894.1,0.974,17.9,,,,452,1121,63
891.4,0.974,17.6,,,,460,1146,63
888.2,0.877,17.4,,,,469,1177,63
885.4,1.072,17.1,,,,478,1204,63
882.4,1.072,17,,,,487,1233,63
879.2,0.974,16.6,,,,496,1264,63
876.4,1.072,16.4,,,,505,1291,65
873.6,1.072,16.1,,,,514,1318,65
871.1,1.072,16,,,,522,1342,66
868.1,1.072,15.6,,,,531,1371,67
865.2,1.072,15.5,,,,540,1399,68
861.5,1.072,15.2,,,,549,1436,68
857.9,1.072,15,,,,558,1471,69
854.1,1.169,14.8,,,,568,1508,69
851.5,1.169,14.8,,,,576,1534,67
850,1.169,14.6,,,,580,1549,67
848.3,1.169,14.5,,,,585,1566,67
845.9,1.169,14.1,,,,593,1590,69
842.5,1.169,13.8,,,,602,1624,72
839.4,1.169,13.6,,,,611,1654,74
836.2,1.169,13.5,,,,620,1687,73
833.1,1.072,13.4,,,,629,1718,66
830,1.169,13.2,,,,638,1749,59
827.2,1.267,13.2,,,,646,1777,53
824.1,1.267,13.1,,,,655,1809,52
821,1.267,12.8,,,,664,1840,57
817.7,1.267,12.5,,,,673,1874,62
814.7,1.267,12.2,,,,682,1905,64
811.5,1.364,12,,,,691,1938,67
808.2,1.364,11.5,,,,700,1972,72
805.6,1.267,11.2,,,,708,1998,74
802.4,1.364,11,,,,717,2032,72
799.4,1.461,11.1,,,,726,2063,54
796.2,1.461,11.1,,,,735,2096,49
793,1.461,11,,,,744,2130,46
789.9,1.559,10.9,,,,753,2162,44
786.6,1.559,10.6,,,,762,2197,45
784,1.559,10.5,,,,770,2224,46
781.1,1.559,10.5,,,,779,2255,35
778.2,1.656,10.8,,,,788,2286,31
775.2,1.656,11,,,,797,2318,25
772.4,1.754,11.1,,,,806,2348,24
770.2,1.851,11.2,,,,814,2372,22
767.3,1.949,11.4,,,,823,2403,20
764.6,2.046,11.5,,,,832,2433,17
762.1,2.143,11.9,,,,841,2460,13
759.3,2.241,12,,,,850,2491,12
756.9,2.241,12,,,,858,2517,9
754.4,2.338,12.2,,,,867,2545,8
751.8,2.436,12.4,,,,876,2574,7
749,2.631,12.2,,,,885,2605,6
746.4,2.533,12.4,,,,894,2634,6
744.1,2.436,12.4,,,,902,2660,6
741.3,2.338,12.2,,,,911,2691,6
738.3,2.338,12,,,,920,2725,7
735.6,2.533,11.9,,,,929,2756,6
732.4,2.533,11.6,,,,938,2792,6
730,2.436,11.5,,,,946,2819,7
727,2.338,11.4,,,,955,2854,7
724,2.241,11,,,,964,2888,7
721,2.241,10.8,,,,973,2923,6
717.9,2.241,10.5,,,,982,2959,6
715.4,2.241,10.2,,,,990,2987,6
711.6,2.241,10,,,,1000,3032,6
709,2.143,9.9,,,,1008,3062,5
705.2,2.143,9.8,,,,1018,3106,5
702.6,2.143,9.5,,,,1026,3137,4
700,2.237,9.4,,,,1034,3168,4
699.9,2.241,9.4,,,,1039,3169,4
696.5,2.143,9.2,,,,1043,3209,3
692.7,2.241,9,,,,1053,3254,2
690,2.338,9,,,,1061,3287,1
687,2.338,8.9,,,,1070,3323,1
684.3,2.241,9,,,,1078,3355,0
681.3,2.241,9,,,,1087,3391,0
678.1,2.241,9.4,,,,1096,3430,0
675.2,2.338,9.4,,,,1105,3466,0
671.9,2.338,9.5,,,,1114,3506,0
669.3,2.436,9.5,,,,1122,3538,0
665.9,2.631,9.2,,,,1131,3581,0
662.5,2.631,8.9,,,,1141,3623,1
660.1,2.533,8.6,,,,1149,3653,1
656.9,2.338,8.5,,,,1158,3693,2
654.3,2.241,8.2,,,,1166,3726,2
651.2,2.143,8,,,,1175,3765,1
648.1,2.143,7.9,,,,1184,3804,2
645.1,2.143,7.5,,,,1193,3842,5
642.6,2.143,7.2,,,,1201,3874,6
639.7,2.143,7,,,,1210,3911,6
636.7,2.143,7,,,,1219,3950,7
634,2.143,6.8,,,,1228,3984,8
631.1,2.046,6.5,,,,1237,4022,10
628.9,2.046,6.1,,,,1245,4051,10
626,1.949,5.9,,,,1254,4088,10
623.3,2.046,5.6,,,,1263,4124,9
620.4,2.046,5.2,,,,1272,4162,8
618.3,2.046,5,,,,1280,4189,7
615.3,2.046,4.8,,,,1290,4229,5
612.9,2.046,4.5,,,,1298,4261,5
610.8,2.046,4.5,,,,1306,4289,7
608.2,1.949,4.4,,,,1315,4323,9
605.8,1.949,4.2,,,,1324,4355,9
603.2,2.046,4.2,,,,1333,4390,9
600.7,2.046,4.2,,,,1342,4424,9
598.4,2.046,4.1,,,,1350,4455,9
595.9,2.143,3.9,,,,1359,4489,9
593.7,2.046,3.5,,,,1368,4519,9
591.6,2.143,3.2,,,,1376,4548,9
589,2.046,3,,,,1385,4583,10
586.5,2.046,2.6,,,,1394,4618,11
583.8,2.046,2.5,,,,1403,4655,9
581.5,2.143,2.1,,,,1412,4687,8
579.4,2.046,2,,,,1420,4716,8
576.8,2.143,1.6,,,,1429,4752,8
574.2,2.143,1.2,,,,1438,4788,7
572,2.143,1,,,,1446,4819,6
569.2,2.143,0.6,,,,1455,4859,6
566.8,2.143,0.2,,,,1464,4892,7
564.1,2.143,0,,,,1473,4931,7
561.5,2.046,-0.4,,,,1482,4968,7
559,2.046,-0.5,,,,1491,5003,5
556.7,2.046,-0.6,,,,1499,5036,2
553.5,1.949,-0.9,,,,1510,5082,1
550.9,1.949,-1.1,,,,1519,5120,0
548.3,1.949,-1.4,,,,1528,5157,0
545.5,1.949,-1.6,,,,1537,5198,0
542.7,1.949,-1.8,,,,1546,5239,0
540.5,1.754,-2,,,,1554,5271,0
537.9,1.851,-2.2,,,,1563,5309,1
535,1.949,-2.5,,,,1572,5352,4
532.7,1.949,-2.9,,,,1580,5386,4
530.2,1.949,-3.1,,,,1589,5423,3
526.7,2.046,-3.5,,,,1598,5476,4
524.4,1.949,-3.8,,,,1606,5510,4
521.5,2.046,-4,,,,1615,5554,6
518.2,2.046,-4.2,,,,1624,5604,6
516.4,2.046,-4.5,,,,1632,5631,6
513.5,2.046,-4.9,,,,1641,5676,6
510.8,2.046,-5.2,,,,1650,5717,6
508,1.949,-5.5,,,,1659,5760,6
505.3,1.949,-5.6,,,,1667,5802,6
502.8,1.949,-6,,,,1676,5841,6
500.3,1.851,-6.4,,,,1684,5880,5
500,1.862,-6.4,,,,1685,5884,5
497.7,1.949,-6.5,,,,1693,5920,5
495.2,1.949,-6.9,,,,1702,5960,4
492.1,1.949,-7.1,,,,1711,6009,3
489.9,1.949,-7.5,,,,1719,6043,3
487,1.851,-7.8,,,,1728,6090,4
484.3,1.949,-8.1,,,,1737,6133,6
482,1.949,-8.5,,,,1745,6170,7
479.2,1.851,-8.8,,,,1754,6215,8
476.4,1.949,-9,,,,1763,6260,8
474.3,1.949,-9,,,,1771,6294,8
471.7,1.851,-9.4,,,,1780,6337,9
469.2,1.851,-9.8,,,,1789,6378,9
467,1.851,-10,,,,1797,6414,9
464.3,1.754,-10.5,,,,1806,6459,10
462.8,1.754,-10.6,,,,1818,6483,10
459.4,1.754,-11.1,,,,1826,6540,10
456.8,1.754,-11.5,,,,1835,6584,10
454.5,1.656,-11.8,,,,1844,6622,10
452.4,1.754,-12.1,,,,1852,6658,10
449.9,1.754,-12.5,,,,1861,6700,11
447.3,1.754,-12.8,,,,1870,6744,11
445.6,1.656,-13,,,,1879,6773,11
441.7,1.754,-13.5,,,,1890,6840,12
439.7,1.754,-13.9,,,,1898,6874,12
437.4,1.656,-14.2,,,,1907,6914,13
435,1.559,-14.6,,,,1916,6956,14
433.1,1.656,-15,,,,1924,6989,15
431.2,1.559,-15.2,,,,1933,7022,16
429.1,1.656,-15.6,,,,1944,7059,16
427,1.656,-16,,,,1958,7096,16
422.8,1.656,-16.5,,,,1967,7170,17
422.2,1.559,-16.8,,,,1976,7181,17
418.4,1.559,-17.2,,,,1984,7249,19
416,1.656,-17.6,,,,1993,7292,21
