* These data were originally received by the WOUDC in NASA-GTE file format
* and have been translated into extCSV file format for WOUDC archiving.
* This translation process re-formats these data to comply with WOUDC standards.

* This file was generated by GTE_CSX - version 1.0.
* 'na' is used where Instrument Model or Number are not available.

* GTE (Global Tropospheric Experiment) is a project of NASA Langley Research
* Center (NASA-LaRC).  Ozonesonde launches are one component of the data
* collected in support of this mission.

* GTE Station: Easter Island, Chile

* cjo3se71.pmt
* Carreno, Jorge, Met Office, Easter Island, Chile
* Ozone/Ecc sonde
* Pem-Tropics
* Latitude of Sonde Launch Station:  -27.17 South
* Longitude of Sonde Launch Station: -109.42 West
* Altitude of Sonde Launch Station: 69.2 Meters
* The integrated column ozone and ozone mixing ratio
* were calculated by NASA as data was not provided
* by Easter Island.  All sonde levels are reported.

#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
1997-01-20,EIMO,1.0,"Carreno, Jorge, Met Office, Easter Island, Chile"
* NASA-LaRC Project Co-ordinator: Vince Brackett, NASA-LaRC

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,441,Easter Island,CHL

#INSTRUMENT
Name,Model,Number
ECC,na,na

#LOCATION
Latitude,Longitude,Height
-27.17,-109.42,69.2

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,1997-04-26,23:00:14

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLcode,ObsType,Instrument,Number
206

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1011,0.39,25.1,,,,0,69,83
1010.8,1.169,25.4,,,,296,70,69
1010.7,1.169,24.9,,,,389,71,71
1010.4,1.169,24.2,,,,462,74,72
1007.3,1.461,23.9,,,,470,101,72
1004.2,1.267,23.5,,,,478,127,74
1000.6,1.267,23,,,,486,159,75
996.5,1.461,22.5,,,,495,194,76
992.3,1.267,22,,,,503,231,78
987.9,1.169,21.6,,,,512,269,79
984.5,1.364,21.4,,,,520,299,80
980.6,1.267,21,,,,528,333,81
977.2,1.169,20.9,,,,536,363,81
972.6,1.364,20.5,,,,547,403,82
969.4,1.267,20.1,,,,555,432,83
966.5,1.364,19.9,,,,564,457,84
963.3,1.169,19.8,,,,572,486,85
960.4,1.267,19.5,,,,580,512,86
946.9,0.877,18.5,,,,618,633,89
942.1,1.559,18.2,,,,633,676,90
935.5,1.169,17.5,,,,655,736,88
932.9,1.169,17.5,,,,664,760,90
930.5,1.461,17.4,,,,672,782,90
928.9,1.169,17.2,,,,680,796,89
926.7,1.754,17.1,,,,689,817,81
924,1.267,17.5,,,,698,841,79
921.1,1.559,17.8,,,,706,868,77
918.4,2.046,17.8,,,,715,893,76
850,2.211,14.1,,,,909,1548,63.1
594.3,2.825,0.4,,,,1635,4485,15
588.7,1.949,-0.4,,,,1652,4561,17
584.4,2.533,-0.6,,,,1666,4619,18
581.3,1.461,-0.5,,,,1676,4662,19
578.5,1.949,-0.5,,,,1685,4700,25
575.6,1.754,-1,,,,1694,4740,28
573.2,1.169,-1.2,,,,1702,4774,32
570.6,1.656,-1.5,,,,1711,4810,38
568,1.656,-1.5,,,,1720,4846,39
565.3,1.949,-1.6,,,,1728,4884,37
562.9,1.559,-1.8,,,,1736,4918,37
560.4,1.656,-2,,,,1745,4953,38
557.1,1.754,-2.4,,,,1755,5000,39
554.9,1.559,-2.5,,,,1763,5031,38
551.1,1.754,-3,,,,1775,5086,39
546.6,1.754,-3.5,,,,1790,5150,40
540.3,2.143,-4.5,,,,1812,5242,38
535.5,1.267,-5,,,,1828,5312,38
531.7,1.949,-5.4,,,,1840,5368,36
529.1,1.656,-5.6,,,,1851,5406,36
526.1,1.851,-5.9,,,,1860,5451,36
523.5,1.559,-6,,,,1869,5489,34
521,2.241,-6.1,,,,1878,5527,31
516.8,1.949,-6.4,,,,1892,5590,33
513.7,1.364,-6.6,,,,1904,5637,34
510.4,1.364,-6.9,,,,1915,5687,31
506.1,2.338,-7.4,,,,1930,5753,30
503.6,2.241,-7.5,,,,1939,5792,31
500.6,1.754,-7.5,,,,1949,5838,31
500,1.816,-7.6,,,,1951,5847,31.2
497.8,2.046,-8,,,,1958,5882,32
495.9,1.559,-8.2,,,,1966,5911,31
492.3,1.949,-8.6,,,,1978,5968,31
489.6,1.656,-9,,,,1986,6010,32
486.9,2.338,-9.5,,,,2004,6053,32
481.4,1.559,-10.1,,,,2013,6141,29
475.7,1.461,-10.5,,,,2031,6232,23
472.3,1.754,-10.8,,,,2042,6287,21
468.8,1.851,-11.2,,,,2054,6345,22
463.4,1.656,-12.1,,,,2072,6433,23
460.5,1.559,-12.5,,,,2081,6481,23
457.6,1.267,-13,,,,2090,6529,22
453,1.656,-13.6,,,,2105,6606,22
450,1.754,-14,,,,2114,6657,20
447.2,1.559,-14.4,,,,2123,6704,21
444.6,2.241,-14.8,,,,2132,6748,21
437.4,1.754,-15.8,,,,2156,6871,20
434.4,1.949,-16,,,,2165,6923,28
431.5,1.656,-16.2,,,,2174,6974,32
427.1,1.461,-16.8,,,,2187,7051,45
424.5,1.851,-17.1,,,,2195,7096,47
