* These data were originally received by the WOUDC in NASA-GTE file format
* and have been translated into extCSV file format for WOUDC archiving.
* This translation process re-formats these data to comply with WOUDC standards.

* This file was generated by GTE_CSX - version 1.0.
* 'na' is used where Instrument Model or Number are not available.

* GTE (Global Tropospheric Experiment) is a project of NASA Langley Research
* Center (NASA-LaRC).  Ozonesonde launches are one component of the data
* collected in support of this mission.

* GTE Station: Easter Island, Chile

* cjo3se66.pmt
* Carreno, Jorge, Met Office, Easter Island, Chile
* Ozone/Ecc sonde
* Pem-Tropics
* Latitude of Sonde Launch Station:  -27.17 South
* Longitude of Sonde Launch Station: -109.42 West
* Altitude of Sonde Launch Station: 69.2 Meters
* The integrated column ozone and ozone mixing ratio
* were calculated by NASA as data was not provided
* by Easter Island.  All sonde levels are reported.

#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
1997-01-20,EIMO,1.0,"Carreno, Jorge, Met Office, Easter Island, Chile"
* NASA-LaRC Project Co-ordinator: Vince Brackett, NASA-LaRC

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,441,Easter Island,CHL

#INSTRUMENT
Name,Model,Number
ECC,na,na

#LOCATION
Latitude,Longitude,Height
-27.17,-109.42,69.2

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,1997-03-15,22:00:33

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLcode,ObsType,Instrument,Number
129.3

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1009.7,0.292,25.4,,,,0,69,83
1009.5,0.292,26.4,,,,9,70,47
1009.4,0.292,26.2,,,,18,71,47
1009.3,1.072,27,,,,230,72,67
1008.9,0.974,26.2,,,,239,76,66
1006.6,0.974,25.2,,,,248,96,69
1003.5,0.974,24.5,,,,256,123,72
1000.3,0.974,24,,,,265,150,73
997.3,0.974,23.6,,,,273,176,75
993.7,1.072,23.5,,,,282,208,75
990.1,0.974,23.5,,,,290,239,75
987,0.974,23.4,,,,298,267,74
983,1.072,23.2,,,,307,302,74
979.4,0.974,23,,,,316,334,74
975.5,0.974,22.9,,,,325,368,73
972.3,1.072,22.6,,,,334,397,73
968.8,1.072,22.4,,,,342,428,74
966,1.072,22.1,,,,350,453,74
962.5,1.072,21.9,,,,359,484,75
958.6,1.072,21.5,,,,369,519,77
955.3,1.072,21.2,,,,378,549,78
951.9,0.974,21,,,,387,580,79
948.6,1.072,20.9,,,,396,610,79
945.1,0.974,20.6,,,,404,642,78
941.5,0.974,20.6,,,,413,674,74
938.8,0.974,20.5,,,,421,699,76
935.5,0.974,20.4,,,,430,729,76
932.3,0.974,20.1,,,,439,759,76
929.1,0.974,19.9,,,,448,788,76
925.4,0.974,19.6,,,,458,822,77
922.3,0.974,19.5,,,,467,851,77
919.2,0.974,19.2,,,,476,880,77
916.1,0.974,19,,,,484,909,77
913.6,0.974,18.9,,,,492,932,77
910,0.974,18.6,,,,502,966,78
907.7,0.974,18.5,,,,510,988,79
904.7,0.974,18.4,,,,518,1016,79
902.1,0.974,18.1,,,,526,1040,79
899.4,0.974,18,,,,535,1066,79
896.4,0.974,18,,,,544,1095,77
893.4,0.974,18,,,,553,1123,74
890.8,1.072,18,,,,562,1148,73
887.9,1.072,18,,,,570,1176,73
885.8,1.072,17.8,,,,578,1196,73
883,1.072,17.5,,,,587,1223,74
880.4,1.072,17.2,,,,596,1248,74
877.8,1.072,17.1,,,,604,1273,74
875.5,1.072,17,,,,612,1295,74
872.7,1.072,16.8,,,,621,1323,75
870.2,1.072,16.6,,,,630,1347,75
867.4,1.072,16.5,,,,639,1374,72
864.5,1.169,16.5,,,,649,1403,71
861.6,1.169,16.2,,,,658,1431,72
858.9,1.169,16.1,,,,667,1458,72
856.1,1.267,16.1,,,,676,1485,69
853.2,1.267,16.1,,,,684,1514,67
850.7,1.267,16,,,,692,1539,66
850,1.267,16,,,,694,1546,66.5
847.8,1.267,15.9,,,,701,1568,68
844.9,1.267,15.5,,,,710,1597,70
841.9,1.267,15.4,,,,719,1627,71
838.8,1.267,15.1,,,,728,1658,72
835.7,1.267,15,,,,736,1689,71
832.9,1.267,15,,,,744,1718,71
829.8,1.267,14.9,,,,753,1749,72
826.6,1.267,14.6,,,,762,1782,70
823.5,1.267,14.5,,,,770,1813,70
820.7,1.267,14.5,,,,778,1842,70
817.8,1.267,14.2,,,,787,1872,69
814.4,1.267,14,,,,796,1907,65
811.3,1.364,14,,,,805,1939,62
808.3,1.364,13.8,,,,814,1970,62
805.2,1.364,13.5,,,,822,2002,63
802.7,1.364,13.5,,,,830,2028,63
798.9,1.364,13.2,,,,840,2068,64
796.4,1.364,13.1,,,,848,2094,65
793.3,1.364,12.9,,,,857,2127,66
790.4,1.364,12.5,,,,866,2158,67
787.3,1.364,12.4,,,,874,2190,68
784.8,1.364,12,,,,882,2217,69
782.3,1.364,11.8,,,,891,2244,69
779.5,1.364,11.5,,,,900,2274,70
777,1.364,11.2,,,,908,2300,71
774.7,1.267,11,,,,916,2325,72
772.4,1.267,11,,,,925,2350,72
769.8,1.267,10.6,,,,934,2378,73
766.6,1.267,10.5,,,,944,2412,75
764.2,1.267,10.1,,,,952,2438,76
761.3,1.267,9.9,,,,960,2470,77
758.8,1.267,9.6,,,,968,2497,77
756.2,1.364,9.5,,,,977,2526,74
752.8,1.267,9.2,,,,987,2563,73
750.4,1.364,9,,,,995,2589,73
747.4,1.364,8.9,,,,1004,2622,73
744.5,1.364,8.5,,,,1012,2654,75
742.2,1.364,8.4,,,,1020,2680,77
739.2,1.267,8,,,,1029,2713,78
736.5,1.267,7.9,,,,1038,2743,79
733.7,1.267,7.5,,,,1047,2775,80
730.9,1.267,7.4,,,,1056,2806,80
728.2,1.267,7.2,,,,1064,2836,78
725.9,1.267,7.1,,,,1072,2862,78
723.1,1.364,7,,,,1081,2894,75
720.2,1.364,7,,,,1091,2927,73
717.9,1.364,6.9,,,,1099,2953,75
715.3,1.364,6.6,,,,1108,2983,75
712.8,1.364,6.6,,,,1116,3012,75
710.7,1.364,6.6,,,,1124,3036,73
708.3,1.364,6.6,,,,1133,3064,67
705.7,1.461,6.5,,,,1142,3094,66
703.2,1.364,6.5,,,,1151,3123,67
700.6,1.364,6.4,,,,1160,3153,69
700,1.364,6.3,,,,1162,3160,69
698.2,1.364,6.1,,,,1168,3181,69
696.1,1.364,6,,,,1176,3206,69
693.7,1.364,6,,,,1185,3234,66
691.2,1.364,6,,,,1194,3263,61
688.6,1.364,6,,,,1203,3294,57
686,1.364,5.8,,,,1212,3325,58
683.5,1.364,5.5,,,,1221,3355,59
680.9,1.364,5.1,,,,1230,3386,60
678.4,1.364,5,,,,1238,3416,57
676.2,1.364,4.9,,,,1246,3442,57
673.8,1.364,4.6,,,,1255,3471,57
671.2,1.364,4.5,,,,1264,3503,57
668.5,1.364,4.5,,,,1273,3536,57
665.8,1.364,4.4,,,,1282,3568,57
663.1,1.364,4,,,,1291,3601,57
660.3,1.364,3.8,,,,1300,3636,59
657.8,1.267,3.5,,,,1308,3666,60
655.4,1.364,3.2,,,,1316,3696,60
652.5,1.364,3,,,,1325,3732,58
649.7,1.364,2.8,,,,1334,3767,57
647,1.364,2.5,,,,1343,3800,56
644.2,1.364,2,,,,1352,3835,56
641.6,1.364,1.9,,,,1361,3868,55
638.8,1.364,1.5,,,,1370,3903,55
635.5,1.364,1,,,,1380,3945,52
632.7,1.364,1,,,,1389,3980,46
629.9,1.364,0.9,,,,1398,4016,46
627.1,1.364,0.5,,,,1407,4051,47
624.4,1.364,0.1,,,,1416,4086,64
621.2,1.364,-0.2,,,,1426,4127,66
619,1.364,-0.4,,,,1434,4155,66
616.3,1.364,-0.5,,,,1443,4190,70
