* GTE (Global Tropospheric Experiment) is a project of NASA Langley Research
* Center (NASA-LaRC).  Ozonesonde launches are one component of the data
* collected in support of this mission.

* GTE Station: Easter Island, Chile

* Crespo, Juan,Chile
* Ozone/Ecc sonde
* Pem-Tropics
* Latitude of Sonde Launch Station:  -27.17 South
* Longitude of Sonde Launch Station: -109.42 West
* Altitude of Sonde Launch Station: 69.2 Meters
* The geometric altitude, integrated column ozone
* and ozone mixing ratio were calculated by NASA
* as data was not provided by Easter.  All sonde
* levels are reported. 

#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
1997-01-20,EIMO,1,"Crespo, Juan Climatological Services Office, Santiago, Chile"
* NASA-LaRC Project Co-ordinator: Vince Brackett, NASA-LaRC

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,441,EasterIsland,CHL,EIC

#INSTRUMENT
Name,Model,Number
ECC,na,na

#LOCATION
Latitude,Longitude,Height
-27.17,-109.42,69.2

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2005-07-24,23:49


#PROFILE
Pressure,O3PartialPressure,Temperature,GPHeight,RelativeHumidity,
1010.4,2.54,18.7,49,69,
981.1,2.8,15.2,301,69,
951.1,2.82,13.9,563,65,
924.1,2.86,11.8,805,71,
891.8,2.8,9.6,1103,79,
860.1,2.77,7.8,1402,80,
829.6,2.6,5.9,1699,85,
800.7,2.53,4,1988,89,
771.2,2.74,3.7,2294,36,
742,2.75,5.4,2608,35,
715.9,2.98,3.9,2900,39,
691.8,2.93,1.8,3177,42,
670.7,2.87,0.2,3426,43,
648,2.92,-1.3,3701,34,
624.8,3.48,-1.9,3991,9,
603,3.91,-1.6,4274,2,
581.4,3.22,-3.5,4562,16,
561.3,2.89,-6,4838,20,
541.3,2.76,-8.5,5122,24,
519.5,2.64,-11.3,5438,39,
499.8,2.25,-13.9,5734,45,
479.6,2.14,-16.8,6046,50,
460.2,2.06,-19.3,6354,61,
441.8,2.04,-20.5,6657,73,
423.2,1.88,-22.3,6974,75,
406,1.75,-23.8,7278,73,
389.8,1.61,-24.7,7575,71,
373.7,1.48,-26.5,7881,68,
357.4,1.48,-28.6,8201,65,
340.6,1.57,-31.2,8545,61,
325.6,1.54,-33.4,8862,59,
310.4,1.26,-35.8,9196,57,
296,1.17,-38.3,9524,54,
281.8,1.2,-41.1,9859,51,
268,1.16,-43.9,10200,46,
254.4,1,-47,10547,44,
241.7,0.91,-50,10883,41,
229.3,0.87,-53.1,11226,39,
216.5,0.81,-56.6,11592,35,
205.7,0.74,-59.6,11913,33,
194.8,0.74,-62.8,12252,31,
184.5,0.69,-65.9,12585,28,
175,0.67,-68.7,12903,26,
166.4,1.13,-69.8,13205,25,
158.9,1.42,-69,13480,27,
151.5,1.86,-68.5,13763,25,
144.9,2.44,-67.1,14034,23,
138,2.81,-66.6,14327,19,
131.9,2.59,-65.3,14603,17,
125.9,2.82,-65.9,14883,14,
120.3,3.35,-64.7,15162,12,
114.2,5.41,-63.1,15478,11,
108.7,7.42,-64.1,15783,9,
103.7,6.05,-64.4,16074,8,
98.7,4.64,-65.6,16370,7,
94.1,3.15,-66.7,16663,6,
89.7,3.05,-66.3,16953,6,
85.6,3.1,-65.4,17232,5,
81.5,4.23,-61.3,17536,6,
77.8,5.07,-62.1,17825,5,
73.8,5.84,-62.8,18146,4,
70.1,6.61,-63,18470,4,
66.7,8.48,-61.7,18771,4,
63.5,10.5,-59.2,19078,5,
60.5,12.86,-57.6,19387,5,
57.6,12.59,-58,19690,5,
54.9,11.86,-57.4,20000,4,
52.2,11.99,-58,20311,4,
49.6,12.61,-58.3,20632,4,
47.2,13.12,-59.1,20951,4,
44.8,13.73,-57.8,21276,5,
42.6,14.3,-56,21590,6,
40.5,14.65,-55.1,21910,6,
38.6,15.58,-54.8,22222,6,
36.7,15.28,-54.8,22542,5,
35,15.14,-54.6,22857,5,
33.3,14.82,-54.7,23176,5,
31.6,14.46,-54.4,23499,5,
30,13.93,-53.5,23828,5,
28.6,13.32,-53.5,24147,6,
27.2,12.89,-53.2,24472,5,
25.8,13.37,-52,24795,5,
24.5,14.11,-50.7,25130,3,
23.3,13.44,-51.2,25462,1,
22.2,12.62,-52.1,25797,1,
21,11.77,-51.9,26131,1,
19.9,11.1,-52.9,26480,1,
18.9,10.72,-53,26818,1,
18,10.21,-51.3,27153,1,
17.1,9.89,-50.6,27475,1,
16.2,10.48,-50.5,27809,1,
15.4,10.25,-49.5,28137,1,
14.7,9.68,-49,28481,1,
13.9,9.25,-49.1,28813,1,
13.3,8.96,-48.3,29129,1,
12.7,8.91,-47,29444,1,
12,7.65,-46.9,29781,1,
11.5,6.68,-47.3,30099,1,
10.9,6.31,-47,30432,1,
10.4,6.01,-46.5,30764,1,
9.8,5.71,-46.7,31118,1,
9.3,5.39,-45.9,31452,1,
8.9,5.09,-45.1,31760,1,
8.5,4.86,-43.5,32072,1,
8.1,4.57,-43.6,32399,1,
7.7,4.27,-44.1,32719,1,
7.4,3.99,-43.4,33043,1,
7.1,3.82,-42.8,33334,1,
6.8,3.65,-41,33633,1,
