* GTE (Global Tropospheric Experiment) is a project of NASA Langley Research
* Center (NASA-LaRC).  Ozonesonde launches are one component of the data
* collected in support of this mission.

* GTE Station: Easter Island, Chile

* Crespo, Juan,Chile
* Ozone/Ecc sonde
* Pem-Tropics
* Latitude of Sonde Launch Station:  -27.17 South
* Longitude of Sonde Launch Station: -109.42 West
* Altitude of Sonde Launch Station: 69.2 Meters
* The geometric altitude, integrated column ozone
* and ozone mixing ratio were calculated by NASA
* as data was not provided by Easter.  All sonde
* levels are reported. 

#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
1997-01-20,EIMO,1,"Crespo, Juan Climatological Services Office, Santiago, Chile"
* NASA-LaRC Project Co-ordinator: Vince Brackett, NASA-LaRC

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,441,EasterIsland,CHL,EIC

#INSTRUMENT
Name,Model,Number
ECC,na,na

#LOCATION
Latitude,Longitude,Height
-27.17,-109.42,69.2

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2005-09-05,00:01:00


#PROFILE
Pressure,O3PartialPressure,Temperature,GPHeight,RelativeHumidity,
1013,1.67,21.3,49,70,
981.6,1.85,17.8,320,67,
943.3,1.9,14.7,659,76,
905.4,2.03,12.6,1005,72,
871.3,2.07,10.2,1326,85,
839.2,2.34,11.5,1639,32,
806.4,2.83,11.8,1971,12,
772.9,2.74,9.3,2324,12,
741.1,2.66,6.7,2670,13,
711,2.8,4.4,3009,12,
682.9,2.52,2.4,3335,17,
657.1,2.51,-0.2,3645,20,
630.4,2.53,-1.7,3976,13,
603.1,2.64,-3,4327,28,
575.6,2.04,-5.4,4694,40,
549.1,2.23,-6,5063,11,
524.9,1.92,-7.5,5416,18,
502.1,1.73,-9.7,5760,13,
480.8,1.61,-11.9,6092,22,
460.3,1.62,-14,6425,23,
440.2,1.6,-16.4,6763,14,
420.1,1.57,-19,7111,7,
402,1.68,-21.5,7438,20,
384.1,1.68,-24.3,7771,35,
366.6,1.62,-27.4,8109,44,
349.4,1.46,-29.7,8454,59,
332.9,1.52,-32.5,8796,59,
316.5,1.54,-35.4,9150,59,
301,1.45,-38.1,9497,55,
286.2,1.54,-40.8,9843,51,
271.6,1.69,-43.6,10196,39,
257.7,2.1,-46.9,10548,28,
244.8,2.03,-49.9,10887,26,
233.3,1.79,-51.6,11198,27,
222.7,1.84,-51.3,11500,21,
212,2.11,-53.1,11819,9,
202,1.96,-54.9,12128,5,
192.5,1.82,-55.5,12436,3,
183.3,1.57,-56.8,12748,2,
174.8,1.49,-59,13047,1,
166.5,1.58,-61.1,13351,1,
158.8,1.49,-62.1,13642,1,
151.3,1.66,-63.6,13939,1,
143.8,1.79,-65.2,14252,1,
136.3,1.94,-65,14578,1,
129.3,2.01,-65.9,14899,1,
122.9,2.14,-67.3,15206,1,
116.7,2.23,-69.1,15518,1,
110.6,2.32,-70.6,15833,1,
105.2,2.3,-71.8,16132,1,
100,2.48,-71.7,16431,1,
95.3,3.17,-70.1,16717,1,
90.5,3.69,-68.3,17024,1,
85.8,5.19,-66.6,17347,1,
81.3,5.96,-66.5,17670,1,
77,7.79,-66.7,17997,1,
72.8,6.89,-65.5,18342,1,
68.8,7.74,-62.7,18685,1,
65.3,8.76,-61.6,19005,1,
61.8,9.22,-63,19350,1,
58.6,11.31,-61,19680,1,
55.5,11.64,-60.9,20014,1,
52.6,9.87,-60.4,20349,1,
49.7,10.4,-60.6,20707,1,
47.1,10.2,-60.4,21041,1,
44.6,10.19,-58,21383,1,
42.2,10.27,-58.6,21730,1,
39.8,11.08,-58.1,22087,1,
37.7,14.13,-57.2,22426,1,
35.7,14.59,-57.9,22782,1,
33.7,14.84,-57.3,23143,1,
31.8,14.47,-57.7,23506,1,
30.1,13.74,-57.9,23862,1,
28.4,13.28,-57.1,24225,1,
26.8,12.98,-56,24597,1,
25.3,13.06,-53.8,24960,1,
23.8,12.48,-53.5,25348,1,
22.4,12.05,-53.3,25729,1,
21.1,11.44,-54.6,26124,1,
19.9,11.01,-55.4,26502,1,
18.7,11.19,-53.7,26882,1,
17.6,10.82,-51.3,27275,1,
16.6,10.83,-51.7,27673,1,
15.6,10.19,-52.5,28069,1,
14.7,9.93,-51.7,28451,1,
13.8,9.26,-50.9,28848,1,
13,8.68,-51.2,29259,1,
12.2,8.49,-50,29660,1,
11.5,7.97,-49,30058,1,
10.8,7.45,-48.2,30448,1,




