* GTE (Global Tropospheric Experiment) is a project of NASA Langley Research
* Center (NASA-LaRC).  Ozonesonde launches are one component of the data
* collected in support of this mission.

* GTE Station: Easter Island, Chile

* Crespo, Juan,Chile
* Ozone/Ecc sonde
* Pem-Tropics
* Latitude of Sonde Launch Station:  -27.17 South
* Longitude of Sonde Launch Station: -109.42 West
* Altitude of Sonde Launch Station: 69.2 Meters
* The geometric altitude, integrated column ozone
* and ozone mixing ratio were calculated by NASA
* as data was not provided by Easter.  All sonde
* levels are reported. 

#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
1997-01-20,EIMO,1,"Crespo, Juan Climatological Services Office, Santiago, Chile"
* NASA-LaRC Project Co-ordinator: Vince Brackett, NASA-LaRC

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,441,EasterIsland,CHL,EIC

#INSTRUMENT
Name,Model,Number
ECC,na,na

#LOCATION
Latitude,Longitude,Height
-27.17,-109.42,69.2

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2005-04-29,23:47:00


#PROFILE
Pressure,O3PartialPressure,Temperature,GPHeight,RelativeHumidity,
1003.4,2.25,21.6,49,71,
984,2.43,19.2,218,70,
960.7,2.43,17.3,423,78,
928.7,2.41,14.7,712,87,
897,2.33,12.5,1005,90,
869.4,2.32,10.9,1267,86,
843.5,2.27,9.9,1519,77,
818.5,2.24,8.6,1768,71,
796.3,2.22,7.3,1996,71,
772,2.22,5.7,2251,71,
745.7,2.15,4.2,2534,62,
721.3,2.7,5.1,2805,20,
698.8,2.57,4.2,3063,12,
675.8,2.35,3.9,3334,3,
652.9,2.4,1.8,3613,4,
630.7,2.46,-0.7,3890,5,
608,2.48,-2.6,4181,3,
585.8,2.47,-5,4474,4,
564.9,2.32,-6.9,4759,5,
545.1,2.28,-9,5035,5,
526.4,2.31,-10.1,5305,22,
509.1,2.56,-11.1,5562,16,
492,2.74,-13.3,5824,15,
475.8,2.65,-15.6,6077,21,
459.2,2.54,-17.5,6345,29,
443.7,2.36,-18.3,6600,11,
426.6,2.09,-20.1,6892,8,
407.5,1.77,-22.2,7231,3,
389.8,1.58,-24.8,7556,4,
372.7,1.49,-27.7,7881,13,
356.3,1.32,-30.8,8201,5,
339.2,1.28,-33.8,8547,6,
322.7,1.46,-36.6,8894,39,
308.6,1.62,-38.8,9202,54,
296.2,1.51,-40.1,9483,61,
283.2,1.55,-42.4,9788,54,
269.8,1.55,-45.2,10114,49,
256.6,1.85,-46.6,10447,15,
245.1,2.05,-48.6,10752,8,
234.1,2.08,-49.2,11053,6,
223.4,2.23,-49.9,11358,4,
214.9,2.22,-50.4,11610,3,
205.4,2.3,-51.2,11904,3,
196.9,2.18,-52,12179,3,
188.1,2.01,-52.9,12476,2,
180,1.88,-53.9,12759,3,
172.5,1.83,-54.7,13029,2,
165.4,1.9,-54.8,13299,1,
158.6,1.85,-56,13565,1,
151.8,1.81,-57.5,13845,1,
145.3,1.83,-58.7,14120,1,
138.9,2.26,-59.9,14400,1,
133,2.28,-60.7,14671,1,
127.6,1.73,-62.3,14930,1,
122.3,1.65,-64.1,15188,1,
117,1.71,-64.9,15460,2,
111.9,1.68,-66,15730,2,
106.6,1.74,-66.4,16028,2,
101.3,1.96,-67.9,16335,3,
96.6,2.31,-69.1,16620,3,
92,2.4,-70.2,16909,3,
87.8,2.35,-69.8,17189,3,
83.8,2.34,-69.7,17468,2,
79.9,2.29,-70.4,17749,3,
76.2,2.52,-70,18030,3,
72.6,3.02,-70.7,18314,2,
69.1,4.11,-68.8,18609,3,
65.7,5.32,-66.6,18914,2,
62.6,6.4,-65.9,19209,2,
59.7,7.77,-65.8,19492,2,
57.1,9.36,-64.6,19765,2,
54.5,9.58,-62.1,20048,2,
51.8,10.11,-60.9,20367,1,
49.3,10.17,-62.5,20675,1,
46.9,9.4,-61.9,20984,1,
44.7,8.83,-60.7,21278,1,
42.6,9.59,-59.4,21579,1,
40.5,10.3,-58.1,21893,1,
38.6,10.83,-57.7,22207,1,
36.7,11.34,-57.3,22527,2,
34.8,11.92,-56.9,22846,2,
33.2,12.38,-54.9,23152,2,
31.6,13.11,-53.8,23462,2,
30.1,13.47,-53.8,23782,2,
28.6,13.64,-52.8,24107,2,
27.2,13.84,-51.7,24434,3,
26,13.84,-51,24741,3,
24.7,14.05,-49.8,25060,3,
23.5,14.08,-49.3,25383,3,
22.4,14.58,-48.4,25708,2,
21.3,14.69,-47.8,26041,3,
20.2,14.43,-47.4,26377,2,
19.3,13.83,-47.7,26681,2,
18.4,13.45,-47.8,27005,2,
17.5,13.12,-47.7,27331,2,
16.6,12.66,-46.9,27681,1,
15.8,12.14,-46.1,28018,1,
15,11.72,-45.6,28362,1,
14.3,10.98,-46.3,28683,1,
13.6,10.43,-46.7,29031,1,
12.9,10.03,-46.8,29374,1,
12.2,9.6,-46.3,29729,1,
11.6,8.85,-44.6,30078,1,
11,8.33,-42.9,30424,1,
10.4,7.83,-42.1,30779,1,
9.9,7.34,-42.6,31106,1,
9.5,6.88,-42.4,31435,1,
9,6.75,-41.9,31747,1,
8.6,6.45,-42.3,32094,1,
8.2,6.02,-42.5,32396,1,
7.8,5.56,-43.5,32773,1,
7.4,5.26,-43.2,33124,1,
7,5.07,-43.2,33455,1,
6.7,4.55,-41.7,33779,1,
6.3,4.41,-41,34147,1,
6,4.28,-40.9,34522,1,





