* GTE (Global Tropospheric Experiment) is a project of NASA Langley Research
* Center (NASA-LaRC).  Ozonesonde launches are one component of the data
* collected in support of this mission.

* GTE Station: Easter Island, Chile

* Crespo, Juan,Chile
* Ozone/Ecc sonde
* Pem-Tropics
* Latitude of Sonde Launch Station:  -27.17 South
* Longitude of Sonde Launch Station: -109.42 West
* Altitude of Sonde Launch Station: 69.2 Meters
* The geometric altitude, integrated column ozone
* and ozone mixing ratio were calculated by NASA
* as data was not provided by Easter.  All sonde
* levels are reported. 

#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
1997-01-20,EIMO,1,"Crespo, Juan Climatological Services Office, Santiago, Chile"
* NASA-LaRC Project Co-ordinator: Vince Brackett, NASA-LaRC

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,441,EasterIsland,CHL,EIC

#INSTRUMENT
Name,Model,Number
ECC,na,na

#LOCATION
Latitude,Longitude,Height
-27.17,-109.42,69.2

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2005-07-01,23:41


#PROFILE
Pressure,O3PartialPressure,Temperature,GPHeight,RelativeHumidity,
1018.4,3.19,18.4,49,53,
990.2,3.28,15.3,288,51,
957.4,3.14,12.6,572,58,
925.5,3.07,9.9,856,66,
893.7,2.99,7.3,1144,74,
860.5,2.93,4.4,1454,86,
828.8,3.22,8.4,1761,24,
797.2,2.66,6.9,2080,45,
766.7,2.39,6.4,2401,33,
737.9,2.26,6.1,2715,21,
710.8,2.31,3.7,3019,49,
682.1,2.47,1.8,3353,46,
656.9,2.67,0.9,3656,16,
631.6,2.92,-0.2,3971,3,
607.7,2.81,-2.4,4278,4,
584.8,2.54,-3.7,4581,4,
562.3,2.23,-5.7,4890,8,
541.2,2.23,-7.7,5189,12,
519.5,2.31,-9.1,5505,22,
499.3,2.13,-11.3,5811,16,
477.8,1.87,-14.3,6146,27,
458.5,2.21,-16.1,6458,25,
438.8,2.05,-18.1,6788,31,
419.7,1.9,-20.8,7118,30,
402.2,1.75,-23.5,7430,40,
385.3,1.71,-26.1,7743,30,
369,1.73,-28.7,8054,29,
352.4,1.55,-31.3,8382,34,
337.6,1.37,-33.9,8685,39,
324.2,1.16,-36.3,8965,40,
311.4,0.96,-38.8,9245,42,
299.5,1.25,-41,9510,37,
288.2,1.28,-43.3,9771,28,
277.3,1.34,-45.7,10029,26,
264.8,1.3,-48.5,10333,28,
255.1,1.31,-50.7,10577,30,
244.1,1.35,-53,10864,29,
233.5,1.4,-54.9,11147,28,
224,1.24,-56.5,11413,27,
215,1.15,-58.2,11672,23,
205.4,1.48,-59.5,11959,23,
197.3,1.76,-59,12209,21,
189.3,1.97,-57.5,12470,14,
181.5,1.94,-57.8,12735,8,
173.8,1.9,-58.1,13009,6,
166.2,1.83,-59.3,13289,4,
159.6,1.73,-60.3,13544,4,
153.2,1.69,-59.4,13797,3,
147,1.67,-60.8,14056,2,
140.4,1.58,-62.7,14338,2,
134,1.61,-63.3,14627,2,
128.1,1.66,-64.2,14904,2,
122.1,1.77,-65.2,15199,2,
116.3,1.8,-66.2,15493,2,
110.9,1.93,-67,15782,2,
105.4,1.92,-68.1,16086,2,
100.3,1.61,-70.4,16379,2,
95.8,1.57,-70,16653,2,
90.4,1.88,-68.7,16999,3,
86,2.08,-69.8,17297,2,
82,2.39,-70,17586,2,
77.9,3.6,-69.6,17888,2,
74.1,5.49,-69,18185,2,
70.7,7.54,-67.5,18464,2,
67.6,7.09,-65.8,18739,2,
64.3,6.58,-65.8,19040,2,
61.1,7.32,-65.7,19348,1,
58.1,9.44,-63.3,19663,1,
55.4,10.46,-62.7,19950,1,
52.9,10.64,-61.4,20238,1,
50.4,11.76,-62.1,20532,1,
47.8,11.99,-62.4,20861,1,
45.4,12.19,-63.4,21184,1,
43.1,12.78,-62.7,21496,1,
41.2,13.69,-61.1,21781,1,
39.1,14.25,-59,22102,1,
37.2,14.38,-58.2,22414,1,
35.5,14.53,-57.5,22722,1,
33.8,14.78,-56.9,23026,1,
32.1,14.78,-56.1,23346,1,
30.5,14.87,-55.7,23673,1,
29,14.15,-54.7,24001,1,
27.5,13.68,-54.7,24348,1,
26.1,13.18,-54.5,24676,1,
24.7,12.83,-54.5,25023,1,
23.5,12.01,-54.9,25340,1,
22.2,11.18,-54.3,25701,1,
21.1,10.59,-53.4,26027,1,
20,10.01,-50.4,26380,1,
19.1,9.8,-47.5,26697,1,
18.2,10.82,-45.1,27007,1,
17.3,11.3,-43.7,27333,1,
16.5,12.92,-42.8,27667,1,
15.7,12.9,-42.6,28007,1,
15,12.59,-41.9,28314,1,
14.2,12.02,-42.6,28673,1,
13.5,11.28,-42.9,29007,1,
12.9,10.81,-43.2,29351,1,
12.3,10.22,-44.9,29670,1,
11.7,9.43,-45.7,29995,1,
11.1,9.42,-45.5,30304,1,
10.6,8.78,-46.9,30631,1,
10.1,8.32,-47.8,30961,1,
