#CONTENT 
Class,Category,Level,Form
WOUDC,OzoneSonde,1,1

#DATA_GENERATION 
Date,Agency,Version,ScientificAuthority
2010-03-12,EIMO,1,Juan Crespo

#PLATFORM 
Type,ID,Name,Country,GAW_ID
STN,441,Easter Island,CHL,EIC

#INSTRUMENT 
Name,Model,Number 
ECC,6A,na

#LOCATION 
Latitude,Longitude,Height 
-27.17,-109.42,49
 
#TIMESTAMP 
UTCOffset,Date,Time 
+00:00:00,2010-03-12,23:45:00
 
#PROFILE 
Pressure,O3PartialPressure,Temperature,RelativeHumidity,GPHeight
1014.2,2.2,24.4,62.0,49.0
1007.6,2.2,23.2,66.0,107.0
1000.4,2.2,22.6,67.0,169.0
992.9,2.2,22.0,69.0,234.0
985.7,2.2,21.3,71.0,298.0
978.9,2.2,20.6,74.0,357.0
972.3,2.2,20.0,76.0,417.0
965.7,2.2,19.5,79.0,476.0
959.1,2.2,18.9,81.0,534.0
952.8,2.2,18.4,82.0,591.0
946.0,2.2,18.0,82.0,652.0
939.4,2.2,17.6,82.0,713.0
933.0,2.2,17.1,82.0,771.0
927.1,2.2,16.6,85.0,825.0
921.2,2.2,16.0,87.0,880.0
915.6,2.2,15.6,89.0,932.0
910.3,2.2,15.0,91.0,981.0
905.2,2.2,14.8,93.0,1029.0
899.9,2.1,14.4,95.0,1079.0
894.4,2.1,14.0,96.0,1130.0
888.7,2.1,13.6,95.0,1184.0
882.9,2.1,13.2,92.0,1240.0
876.9,2.1,13.3,88.0,1297.0
871.1,2.1,13.1,84.0,1353.0
865.6,2.1,12.9,80.0,1406.0
860.1,2.2,12.7,75.0,1460.0
854.3,2.1,12.4,75.0,1517.0
848.7,2.1,12.1,75.0,1573.0
843.1,2.1,11.5,73.0,1628.0
837.5,2.0,11.6,69.0,1683.0
832.0,2.0,11.2,66.0,1738.0
826.8,2.1,10.7,67.0,1791.0
821.3,2.0,10.3,69.0,1846.0
815.9,2.0,9.9,70.0,1901.0
810.8,2.0,9.5,69.0,1954.0
805.7,2.0,9.3,69.0,2007.0
800.6,2.0,9.1,69.0,2059.0
795.5,2.0,9.0,72.0,2112.0
790.5,2.0,8.8,72.0,2165.0
785.5,2.0,8.6,66.0,2217.0
780.3,2.0,8.7,58.0,2272.0
775.2,2.0,9.1,48.0,2326.0
770.1,2.3,9.3,27.0,2381.0
765.4,2.9,9.3,19.0,2431.0
760.7,3.3,9.1,19.0,2482.0
756.3,3.5,8.8,18.0,2530.0
751.9,3.6,8.7,18.0,2579.0
747.8,3.4,8.7,13.0,2623.0
742.7,3.2,8.8,9.0,2680.0
737.9,2.8,8.7,6.0,2734.0
733.0,2.6,9.4,3.0,2788.0
728.0,2.5,9.5,4.0,2845.0
723.2,2.5,9.5,4.0,2900.0
718.5,2.6,9.3,4.0,2954.0
713.9,2.6,9.0,4.0,3007.0
708.9,2.7,8.7,7.0,3065.0
703.9,2.8,8.4,9.0,3123.0
699.1,2.9,8.1,10.0,3180.0
694.0,2.5,7.5,34.0,3240.0
688.8,2.2,7.2,37.0,3302.0
683.4,2.0,6.8,37.0,3367.0
678.6,1.8,6.5,38.0,3425.0
673.8,1.8,6.1,39.0,3483.0
669.4,1.6,5.7,42.0,3537.0
665.0,1.6,5.7,36.0,3591.0
660.8,1.7,5.6,31.0,3643.0
656.6,1.8,5.6,26.0,3694.0
652.0,1.9,5.6,22.0,3752.0
647.5,2.1,5.5,24.0,3808.0
643.1,2.0,5.2,26.0,3864.0
638.9,2.0,4.7,28.0,3918.0
634.8,1.8,4.7,38.0,3969.0
630.7,1.6,4.3,38.0,4023.0
626.1,1.5,3.9,37.0,4083.0
621.8,1.5,3.5,36.0,4138.0
617.6,1.4,3.0,34.0,4194.0
613.5,1.4,2.8,32.0,4247.0
609.6,1.5,2.7,30.0,4298.0
606.2,1.5,2.5,29.0,4344.0
602.7,1.5,2.3,31.0,4391.0
599.0,1.5,1.9,30.0,4440.0
595.1,1.5,1.6,29.0,4493.0
591.2,1.5,1.2,29.0,4546.0
587.4,1.6,1.0,27.0,4597.0
583.8,1.7,0.8,24.0,4646.0
580.1,1.7,0.6,22.0,4697.0
576.5,1.7,0.2,21.0,4748.0
572.8,1.7,-0.2,21.0,4799.0
569.2,1.8,0.1,5.0,4850.0
565.6,2.3,0.1,2.0,4901.0
562.0,2.5,-0.1,5.0,4951.0
558.5,2.5,-0.4,11.0,5002.0
554.7,2.3,-0.8,18.0,5057.0
550.7,2.2,-1.2,16.0,5113.0
547.0,2.2,-1.4,16.0,5168.0
543.0,2.2,-2.0,16.0,5226.0
538.9,2.1,-2.5,18.0,5286.0
535.1,2.0,-3.0,20.0,5342.0
531.3,1.9,-3.3,21.0,5398.0
527.7,1.8,-3.5,22.0,5452.0
524.2,1.7,-3.9,22.0,5504.0
520.8,1.7,-4.0,21.0,5556.0
517.3,1.7,-4.3,20.0,5610.0
513.6,1.6,-4.7,21.0,5666.0
509.9,1.6,-5.1,20.0,5723.0
506.0,1.6,-5.6,20.0,5783.0
502.0,1.5,-6.1,21.0,5846.0
498.0,1.4,-6.6,22.0,5907.0
493.9,1.3,-7.1,23.0,5971.0
490.4,1.3,-7.5,24.0,6027.0
487.1,1.3,-7.9,21.0,6080.0
483.8,1.3,-8.1,18.0,6133.0
480.3,1.3,-8.7,17.0,6190.0
476.5,1.3,-9.3,16.0,6250.0
472.6,1.3,-9.6,15.0,6314.0
469.4,1.3,-9.8,12.0,6367.0
465.9,1.3,-10.0,11.0,6423.0
462.4,1.2,-10.2,11.0,6482.0
458.9,1.2,-10.6,11.0,6540.0
455.6,1.2,-10.9,12.0,6596.0
452.4,1.2,-11.3,12.0,6651.0
449.2,1.1,-11.7,12.0,6705.0
445.8,1.1,-12.0,10.0,6763.0
442.4,1.1,-12.2,9.0,6821.0
439.2,1.2,-12.7,8.0,6877.0
436.1,1.1,-13.1,8.0,6930.0
432.9,1.1,-13.6,8.0,6986.0
429.8,1.1,-14.0,8.0,7042.0
426.6,1.1,-14.5,8.0,7097.0
423.5,1.1,-14.9,8.0,7153.0
420.2,1.1,-15.2,8.0,7212.0
417.0,1.1,-15.5,14.0,7269.0
413.9,1.2,-15.9,15.0,7326.0
411.2,1.2,-16.3,17.0,7376.0
408.5,1.2,-16.8,18.0,7425.0
405.6,1.2,-17.2,19.0,7478.0
402.5,1.3,-17.7,21.0,7535.0
399.5,1.4,-18.0,18.0,7591.0
