* GTE (Global Tropospheric Experiment) is a project of NASA Langley Research
* Center (NASA-LaRC).  Ozonesonde launches are one component of the data
* collected in support of this mission.
* GTE Station: Easter Island, Chile
* Crespo, Juan,Chile
* Ozone/Ecc sonde
* Pem-Tropics
* Latitude of Sonde Launch Station:  -27.17 South
* Longitude of Sonde Launch Station: -109.42 West
* Altitude of Sonde Launch Station: 69.2 Meters
* The geometric altitude, integrated column ozone
* and ozone mixing ratio were calculated by NASA
* as data was not provided by Easter.  All sonde
* levels are reported.
* NASA-LaRC Project Co-ordinator: Vince Brackett, NASA-LaRC

#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2017-11-03,EIMO,2.0,Crespo  Juan Climatological Services Office  Santiago  Chile
* NASA-LaRC Project Co-ordinator: Vince Brackett,NASA-LaRC

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,441,Easter Island,CHL,EIC

#INSTRUMENT
Name,Model,Number
ECC,UNKNOWN,na

#LOCATION
Latitude,Longitude,Height
-27.17,-109.42,69.2

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2004-07-09,23:38

#PROFILE
Pressure,O3PartialPressure,Temperature,GPHeight,RelativeHumidity,
1010.4,2.93,18.6,49,54,
972.5,3.1,14.3,375,59,
929.8,3.02,10.5,751,73,
885.5,2.95,6.6,1156,90,
845.6,2.85,3.7,1533,95,
813.8,2.95,2.2,1843,68,
785.5,3.37,3.9,2129,26,
757.9,4.98,10,2422,1,
727.1,3.25,10.3,2767,1,
698.1,3.06,9.3,3105,8,
672.2,2.91,6.9,3417,16,
646.4,2.45,4.8,3736,28,
622,2.31,2.5,4049,29,
596.7,2.14,0.4,4383,35,
572.1,2.02,-2.2,4718,41,
548.9,1.9,-4.1,5047,40,
524.8,1.92,-6.5,5400,35,
502.2,2.12,-7.9,5742,9,
478.8,2.2,-10.3,6110,11,
457,2.19,-12.7,6467,7,
433.5,2.03,-15.5,6869,15,
411.6,1.86,-18.2,7257,31,
391.8,1.68,-21.1,7623,26,
371.6,1.51,-24.5,8012,24,
351.5,1.49,-27.9,8413,25,
333.5,1.36,-31.1,8789,24,
315.3,1.24,-34.6,9184,25,
298.1,1.15,-37.4,9572,18,
282.6,1.08,-39.5,9939,11,
267.7,1.04,-41.9,10308,9,
252.8,0.97,-43.1,10695,4,
238.6,0.89,-46.6,11083,6,
226.5,0.79,-49.8,11424,8,
215.9,0.79,-51.7,11737,8,
204.7,0.85,-53.2,12081,5,
195.2,0.98,-55.1,12386,5,
185.5,1.04,-57.5,12710,5,
176.2,1.15,-59.2,13032,5,
167.9,1.16,-59,13336,4,
159.7,1.15,-60.4,13650,3,
151.4,1.09,-62.5,13978,3,
143.4,1.21,-64.3,14311,3,
136.3,1.13,-65.3,14623,3,
129.6,1.24,-65.4,14930,4,
123.6,1.4,-66.9,15218,3,
117.3,1.4,-67.2,15529,3,
111.1,1.54,-67.7,15860,2,
105.2,1.52,-68.4,16185,2,
99.5,1.6,-69.3,16519,2,
93.8,1.73,-69.2,16871,2,
89,1.91,-70.7,17184,1,
84.5,2.17,-71.4,17492,1,
80.2,2.45,-71.1,17798,2,
76,4.9,-71.2,18122,1,
71.6,5.92,-70.7,18470,2,
67.7,6.54,-68.6,18801,1,
64.1,6.73,-68.4,19132,1,
60.7,6.7,-68.4,19460,1,
