* GTE (Global Tropospheric Experiment) is a project of NASA Langley Research
* Center (NASA-LaRC).  Ozonesonde launches are one component of the data
* collected in support of this mission.
* GTE Station: Easter Island, Chile
* Crespo, Juan,Chile
* Ozone/Ecc sonde
* Pem-Tropics
* Latitude of Sonde Launch Station:  -27.17 South
* Longitude of Sonde Launch Station: -109.42 West
* Altitude of Sonde Launch Station: 69.2 Meters
* The geometric altitude, integrated column ozone
* and ozone mixing ratio were calculated by NASA
* as data was not provided by Easter.  All sonde
* levels are reported.
* NASA-LaRC Project Co-ordinator: Vince Brackett, NASA-LaRC

#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2017-11-03,EIMO,2.0,Crespo  Juan Climatological Services Office  Santiago  Chile
* NASA-LaRC Project Co-ordinator: Vince Brackett,NASA-LaRC

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,441,Easter Island,CHL,EIC

#INSTRUMENT
Name,Model,Number
ECC,UNKNOWN,na

#LOCATION
Latitude,Longitude,Height
-27.17,-109.42,69.2

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2004-10-08,23:41

#PROFILE
Pressure,O3PartialPressure,Temperature,GPHeight,RelativeHumidity,
1019.6,2.25,21.4,49,63,
988.6,2.47,17.3,315,59,
948.8,2.66,14.9,664,56,
909.8,2.72,11.7,1017,63,
869.6,2.68,8.2,1393,74,
833.1,2.5,6,1746,79,
798.4,3.46,11.1,2097,4,
763.9,3.23,9.4,2464,3,
728.9,2.99,8.5,2851,1,
696.2,3.62,7.1,3229,6,
662.9,4.15,5.2,3630,5,
631.1,4.04,2.9,4028,9,
600.5,2.61,1.3,4430,9,
571.6,2.45,-0.3,4825,6,
543,2.83,-2.3,5233,1,
515.9,2.77,-5.2,5638,3,
488.7,2.25,-8.6,6060,5,
462.9,2.15,-12.1,6477,6,
437.7,2.13,-15.3,6902,10,
414.3,2.23,-18.1,7314,1,
390.7,2.03,-21.2,7749,4,
368.9,1.93,-25,8170,8,
347.9,1.96,-28.4,8592,11,
328.5,1.66,-31.6,9002,18,
310.4,1.48,-34.9,9400,16,
292.2,1.57,-37.9,9818,11,
276.1,1.46,-41.1,10205,16,
260,1.38,-45,10610,20,
244.8,1.26,-48.7,11009,24,
229.5,1.13,-52.7,11431,31,
215.4,1.08,-56.2,11837,37,
202.1,2.09,-58.2,12240,26,
189.8,2.09,-60.5,12631,20,
179.5,1.93,-60.7,12981,16,
169.6,1.59,-62.2,13331,12,
160.7,1.45,-64.2,13661,10,
152.2,1.49,-65.6,13996,9,
143.9,1.25,-66.9,14334,8,
136.7,1.38,-68.8,14642,7,
129.6,1.39,-71.1,14960,7,
122.6,1.41,-72.4,15288,7,
116.2,1.48,-72.3,15600,7,
110,1.59,-73.4,15923,7,
103.9,1.61,-74.3,16257,6,
98,2.27,-72,16601,7,
92.9,2.6,-71.9,16916,7,
87.4,2.66,-73,17275,6,
82.4,3.76,-71.4,17616,6,
77.9,5.37,-69.6,17949,6,
73.7,5.42,-69.3,18284,5,
69.4,5.34,-69.2,18640,4,
65.5,4.77,-69.4,18985,4,
61.8,6.84,-68.6,19337,3,
58.3,8.18,-67.5,19682,3,
55,8.78,-67.3,20030,3,
51.9,9.84,-67.3,20388,2,
48.8,11.62,-65.6,20752,2,
46.1,11.62,-65,21110,2,
43.4,12.5,-62.4,21470,1,
41,12.67,-62.3,21826,1,
38.6,13.67,-61.1,22194,1,
36.4,13.86,-61,22563,1,
34.3,13.45,-60.7,22934,1,
32.3,13.01,-60.3,23314,1,
30.4,13.8,-59.5,23692,1,
28.6,13.83,-58.2,24076,1,
26.9,13.86,-57.2,24457,1,
25.3,13.2,-56.7,24849,1,
23.8,12.76,-56.3,25232,1,
22.4,12.86,-55,25618,1,
21,12.86,-53.6,26017,1,
19.8,13.33,-52.7,26426,1,
18.6,12.15,-52.3,26828,1,
17.4,11.23,-51.7,27233,1,
16.4,10.81,-50.2,27628,1,
15.5,10.61,-50,28017,1,
14.5,10.48,-49,28428,1,
13.6,9.91,-48.4,28853,1,
12.8,9.74,-48.4,29271,1,
12,9.1,-47.9,29673,1,
11.3,9.18,-46.4,30089,1,
10.6,9.1,-45.2,30506,2,
