* GTE (Global Tropospheric Experiment) is a project of NASA Langley Research
* Center (NASA-LaRC).  Ozonesonde launches are one component of the data
* collected in support of this mission.
* GTE Station: Easter Island, Chile
* Crespo, Juan,Chile
* Ozone/Ecc sonde
* Pem-Tropics
* Latitude of Sonde Launch Station:  -27.17 South
* Longitude of Sonde Launch Station: -109.42 West
* Altitude of Sonde Launch Station: 69.2 Meters
* The geometric altitude, integrated column ozone
* and ozone mixing ratio were calculated by NASA
* as data was not provided by Easter.  All sonde
* levels are reported.
* NASA-LaRC Project Co-ordinator: Vince Brackett, NASA-LaRC

#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2017-11-03,EIMO,2.0,Crespo  Juan Climatological Services Office  Santiago  Chile
* NASA-LaRC Project Co-ordinator: Vince Brackett,NASA-LaRC

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,441,Easter Island,CHL,EIC

#INSTRUMENT
Name,Model,Number
ECC,UNKNOWN,na

#LOCATION
Latitude,Longitude,Height
-27.17,-109.42,69.2

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2004-07-16,23:42

#PROFILE
Pressure,O3PartialPressure,Temperature,GPHeight,RelativeHumidity,
1014,2.64,21.6,49,75,
975.6,2.66,17.8,381,74,
938.9,2.55,15.2,708,72,
906.3,2.45,12.9,1007,80,
875.6,2.34,12.1,1296,72,
844.7,2.17,12,1597,62,
811.2,2.22,11.2,1937,56,
774.6,2.53,10.3,2322,38,
738.2,2.39,8.5,2720,37,
704.8,2.59,7.5,3103,13,
675,2.43,5.1,3457,17,
648.5,2.33,3,3782,13,
622.3,2.34,1.2,4115,13,
596.4,1.91,-1.4,4455,28,
569.6,1.77,-3.2,4819,18,
543.9,1.98,-4.9,5182,4,
519.7,2.07,-6.7,5539,9,
497.1,1.34,-8.7,5885,29,
474.4,1.26,-11.8,6244,33,
453,1.61,-14.9,6595,9,
431.7,1.96,-17.4,6959,6,
411.9,1.8,-19.1,7309,8,
392.5,1.57,-21.9,7665,9,
372.8,1.41,-24.9,8042,15,
354.5,1.22,-28.3,8406,22,
336.7,1.26,-30.8,8772,18,
320.1,1.06,-33.5,9130,19,
303.9,0.98,-35.9,9492,16,
289.7,0.94,-39.2,9824,20,
276.3,1.24,-40.4,10147,7,
262.6,1.18,-43,10489,7,
249.5,1.15,-45.6,10833,7,
237,1.14,-48.1,11174,7,
225.7,1.22,-49.9,11495,4,
214.5,1.24,-51.7,11826,3,
203.9,1.02,-53.3,12153,3,
194.2,1.19,-54.8,12464,2,
184.9,1.14,-56.7,12777,2,
176.5,1.05,-58.3,13070,2,
167.6,0.99,-60.2,13395,2,
160,1.21,-61.1,13685,2,
152.5,1.22,-62.6,13983,1,
145.1,1.29,-64.1,14287,1,
137.8,1.22,-65.7,14603,1,
130.8,1.16,-66.7,14915,1,
124.1,1.04,-68.1,15233,1,
116.9,1.06,-70.2,15590,1,
110.7,1.2,-71.8,15915,1,
104.8,1.37,-72.2,16236,1,
99.3,1.41,-73.5,16552,1,
93.9,1.4,-73.9,16876,1,
88.7,1.74,-74.1,17211,1,
83.8,1.86,-73.4,17543,1,
79,2.48,-71.8,17888,1,
74.7,4.34,-69.7,18223,1,
70.6,6.77,-69.5,18557,1,
66.6,7.47,-66.9,18909,1,
63.1,6.77,-67.1,19236,1,
59.5,6.92,-66.7,19582,1,
56.2,7.97,-66.5,19931,1,
52.8,9.05,-67.1,20308,1,
49.8,9.97,-65,20661,1,
47.1,11.32,-63.2,21005,1,
44.5,11.78,-62.4,21352,1,
42,11.63,-61.6,21716,1,
39.7,12.09,-60.8,22068,1,
37.5,13.52,-59.8,22419,1,
35.3,14.54,-59.2,22788,1,
33.3,14.62,-59,23153,1,
31.4,14.92,-56.8,23532,1,
29.6,14.42,-55.7,23909,1,
28,14.53,-55.7,24265,1,
26.4,13.91,-55,24640,1,
24.8,13.7,-54.7,25022,1,
23.4,13.03,-54.2,25412,1,
21.9,13.65,-53,25818,1,
20.6,12.45,-53.9,26216,1,
19.4,11.74,-54.3,26606,1,
18.2,10.92,-53.5,27010,1,
17.1,10.02,-54.3,27411,1,
16.1,9.3,-54.6,27814,1,
15.1,9.36,-54,28226,1,
14.2,8.55,-53,28632,1,
13.3,7.68,-51.7,29035,1,
12.5,7.31,-51.9,29454,1,
