* GTE (Global Tropospheric Experiment) is a project of NASA Langley Research
* Center (NASA-LaRC).  Ozonesonde launches are one component of the data
* collected in support of this mission.
* GTE Station: Easter Island, Chile
* Crespo, Juan,Chile
* Ozone/Ecc sonde
* Pem-Tropics
* Latitude of Sonde Launch Station:  -27.17 South
* Longitude of Sonde Launch Station: -109.42 West
* Altitude of Sonde Launch Station: 69.2 Meters
* The geometric altitude, integrated column ozone
* and ozone mixing ratio were calculated by NASA
* as data was not provided by Easter.  All sonde
* levels are reported.
* NASA-LaRC Project Co-ordinator: Vince Brackett, NASA-LaRC

#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2017-11-03,EIMO,2.0,Crespo  Juan Climatological Services Office  Santiago  Chile
* NASA-LaRC Project Co-ordinator: Vince Brackett,NASA-LaRC

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,441,Easter Island,CHL,EIC

#INSTRUMENT
Name,Model,Number
ECC,UNKNOWN,na

#LOCATION
Latitude,Longitude,Height
-27.17,-109.42,69.2

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2004-07-30,23:35

#PROFILE
Pressure,O3PartialPressure,Temperature,GPHeight,RelativeHumidity,
1013.8,3.07,18.6,49,61,
970.6,3.07,14,418,68,
926.6,2.99,10.2,807,85,
893.5,3.11,13.1,1111,40,
862,2.63,12.6,1413,39,
830.6,2.24,11.1,1723,43,
800.9,1.96,9.3,2026,48,
769.5,1.82,7.1,2356,56,
740,2,5,2677,62,
712.5,1.95,2.8,2984,51,
685.9,1.95,1.2,3292,64,
659.8,2.18,0.5,3603,39,
634.5,1.8,-1.3,3916,49,
608.3,1.76,-4.1,4251,27,
582.7,2.47,-5.4,4588,1,
556.7,2.5,-7.5,4945,1,
533.8,2.01,-9.2,5271,28,
509.9,1.52,-12,5624,45,
489,1.4,-14.5,5942,43,
467.4,1.93,-17.2,6282,28,
446.1,1.58,-19.8,6630,47,
425.2,1.77,-22.2,6984,23,
406.5,2.09,-23.6,7314,12,
387.6,1.84,-25.9,7660,10,
369.4,1.64,-28.2,8007,12,
352.5,1.57,-31.1,8341,14,
334.6,1.62,-34.2,8707,18,
317.4,1.55,-37.4,9073,27,
302.2,1.28,-39.8,9412,51,
287.3,1.06,-42,9756,27,
272.5,0.94,-43.7,10111,24,
257.9,0.9,-46.4,10478,21,
243.9,1.11,-49.4,10847,41,
233,1.2,-50.6,11144,35,
222.3,1.22,-51,11452,9,
212.8,1.21,-52.8,11735,7,
202.1,1.48,-54.6,12067,4,
192.3,1.57,-56.1,12382,2,
183.9,1.6,-57.4,12665,1,
175.7,1.47,-58.6,12954,2,
167.5,1.42,-59.3,13254,1,
159.6,1.42,-60.8,13554,1,
152,1.4,-61.8,13857,1,
144.7,1.37,-63.8,14162,1,
137.8,1.4,-65.9,14458,1,
131.4,1.39,-66.9,14748,1,
125.1,1.46,-67.4,15041,1,
119,1.35,-69.1,15344,1,
112.9,1.55,-67.5,15661,1,
107.1,1.66,-68.3,15973,1,
101.5,1.75,-69.5,16299,1,
96.5,1.94,-68.8,16601,1,
91.5,2.2,-68.3,16917,1,
86.7,2.27,-70.4,17238,1,
82.1,2.27,-71.5,17564,1,
77.7,2.42,-68.8,17892,1,
73.5,2.72,-68.2,18222,1,
69.6,3.53,-67.2,18552,1,
65.9,4.68,-66.2,18880,1,
62.2,5.5,-67.1,19224,1,
58.8,8.61,-65.3,19570,1,
55.5,10.12,-64.6,19917,1,
52.6,10.63,-64.2,20254,1,
49.7,11.48,-62.9,20596,1,
47,12.49,-62.4,20946,1,
44.4,10.4,-61.2,21295,1,
42,12.31,-60,21642,1,
39.6,12.57,-59.6,22001,1,
37.4,13.37,-59.6,22366,1,
35.3,13.45,-58.6,22730,1,
33.3,14.73,-56.2,23093,1,
31.5,14.69,-55.1,23454,1,
29.7,14.68,-54.9,23828,1,
28,14.66,-53.6,24210,1,
26.4,14.4,-53,24574,1,
24.9,15.39,-51.6,24952,1,
23.5,15.67,-49.4,25325,1,
22.2,15.34,-50.5,25714,1,
20.9,13.79,-52.3,26091,1,
19.8,13.12,-50.4,26458,1,
18.7,12.5,-49.6,26826,1,
17.6,11.21,-49.3,27221,1,
16.6,10.64,-47.8,27618,1,
15.6,11.25,-46.5,28001,1,
14.7,10.31,-44.9,28399,1,
13.9,9.14,-43.7,28809,1,
13.1,8.62,-44.2,29212,1,
12.3,8.05,-45,29633,1,
11.5,7.74,-45.4,30039,1,
10.9,7.39,-45.1,30415,1,
10.3,6.91,-45,30800,1,
9.7,6.53,-44.7,31199,1,
9.1,6.34,-44.2,31593,1,
8.6,6.02,-43.1,31980,1,
8.1,5.59,-42.5,32381,1,
