* These data were originally received by the WOUDC in NASA-GTE file format
* and have been translated into extCSV file format for WOUDC archiving.
* This translation process re-formats these data to comply with WOUDC standards.

* This file was generated by GTE_CSX - version 1.0.
* 'na' is used where Instrument Model or Number are not available.

* GTE (Global Tropospheric Experiment) is a project of NASA Langley Research
* Center (NASA-LaRC).  Ozonesonde launches are one component of the data
* collected in support of this mission.

* GTE Station: Easter Island, Chile

* cjo3se23.pmt
* Carreno, Jorge, Met Office, Easter Island, Chile
* Ozone/Ecc sonde
* Pem-Tropics
* Latitude of Sonde Launch Station:  -27.17 South
* Longitude of Sonde Launch Station: -109.42 West
* Altitude of Sonde Launch Station: 69.2 Meters
* The integrated column ozone and ozone mixing ratio
* were calculated by NASA as data was not provided
* by Easter Island.  All sonde levels are reported.

#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
1997-01-20,EIMO,1.0,"Carreno, Jorge, Met Office, Easter Island, Chile"
* NASA-LaRC Project Co-ordinator: Vince Brackett, NASA-LaRC

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,441,Easter Island,CHL

#INSTRUMENT
Name,Model,Number
ECC,na,na

#LOCATION
Latitude,Longitude,Height
-27.17,-109.42,69.2

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,1996-05-03,22:59:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLcode,ObsType,Instrument,Number
244.1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1016.1,2.533,23.8,,,,0,69,84
973.2,2.436,17.9,,,,27,440,50
965.9,2.436,17.2,,,,38,504,52
957.7,2.533,16.4,,,,48,576,55
952.3,2.436,16,,,,58,624,55
948,2.533,15.1,,,,68,662,56
943.9,2.436,14.9,,,,78,699,56
939.4,2.436,14.4,,,,89,739,59
935.1,2.436,14.1,,,,99,778,59
931.2,2.436,13.8,,,,109,813,61
927.3,2.436,13.5,,,,120,848,63
923.1,2.436,13.1,,,,130,886,57
918.8,2.436,13,,,,140,925,56
914.7,2.338,12.5,,,,150,963,60
910.3,2.436,12,,,,161,1003,68
906.2,2.436,11.5,,,,171,1041,69
901.5,2.436,11.2,,,,181,1084,67
896.7,2.436,11,,,,191,1129,64
891.8,2.436,10.6,,,,202,1174,60
886.9,2.436,10.2,,,,212,1220,60
882.1,2.436,10,,,,222,1265,59
877.3,2.338,9.6,,,,232,1310,55
872.4,2.436,9.4,,,,243,1356,54
867.8,2.436,9,,,,253,1400,55
863.4,2.338,8.6,,,,263,1442,59
859.2,2.436,8.5,,,,274,1482,59
855,2.436,8.1,,,,284,1523,57
850.8,2.436,8,,,,294,1563,56
850,2.436,7.9,,,,296,1571,56
845.5,2.436,7.5,,,,306,1615,56
840.6,2.533,7,,,,318,1662,55
835.6,2.533,6.8,,,,328,1711,55
830.4,2.631,6.6,,,,338,1762,52
825.7,2.631,6.2,,,,348,1809,53
820.5,2.631,6,,,,359,1860,54
816.3,2.728,5.6,,,,369,1902,55
812.6,2.631,5.4,,,,379,1939,55
808.6,2.728,5.2,,,,390,1980,60
804.7,2.923,5.1,,,,400,2019,59
800.3,3.02,4.9,,,,410,2064,57
795.8,2.923,4.5,,,,421,2109,57
790.7,3.02,4.2,,,,431,2162,56
785.7,3.702,6.2,,,,443,2213,14
781.3,4.092,7.4,,,,453,2259,6
777.2,3.995,11.5,,,,463,2303,0
772.5,3.313,12.5,,,,474,2354,0
768.1,3.02,12.6,,,,484,2401,0
763.8,2.825,12.6,,,,494,2448,0
759.6,2.728,12.4,,,,504,2494,0
754.6,2.631,12,,,,516,2550,0
750.3,2.631,11.5,,,,527,2597,0
746,2.631,11.2,,,,537,2645,0
741.9,2.728,11,,,,547,2691,0
737.2,2.728,10.6,,,,559,2744,0
733,2.631,10.2,,,,569,2791,0
729,2.631,10,,,,580,2837,0
724.8,2.631,9.5,,,,590,2885,0
721,2.631,9.2,,,,606,2928,0
714.4,2.631,8.6,,,,618,3004,0
709.9,2.728,8.4,,,,630,3056,0
705.9,2.728,8,,,,640,3103,0
701.9,2.728,7.5,,,,650,3149,0
700.2,3.02,7.5,,,,655,3169,0
