* GTE (Global Tropospheric Experiment) is a project of NASA Langley Research
* Center (NASA-LaRC).  Ozonesonde launches are one component of the data
* collected in support of this mission.
*
* GTE Station: Easter Island, Chile
*
* Crespo, Juan, Met Office, Easter Island, Chile
* Ozone/Ecc sonde
* Pem-Tropics
* Latitude of Sonde Launch Station:  -27.17 South
* Longitude of Sonde Launch Station: -109.42 West
* Altitude of Sonde Launch Station: 69.2 Meters
* The geometric altitude, integrated column ozone
* and ozone mixing ratio were calculated by NASA
* as data was not provided by Easter.  All sonde
* levels are reported. 
*
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1,1
*
#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
1997-1-20,EIMO,1,"Crespo, Juan, , Climatological Services Office, Santiago, Chile"
* NASA-LaRC Project Co-ordinator: Vince Brackett, NASA-LaRC
*
#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,441,Easter Island,CHL
*
#INSTRUMENT
Name,Model,Number
ECC,na,na
*
#LOCATION
Latitude,Longitude,Height
-27.17,-109.42,69.2
*
#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2007-7-13,23:54
*
*
#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1018.5,2.38,20.2,49,67
987.6,2.72,16.9,313,58
954.2,2.73,14.4,605,57
917.6,2.68,11.7,933,64
882.5,2.68,10.4,1259,44
850.7,2.95,11.5,1563,5
819.9,2.9,11.1,1870,1
789.9,2.82,10.5,2181,1
761.3,2.73,9.2,2486,4
732.1,2.56,7.8,2809,8
702.7,2.58,5.5,3145,6
674.5,2.43,3.3,3478,3
647.4,2.29,0.4,3809,36
621.2,2.21,-2.7,4138,52
596.2,2.35,-4.9,4462,38
572,2.34,-7.5,4786,43
547.7,2.14,-9.3,5123,37
524.2,2.12,-12.2,5459,41
502.2,1.98,-15.1,5786,43
481.8,2.01,-17.3,6098,32
461.7,1.97,-19,6415,22
442.9,1.85,-20.2,6726,1
423.2,1.72,-23.4,7060,5
403.7,1.74,-26.1,7402,11
385.6,1.67,-29.1,7733,10
368,1.63,-32.3,8063,16
350.8,1.53,-35.4,8401,23
332.7,1.48,-37.7,8766,8
317.4,1.38,-39.8,9089,2
302.5,1.39,-41.9,9416,1
288.4,1.48,-44.2,9739,1
275,1.36,-46.7,10054,1
261.8,1.45,-49,10380,1
251,1.45,-51,10656,1
240,1.43,-53.1,10946,1
227.4,1.72,-55.4,11291,2
217.3,1.75,-57.5,11579,3
207.2,1.79,-60,11879,4
198.1,2,-61.5,12158,4
189.5,2.77,-62.3,12431,3
181.9,3.68,-62.7,12683,1
174.4,4.2,-61.5,12945,1
166.1,3.95,-61.9,13246,1
158.3,3.73,-63.5,13543,1
151.2,4.1,-63.2,13823,1
144.8,4.58,-63.1,14090,1
138.7,4.74,-62.5,14356,1
133.1,5.06,-60.4,14610,1
127.7,4.89,-61.9,14869,///
122.1,4.67,-63.5,15146,///
116.8,4.5,-63.7,15418,///
111.4,4.44,-64.9,15707,///
106.6,4.73,-66,15976,///
102.2,5.37,-66.1,16232,///
97.9,6.88,-64.6,16489,///
93.4,8.25,-64.9,16779,///
89.1,8.01,-65.7,17068,///
85.1,7.28,-67.5,17344,///
81.3,7.25,-65.9,17615,///
77.8,9.55,-64,17885,///
74.4,9.02,-64.2,18157,///
71,8.52,-64,18450,///
67.6,6.82,-64,18747,///
64.6,8.23,-62.8,19023,///
61.6,10.8,-62.1,19317,///
58.9,10.97,-62.4,19601,///
56.1,9.19,-63.7,19900,///
53.5,11.32,-62.3,20193,///
51,12.48,-61.5,20480,///
48.7,12.65,-61.1,20773,///
46.5,14.5,-61,21055,///
44.3,14.7,-61,21361,///
42.3,12.73,-59.4,21653,///
40.4,13.08,-58.9,21937,///
38.4,13.49,-58.9,22249,///
36.6,13.42,-59.4,22549,///
34.9,13.92,-59,22847,///
33.2,14.66,-57.8,23165,///
31.5,15.13,-58.5,23490,///
29.9,14.78,-59.4,23824,///
28.4,14.22,-60.2,24155,///
27,14.12,-59.2,24459,///
25.7,13.98,-57.3,24765,///
24.4,13.71,-56.1,25102,///
