* GTE (Global Tropospheric Experiment) is a project of NASA Langley Research
* Center (NASA-LaRC).  Ozonesonde launches are one component of the data
* collected in support of this mission.
*
* GTE Station: Easter Island, Chile
*
* Crespo, Juan, Met Office, Easter Island, Chile
* Ozone/Ecc sonde
* Pem-Tropics
* Latitude of Sonde Launch Station:  -27.17 South
* Longitude of Sonde Launch Station: -109.42 West
* Altitude of Sonde Launch Station: 69.2 Meters
* The geometric altitude, integrated column ozone
* and ozone mixing ratio were calculated by NASA
* as data was not provided by Easter.  All sonde
* levels are reported. 
*
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1,1
*
#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
1997-1-20,EIMO,1,"Crespo, Juan, , Climatological Services Office, Santiago, Chile"
* NASA-LaRC Project Co-ordinator: Vince Brackett, NASA-LaRC
*
#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,441,Easter Island,CHL
*
#INSTRUMENT
Name,Model,Number
ECC,na,na
*
#LOCATION
Latitude,Longitude,Height
-27.17,-109.42,69.2
*
#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2007-5-25,23:39
*
*
#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1012.8,1.51,22.4,49,74
978.9,1.72,18.6,342,76
945.4,1.82,16.5,641,76
910.9,1.97,15.4,957,58
875.6,2.1,13.4,1291,65
843.5,2.08,11.6,1605,67
809.4,2.14,9.7,1949,55
776.5,2.36,7.4,2292,57
745.5,2.33,5.7,2627,64
715.5,2.53,4,2962,46
685.4,2.58,1.4,3309,38
656.1,2.73,-0.4,3659,20
629,2.71,-2.3,3996,14
600.6,2.43,-5.6,4360,39
576.1,2.57,-6.2,4687,1
552.1,2.49,-6.6,5018,1
528.6,2.38,-7.8,5357,1
505.3,2.3,-10.6,5706,1
483.9,2.26,-12.8,6037,1
462.8,1.9,-15.2,6376,1
443,1.78,-18,6704,1
424.9,1.82,-20.2,7014,1
406.4,1.81,-23.1,7341,1
388.9,1.74,-26.3,7661,1
371.8,1.61,-29.3,7984,1
356,1.61,-32.3,8292,1
340.1,1.59,-35,8612,1
325.3,1.51,-37.6,8922,3
311.4,1.49,-40.3,9220,2
298.5,1.44,-42.8,9508,2
283.9,1.39,-45.6,9843,27
270.3,1.4,-47.3,10171,42
257.1,1.29,-50.1,10498,42
244.9,1.23,-52.8,10813,40
233.8,1.16,-55.6,11111,36
222.5,1.3,-58.3,11424,34
213.6,1.99,-56.4,11682,32
204.7,2.39,-55.9,11951,21
196.1,2.24,-57.5,12223,10
187.9,2.08,-57.5,12495,6
179.9,1.88,-57.8,12769,3
172.2,1.91,-58,13043,2
165.5,1.81,-57.6,13293,1
158.6,1.82,-58.3,13564,1
150.7,1.91,-58.6,13885,1
143.8,1.94,-59.7,14176,1
138,1.84,-60.4,14433,1
131.9,1.75,-61.7,14714,1
126.2,1.61,-63.2,14988,1
120.7,1.56,-64.7,15263,1
115.4,1.5,-66.2,15536,1
110.1,1.52,-67.7,15816,1
105.2,1.54,-68.3,16089,1
100.4,1.58,-68.9,16368,1
96.1,1.72,-67.8,16636,1
91.4,2.12,-66.6,16933,1
86.8,2.59,-66.7,17251,1
82.7,2.67,-68.6,17541,1
78.7,4.65,-67.9,17836,1
74.9,5.87,-68.2,18133,1
71.2,4.68,-67.7,18438,1
67.7,4.32,-67,18741,1
64.4,6.63,-63.8,19043,1
61.4,6.93,-63.5,19341,1
58.4,7.35,-63.9,19646,1
55.4,7.42,-64.3,19969,1
52.7,7.15,-61.1,20276,1
50.2,8.1,-60.5,20581,1
47.8,8.95,-59.7,20889,1
45.4,9.19,-58.9,21212,1
43.1,11.45,-57.7,21527,1
40.9,11.46,-58.8,21857,1
38.8,11.77,-58.7,22202,1
36.8,12.28,-58.5,22535,1
34.9,12.66,-57.5,22864,1
33.2,12.87,-56.5,23176,1
31.4,12.94,-56.7,23522,1
29.7,13.19,-56.6,23874,1
28.2,13.58,-54.5,24216,1
26.8,14.08,-51.7,24542,1
25.4,14.34,-51.5,24895,1
24,13.94,-52.3,25254,1
22.7,14.27,-52.2,25618,1
21.5,14,-53.5,25963,1
20.4,12.57,-54.3,26297,1
19.4,13.55,-51.1,26631,1
18.3,13.61,-49.9,26992,1
17.4,11.27,-48.5,27325,1
16.6,10.38,-49,27654,1
15.8,10.25,-48.9,27966,1
15,9.99,-48.1,28301,1
14.2,9.52,-47.6,28655,1
13.5,9.3,-47.6,28990,1
12.9,8.92,-47.3,29316,1
12.3,9.45,-46.6,29642,1
11.7,8.78,-47.3,29943,1
11.2,7.85,-45.7,30228,1
10.7,7.23,-46.7,30574,1
10.2,6.9,-43.6,30890,1
