* GTE (Global Tropospheric Experiment) is a project of NASA Langley Research
* Center (NASA-LaRC).  Ozonesonde launches are one component of the data
* collected in support of this mission.
*
* GTE Station: Easter Island, Chile
*
* Crespo, Juan, Met Office, Easter Island, Chile
* Ozone/Ecc sonde
* Pem-Tropics
* Latitude of Sonde Launch Station:  -27.17 South
* Longitude of Sonde Launch Station: -109.42 West
* Altitude of Sonde Launch Station: 69.2 Meters
* The geometric altitude, integrated column ozone
* and ozone mixing ratio were calculated by NASA
* as data was not provided by Easter.  All sonde
* levels are reported. 
*
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1,1
*
#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
1997-1-20,EIMO,1,"Crespo, Juan, , Climatological Services Office, Santiago, Chile"
* NASA-LaRC Project Co-ordinator: Vince Brackett, NASA-LaRC
*
#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,441,Easter Island,CHL
*
#INSTRUMENT
Name,Model,Number
ECC,na,na
*
#LOCATION
Latitude,Longitude,Height
-27.17,-109.42,69.2
*
#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2007-3-23,23:47
*
*
#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1013.9,0.89,25.5,49,66
986.6,1.08,21.3,287,61
961.2,1.11,19,513,67
931.8,1.12,16.8,778,62
905.2,1.12,15.3,1026,63
875,1.16,13.5,1312,58
848,1.12,11.5,1575,62
819.3,1.14,9.9,1862,50
796.3,1.21,8.3,2098,51
768.6,1.18,6.5,2390,57
741.1,1.41,5.5,2688,48
714.3,1.52,5.2,2989,15
688.4,1.66,4.6,3289,1
663.5,1.91,3.8,3589,6
640.8,1.87,1.8,3871,8
619.5,1.78,-0.6,4141,10
596.4,1.91,-0.6,4444,2
574.8,1.91,-1.1,4739,9
552.5,1.1,-2.7,5053,11
529.3,0.9,-5.5,5391,9
507.5,0.86,-8.3,5719,10
487.1,0.82,-10.8,6035,12
468.7,0.72,-12.2,6331,7
450.1,0.76,-14.6,6639,11
431.4,0.64,-17.5,6957,12
415.2,0.66,-19.9,7243,14
397.3,0.75,-22.6,7569,14
382.1,1.09,-25.2,7854,11
366.8,1.06,-27.2,8148,14
351.4,1.26,-29.7,8456,10
336.6,1.13,-32.4,8761,14
322.7,1.17,-34.8,9057,14
310.4,1.29,-36.8,9327,14
298.2,1.53,-38.9,9603,15
285.6,1.29,-40.4,9898,14
273.6,1.14,-42.7,10190,15
262.6,1.25,-44.6,10464,12
251.8,1.05,-46.3,10744,12
241.6,1.19,-47,11019,13
232.1,1.66,-48.5,11284,10
223.2,1.69,-48.4,11542,8
214,1.47,-49.9,11817,10
205.5,1.33,-51.5,12081,5
196.8,1.23,-52.9,12360,8
188.7,1.23,-54.8,12631,8
180.2,1.09,-56.5,12925,9
172.4,0.86,-58.3,13204,9
165,0.79,-59.6,13480,11
157.6,0.76,-61.7,13762,12
150.8,0.77,-63.5,14036,12
144.2,0.84,-66.3,14309,12
137.5,1.42,-66.9,14597,13
131,1.54,-66.1,14890,12
125.1,1.58,-67,15172,12
119.4,1.7,-65.6,15456,12
113.6,1.81,-66.4,15758,14
108.1,1.85,-68.4,16058,11
102.8,2.03,-69.3,16358,13
97.7,1.66,-69.5,16662,13
92.9,1.93,-69.6,16963,13
88,2.07,-69.9,17286,12
83.1,2.2,-70.3,17624,12
78.4,2.34,-72.5,17966,11
74.2,2.4,-71.7,18290,12
70.3,2.89,-70,18612,14
66.6,3.43,-70.5,18932,13
63,4.54,-69.4,19263,16
59.7,4.35,-69.3,19582,12
56.7,5.39,-67.1,19897,12
53.6,5.91,-66.3,20228,11
50.8,6.36,-66.3,20564,8
48,7.48,-63.4,20900,9
45.4,8.33,-62.6,21244,7
43,9.83,-59.3,21589,8
40.7,10.37,-59.1,21924,9
38.7,10.85,-57.5,22239,8
36.8,11.8,-55.7,22572,5
34.9,12.27,-54.9,22911,1
33.1,12.53,-54.2,23241,1
31.4,13.85,-52.1,23587,1
29.7,13.97,-51.1,23945,1
28.1,13.69,-51.3,24296,2
26.7,13.75,-52.2,24640,2
25.3,14.55,-51.3,24994,3
23.9,14.17,-50.9,25359,4
22.6,14.22,-50.3,25704,4
21.5,15.26,-48.4,26053,5
20.3,14.71,-46.1,26435,4
19.2,14.38,-45.7,26808,3
18.1,14.5,-44.9,27175,3
17.2,14.1,-43.9,27517,5
16.3,13.12,-44.6,27905,3
15.4,12.64,-43.3,28289,4
