* GTE (Global Tropospheric Experiment) is a project of NASA Langley Research
* Center (NASA-LaRC).  Ozonesonde launches are one component of the data
* collected in support of this mission.
*
* GTE Station: Easter Island, Chile
*
* Crespo, Juan, Met Office, Easter Island, Chile
* Ozone/Ecc sonde
* Pem-Tropics
* Latitude of Sonde Launch Station:  -27.17 South
* Longitude of Sonde Launch Station: -109.42 West
* Altitude of Sonde Launch Station: 69.2 Meters
* The geometric altitude, integrated column ozone
* and ozone mixing ratio were calculated by NASA
* as data was not provided by Easter.  All sonde
* levels are reported. 
*
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1,1
*
#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
1997-1-20,EIMO,1,"Crespo, Juan, , Climatological Services Office, Santiago, Chile"
* NASA-LaRC Project Co-ordinator: Vince Brackett, NASA-LaRC
*
#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,441,Easter Island,CHL
*
#INSTRUMENT
Name,Model,Number
ECC,na,na
*
#LOCATION
Latitude,Longitude,Height
-27.17,-109.42,69.2
*
#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2007-7-27,23:32
*
*
#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1013.4,1.91,21.6,49,87
979.2,2.07,17.7,346,86
944.2,2.02,15.5,656,84
910.7,1.94,13.9,962,78
881.2,1.84,13.1,1240,65
854.7,1.76,11.7,1496,74
824.6,2,10.9,1796,42
791.8,1.66,8.6,2133,82
757.9,2.23,8.1,2494,20
726.1,2.43,5.3,2847,49
696.2,2.69,4.7,3189,16
676.1,2.52,4.2,3428,28
655,2.25,3.2,3685,34
636.1,1.96,2.3,3922,36
614.9,1.81,0.4,4196,36
593.2,1.81,-2,4482,37
569.5,1.79,-4.1,4805,38
545,1.71,-6.6,5150,41
520.8,1.67,-9.4,5502,29
496.8,1.66,-12.2,5865,49
475,1.81,-14.5,6207,37
457.9,1.87,-17,6483,47
441.2,1.91,-18,6760,41
425.5,2.04,-20,7031,30
409.6,1.75,-21.8,7313,24
393.3,1.96,-24.2,7610,29
375.8,1.73,-27,7940,59
357.2,1.62,-29.6,8303,65
340.1,1.48,-32.5,8651,67
325.1,1.45,-34.6,8968,59
310.6,1.38,-37.2,9285,58
296.5,1.4,-40,9604,55
282.1,1.19,-43,9943,52
269.9,1.09,-45.7,10239,44
256.6,1.09,-48.9,10572,42
245.2,1.11,-51.6,10870,40
232.9,1.37,-53.1,11201,38
223.1,1.73,-54.2,11477,33
214.2,1.51,-55.6,11738,34
204.9,1.92,-53,12022,25
195,1.97,-51.4,12341,12
186.9,1.87,-52.6,12617,7
179.6,1.77,-54.5,12872,5
172.5,1.47,-56.1,13129,4
165.5,1.49,-57.1,13394,4
158.3,1.68,-58.9,13672,3
151.2,1.86,-61.2,13962,3
143.7,1.86,-63.4,14272,4
137.7,1.83,-65.2,14535,4
131.8,2.01,-65.8,14802,4
125.7,1.81,-65.9,15088,4
120.2,1.92,-66.2,15361,4
114.5,2.09,-66.8,15652,4
109.5,2.1,-68.8,15922,3
104.5,2.07,-70,16198,3
99.8,2.09,-70.4,16475,3
95.4,2.04,-69.7,16744,3
91.1,2.28,-70.9,17019,3
86.8,2.43,-70.4,17303,3
82.8,3.12,-70.4,17584,3
79.1,5.75,-67.4,17860,4
75.4,7.4,-66.4,18143,3
71.9,8.33,-65,18431,3
68.6,8,-65.5,18724,3
65.4,5.91,-66.2,19014,2
62.3,9.48,-63.9,19309,2
59.4,11.99,-63,19597,2
56.5,13.24,-61.7,19910,2
53.8,13.24,-60.6,20218,2
51.2,14.09,-60.6,20527,2
48.7,13.97,-59,20831,2
46.3,15.37,-59.1,21154,2
43.9,14.28,-58.8,21478,2
41.7,15.57,-58.9,21800,2
39.6,15.61,-58.4,22127,2
37.6,14.76,-58.7,22453,2
35.6,15.01,-58.7,22794,2
33.8,15.14,-57.4,23119,2
32.1,15.25,-57,23455,2
30.5,15.21,-56.1,23781,2
28.9,15.25,-54.5,24130,2
27.4,15.18,-53.5,24470,1
26,14.94,-52.5,24807,1
24.6,15.18,-51.4,25152,1
23.3,14.8,-51.2,25503,1
22.1,14.17,-51.8,25863,1
20.9,13.85,-51.3,26223,1
19.7,13.22,-51.9,26586,1
18.7,13.15,-52.2,26943,1
17.7,12.03,-50.4,27290,1
16.8,11.83,-48.3,27642,1
15.9,11.34,-48,28007,1
15,10.78,-47.9,28368,1
14.3,10.64,-47.7,28711,1
13.6,9.74,-47.8,29044,1
12.9,9.34,-47.5,29396,1
12.2,9.15,-48.3,29761,1
11.5,8.73,-49,30108,1
11,7.76,-48.8,30443,1
