* GTE (Global Tropospheric Experiment) is a project of NASA Langley Research
* Center (NASA-LaRC).  Ozonesonde launches are one component of the data
* collected in support of this mission.
*
* GTE Station: Easter Island, Chile
*
* Crespo, Juan, Met Office, Easter Island, Chile
* Ozone/Ecc sonde
* Pem-Tropics
* Latitude of Sonde Launch Station:  -27.17 South
* Longitude of Sonde Launch Station: -109.42 West
* Altitude of Sonde Launch Station: 69.2 Meters
* The geometric altitude, integrated column ozone
* and ozone mixing ratio were calculated by NASA
* as data was not provided by Easter.  All sonde
* levels are reported. 
*
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1,1
*
#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
1997-1-20,EIMO,1,"Crespo, Juan, Climatological Services Office, Santiago, Chile"
* NASA-LaRC Project Co-ordinator: Vince Brackett, NASA-LaRC
*
#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,441,Easter Island,CHL
*
#INSTRUMENT
Name,Model,Number
ECC,na,na
*
#LOCATION
Latitude,Longitude,Height
-27.17,-109.42,69.2
*
#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2007-1-19,23:44
*
*
#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1012.6,1.13,25.5,49,58
994.1,1.34,21.4,208,54
972.3,1.36,19.4,400,57
947.7,1.35,17.5,620,62
922.6,1.5,16.3,849,44
897,1.44,14.1,1087,50
867.7,1.37,11.9,1366,55
839.6,1.58,10.5,1641,50
811.4,2.15,11.6,1926,19
784.1,2.38,11.1,2211,13
759.6,2.65,10.4,2475,10
733.2,2.67,8.6,2768,11
708.7,2.37,6.4,3047,11
686.4,2.31,4.8,3308,8
666,2.31,3.3,3554,10
643.3,2.32,1.9,3834,3
620.6,2.47,0.3,4122,1
598.1,2.12,-1.3,4416,1
576.8,2,-3.7,4705,1
557.1,1.89,-5.7,4977,2
537.2,1.96,-8.1,5261,2
519,1.95,-10.6,5527,3
501,2.02,-11.8,5798,1
482.5,2.05,-13.9,6085,1
463.4,2.46,-16.3,6389,1
446,2.74,-18.1,6676,1
428.9,2.64,-20.8,6967,2
412.2,2.81,-23.2,7259,1
396.1,2.77,-24.4,7550,1
380.7,3.07,-25,7837,1
367.1,2.51,-26.2,8101,2
353.5,2.66,-27.9,8374,1
340,2.96,-28.9,8654,1
328.2,1.97,-29.4,8905,24
316.6,1.86,-31.9,9162,15
303.8,1.79,-34.1,9452,22
291.6,1.7,-36.4,9737,29
278.6,1.6,-38.7,10051,27
266.3,1.42,-40.7,10361,16
256.2,1.25,-43.1,10620,35
246.3,1.16,-45.5,10887,30
236.3,1.33,-47.1,11161,33
227,1.27,-49.3,11424,26
217.6,1.22,-51.6,11700,30
208.5,1.3,-54.2,11975,32
199.7,1.22,-56.4,12253,34
190.8,2.04,-57,12542,35
182.5,2.29,-57.6,12822,33
174.4,2.66,-58.9,13105,24
166.6,2.62,-60.6,13393,22
159,2.37,-62.1,13682,24
152.6,2.67,-61.9,13934,22
146,2.55,-60.9,14211,22
138.5,2.35,-63.2,14534,20
132.1,2.11,-65,14827,17
125.5,2.3,-65.1,15140,19
119.6,2.39,-66.6,15432,17
113.8,2.35,-66.2,15734,16
108.5,2.41,-66.3,16020,16
103.1,2.68,-67.1,16329,15
98.2,2.48,-67,16625,15
93.2,2.61,-68.1,16935,15
88.6,2.57,-68.7,17242,16
84.1,4.2,-69.1,17550,17
79.7,4.09,-67.8,17875,17
75.6,4.75,-67.5,18193,17
71.8,4.49,-66.1,18508,16
67.9,4.81,-66.1,18842,15
64.2,4.81,-68.1,19180,15
61,5.34,-66.4,19488,15
57.8,5.82,-65.1,19814,15
54.7,6.56,-64.3,20155,13
51.9,7.11,-62.4,20477,14
49.1,7.46,-61.9,20812,13
46.6,8.19,-61.3,21145,11
44.1,8.86,-60.5,21480,11
41.8,9.96,-59.5,21817,10
39.6,10.62,-58.4,22158,9
37.5,11.56,-56.1,22496,7
35.5,12.27,-54.8,22844,5
33.7,12.42,-54.9,23190,5
31.9,12.68,-53.9,23541,5
30.2,13.25,-53.6,23894,4
28.5,13.25,-52.8,24250,2
27.1,13.5,-51.7,24597,1
25.6,13.26,-51,24950,1
24.2,13.84,-49.8,25320,1
22.9,13.93,-49,25696,1
21.7,13.44,-49.5,26050,1
20.5,13.73,-48.3,26406,1
19.4,13.6,-47.2,26777,1
