* GTE (Global Tropospheric Experiment) is a project of NASA Langley Research
* Center (NASA-LaRC).  Ozonesonde launches are one component of the data
* collected in support of this mission.
*
* GTE Station: Easter Island, Chile
*
* Crespo, Juan, Met Office, Easter Island, Chile
* Ozone/Ecc sonde
* Pem-Tropics
* Latitude of Sonde Launch Station:  -27.17 South
* Longitude of Sonde Launch Station: -109.42 West
* Altitude of Sonde Launch Station: 69.2 Meters
* The geometric altitude, integrated column ozone
* and ozone mixing ratio were calculated by NASA
* as data was not provided by Easter.  All sonde
* levels are reported. 
*
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1,1
*
#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
1997-1-20,EIMO,1,"Crespo, Juan, , Climatological Services Office, Santiago, Chile"
* NASA-LaRC Project Co-ordinator: Vince Brackett, NASA-LaRC
*
#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,441,Easter Island,CHL
*
#INSTRUMENT
Name,Model,Number
ECC,na,na
*
#LOCATION
Latitude,Longitude,Height
-27.17,-109.42,69.2
*
#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2007-8-3,23:37
*
*
#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1017.6,1.49,19,49,93
981.3,1.7,16,360,91
945.1,1.81,14.6,680,86
915.2,1.79,13.3,952,85
885.1,1.81,12.4,1233,65
852.8,1.79,10.1,1544,79
822.3,2.29,12,1848,25
792,1.83,10.2,2161,28
762.4,1.84,8.3,2477,26
733.6,1.76,6.6,2794,20
703.7,1.9,4,3133,23
675.5,1.87,1.6,3464,20
647.4,2.09,0.8,3805,12
619.2,2.02,0.9,4162,6
591.7,2.23,-1.5,4525,7
565.6,2.21,-4.4,4883,7
540.5,2,-7.2,5238,5
518,1.94,-9.7,5567,4
494.8,1.91,-12.3,5920,6
473.6,1.79,-14.6,6252,6
452.6,1.77,-16.8,6594,7
433.3,1.95,-18.9,6919,3
416.4,1.9,-20.6,7214,5
397.3,2,-23.3,7561,8
382.1,1.84,-25.8,7844,19
366.2,1.8,-28.7,8151,19
349,1.77,-32,8493,43
332.8,1.45,-34,8826,56
318.3,1.3,-36.5,9137,64
303,1.23,-39.3,9475,57
289.1,1.06,-42.1,9796,55
275.9,0.91,-44.9,10111,53
263.7,0.99,-47.5,10410,50
251.6,0.99,-50.2,10719,48
239.5,1.02,-53,11038,45
227.9,1.05,-55.9,11356,42
217.3,0.96,-58.7,11659,39
206.9,0.93,-61.4,11963,38
197.7,0.95,-63.9,12245,35
188.6,0.91,-66.3,12530,33
179.9,1.66,-66.6,12818,33
172,1.99,-66,13090,32
164.7,1.93,-67,13350,29
157.9,1.89,-68,13605,28
151.1,2.12,-69.3,13868,25
144.6,2.48,-68.6,14131,24
138.4,2.97,-66.4,14393,24
132.5,3.31,-67.4,14658,19
127.1,3.9,-66.7,14907,16
121.9,4.63,-65.2,15161,15
116.6,4.03,-66,15434,12
111.4,3.77,-63.6,15710,18
106.2,4.28,-64.1,16004,14
101.6,4.73,-65.1,16275,12
97.1,4.83,-66.3,16552,9
92.7,5.63,-66.5,16830,12
88.6,5.4,-63.8,17109,9
84.8,4.49,-61.8,17376,8
81.4,4.51,-60.8,17632,9
77.7,5.51,-60.4,17918,10
74.3,6.76,-59,18202,9
70.8,7.32,-60.9,18497,8
67.7,5.77,-61.7,18779,7
64.8,6.31,-61.6,19053,8
61.9,7.51,-61.1,19333,7
59.2,8.1,-61,19615,6
56.4,8.73,-60.3,19911,9
53.8,9.26,-61.3,20209,7
51.3,10.81,-60.9,20496,7
48.9,12.82,-60.4,20797,6
46.7,13.72,-60.2,21091,7
44.5,13.72,-60.2,21391,6
42.3,13.89,-59.3,21699,6
40.3,14.08,-58.9,22011,5
38.3,14.82,-57.2,22326,5
36.5,15.04,-57.1,22630,5
34.8,15.34,-56.7,22941,4
33.1,15.52,-54.7,23258,5
31.4,15.79,-53.2,23581,5
29.9,15.46,-52.4,23910,4
28.4,15.44,-53.2,24235,3
27,4.17,-53.8,24555,5
25.7,0.36,-53.2,24873,4
24.5,0.3,-53.2,25200,3
23.2,0.28,-52.8,25528,4
22.1,0.29,-52.5,25862,3
21,0.31,-51.6,26198,3
19.9,0.32,-51,26539,2
18.9,0.35,-49.3,26871,4
18,0.37,-48.5,27201,3
17.1,0.35,-49.1,27535,3
16.2,0.34,-48.9,27863,2
15.4,0.32,-48.2,28200,2
14.7,0.32,-48.3,28533,4
14,0.32,-47.5,28861,4
13.3,0.26,-46.7,29172,2
12.7,0.23,-46.5,29500,2
12.1,0.28,-46.4,29816,3
