* GTE (Global Tropospheric Experiment) is a project of NASA Langley Research
* Center (NASA-LaRC).  Ozonesonde launches are one component of the data
* collected in support of this mission.
*
* GTE Station: Easter Island, Chile
*
* Crespo, Juan, Met Office, Easter Island, Chile
* Ozone/Ecc sonde
* Pem-Tropics
* Latitude of Sonde Launch Station:  -27.17 South
* Longitude of Sonde Launch Station: -109.42 West
* Altitude of Sonde Launch Station: 69.2 Meters
* The geometric altitude, integrated column ozone
* and ozone mixing ratio were calculated by NASA
* as data was not provided by Easter.  All sonde
* levels are reported. 
*
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1,1
*
#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
1997-1-20,EIMO,1,"Crespo, Juan, , Climatological Services Office, Santiago, Chile"
* NASA-LaRC Project Co-ordinator: Vince Brackett, NASA-LaRC
*
#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,441,Easter Island,CHL
*
#INSTRUMENT
Name,Model,Number
ECC,na,na
*
#LOCATION
Latitude,Longitude,Height
-27.17,-109.42,69.2
*
#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2007-7-6,23:31
*
*
#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1008.9,1.28,20.9,49,81
974.2,1.03,16.9,349,70
933.9,1.05,14.3,707,57
901,1.11,12.6,1009,58
874.7,1.14,11.7,1257,59
847.4,1.11,10.5,1522,74
817.7,1.11,8.8,1819,76
784.9,1.14,7.6,2158,63
752.6,1.2,7.2,2503,41
719.7,1.46,4.8,2869,59
687.6,1.38,2.5,3240,67
662.7,1.35,0.1,3537,72
641.5,1.3,-2,3797,75
625.5,1.95,0.8,4000,3
604.6,2.17,-1.1,4271,1
583,2.13,-3.5,4559,1
560.9,1.83,-4.5,4863,2
537.9,1.77,-6,5193,1
516.5,1.9,-8.5,5508,1
493.8,1.8,-11.5,5854,1
469.7,1.85,-14.8,6235,4
448.1,1.65,-18.1,6589,9
428,1.67,-20.8,6930,10
407.8,1.52,-23.8,7285,11
390.9,1.47,-26.8,7592,16
374.3,1.69,-28.1,7904,10
361.5,1.58,-29.8,8152,3
348.5,1.49,-31.9,8414,6
335.1,1.34,-34.5,8688,10
320,1.24,-37.5,9009,14
308.3,1.17,-39.9,9263,16
296.2,1.09,-42.4,9535,20
282.3,1.14,-45.2,9858,12
269.9,1.16,-47.9,10158,12
256.1,1.34,-50.5,10500,11
244.9,1.27,-52.9,10792,12
235.2,1.21,-54.7,11050,13
226.4,1.17,-56.4,11295,12
217.2,1.21,-58.2,11556,14
207.9,1.07,-60.4,11831,16
198.4,1.18,-62.6,12121,19
190,1.49,-63.7,12387,24
181.8,1.9,-64.6,12654,25
174,2.59,-66,12923,24
166.4,3,-65.8,13193,24
159.6,3,-63.8,13449,19
152.5,3.07,-61,13728,9
145.4,3.77,-60.4,14026,1
139.1,3.49,-60.6,14301,1
132.8,3.02,-60.6,14591,1
127.1,3.28,-61.9,14863,1
121.5,3.25,-63.4,15139,///
116.5,4.21,-63.6,15396,///
111.7,3.88,-63.7,15655,///
106.8,3.82,-62.1,15931,///
102.2,3.81,-62.8,16206,///
97.4,3.6,-65.3,16500,///
93.1,3.97,-63.8,16773,///
88.5,6.09,-63.2,17085,///
84.7,5.91,-64.5,17355,///
80.8,7.19,-62.8,17642,///
77.1,5.91,-62.9,17928,///
73.6,7.71,-61.9,18222,///
70.1,9.5,-62.9,18517,///
66.9,12.87,-61.9,18808,///
63.8,11.59,-62.4,19100,///
60.8,10.27,-62.8,19398,///
57.8,11.06,-63.3,19705,///
54.9,11.98,-61.6,20020,///
52.4,12.93,-60.3,20321,///
50,13.24,-60,20613,///
47.7,13.76,-60.1,20903,///
45.4,14.1,-60.2,21213,///
43.2,14.46,-60.2,21519,///
41.2,13.8,-59.9,21823,///
39.2,15.77,-59.6,22132,///
37.1,16.08,-59.2,22472,///
35.3,15.29,-58.9,22791,///
33.5,15.06,-58.4,23110,///
31.9,15,-58.6,23418,///
30.3,15.23,-57.5,23741,///
28.8,14.62,-58.2,24060,///
27.3,14.45,-58.3,24389,///
26,13.74,-57.9,24709,///
24.6,13.59,-56.8,25051,///
23.4,13.25,-56,25381,///
22.1,13,-54.8,25727,///
21,12.35,-55.1,26074,///
19.9,11.03,-54.8,26401,///
19,10.39,-54.6,26715,///
18,9.48,-54.8,27047,///
17,8.97,-53.9,27398,///
16.1,8.73,-55.6,27756,///
15.3,8.13,-57.1,28107,///
14.4,7.95,-55.6,28460,///
13.7,7.55,-54.5,28795,///
13,7.27,-54.6,29148,///
12.3,6.91,-55.5,29488,///
11.7,6.6,-55.4,29825,///
11.1,6.36,-53.5,30157,///
10.5,5.84,-53.4,30471,///
10,5.51,-50.3,30790,///
9.6,5.3,-50.5,31108,///
