* GTE (Global Tropospheric Experiment) is a project of NASA Langley Research
* Center (NASA-LaRC).  Ozonesonde launches are one component of the data
* collected in support of this mission.
*
* GTE Station: Easter Island, Chile
*
* Crespo, Juan, Met Office, Easter Island, Chile
* Ozone/Ecc sonde
* Pem-Tropics
* Latitude of Sonde Launch Station:  -27.17 South
* Longitude of Sonde Launch Station: -109.42 West
* Altitude of Sonde Launch Station: 69.2 Meters
* The geometric altitude, integrated column ozone
* and ozone mixing ratio were calculated by NASA
* as data was not provided by Easter.  All sonde
* levels are reported. 
*
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1,1
*
#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
1997-1-20,EIMO,1,"Crespo, Juan, , Climatological Services Office, Santiago, Chile"
* NASA-LaRC Project Co-ordinator: Vince Brackett, NASA-LaRC
*
#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,441,Easter Island,CHL
*
#INSTRUMENT
Name,Model,Number
ECC,na,na
*
#LOCATION
Latitude,Longitude,Height
-27.17,-109.42,69.2
*
#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2007-6-22,23:50
*
*
#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1021.4,2.38,19.6,49,62
984.9,2.43,15.2,359,53
952.3,2.48,12.4,643,64
920.3,2.44,10.3,929,60
885.5,2.4,7.7,1248,64
852,2.35,5.3,1565,65
817.3,2.47,7.8,1906,12
784.5,2.59,7.3,2243,2
753.3,2.46,6.3,2576,1
722.5,2.44,5.2,2917,1
693.2,2.19,3.5,3254,1
664.8,2.26,0.9,3591,1
635.5,2.14,-1.8,3951,1
607.7,1.94,-4.5,4304,1
579.9,1.81,-7.9,4671,1
553,1.72,-11.4,5036,1
529.5,1.72,-14.5,5367,1
504.3,1.91,-17,5735,1
482.1,1.55,-18.8,6071,///
458.6,1.49,-21.4,6441,///
437.6,1.5,-23.5,6785,///
418.2,1.39,-26.3,7116,///
397.3,1.29,-29.3,7484,///
379.6,1.48,-31.7,7806,///
360.4,1.37,-34.1,8172,///
343.7,1.54,-35.7,8502,///
327.5,1.8,-37.1,8837,///
311.7,1.96,-39.2,9177,///
295.6,1.54,-40.6,9540,///
281,0.89,-43.5,9882,///
265.2,0.77,-46.2,10271,///
252.3,0.89,-49.1,10599,///
238.2,0.92,-52.7,10973,///
225.8,0.85,-55.7,11317,///
214.7,0.82,-58.6,11634,///
203,0.9,-61,11985,///
192.1,2.41,-62.1,12326,///
182.4,3.08,-60.6,12645,///
174.3,3.54,-56.3,12932,///
166.3,3.11,-56.8,13229,///
158.4,3.22,-56.5,13540,///
150.3,4.28,-58,13870,///
142.3,2.77,-59.6,14214,///
135.1,2.4,-60.3,14538,///
128.3,2.47,-61.6,14861,///
120.9,3.07,-63.7,15225,///
114.3,3.24,-64.5,15570,///
107.6,3.33,-67,15938,///
101.3,2.87,-69,16299,///
95.5,2.93,-68.3,16652,///
89.8,3.26,-67.6,17023,///
85,3.92,-66.1,17355,///
80.4,5.2,-64.1,17688,///
76.1,5.32,-63.7,18027,///
72.1,5.59,-63.1,18360,///
68.1,6.24,-62.5,18712,///
64.4,6.21,-62.5,19054,///
60.8,7.34,-61.5,19405,///
57.4,9.03,-61.8,19767,///
54.3,10.72,-61.3,20111,///
51.3,9.96,-60.9,20466,///
48.6,9.99,-59.8,20799,///
46,11.8,-58.7,21150,///
43.4,13.31,-58,21512,///
40.8,13.9,-57.6,21899,///
38.5,13.88,-58.3,22272,///
36.2,14.03,-57.4,22659,///
34,13.71,-56.9,23049,///
32.1,13.67,-56.8,23414,///
30.3,13.79,-56.2,23787,///
28.6,13.18,-55.7,24151,///
27,13.43,-53.6,24523,///
25.4,13.39,-53.4,24895,///
24,12.48,-52,25281,///
22.5,11.35,-50.4,25701,///
21.1,12.28,-49.7,26119,///
19.8,11.39,-48.1,26526,///
18.8,10.53,-47.4,26881,///
17.8,10.78,-46.3,27234,///
16.8,10.63,-47.3,27619,///
15.8,12.49,-47.6,28041,///
14.7,12.28,-49.4,28476,///
13.9,11.81,-49.2,28873,///
13.2,9.53,-46.5,29225,///
12.5,9.33,-45.7,29592,///
11.7,9.3,-47.2,30012,///
10.9,8.92,-47.2,30450,///
