* GTE (Global Tropospheric Experiment) is a project of NASA Langley Research
* Center (NASA-LaRC).  Ozonesonde launches are one component of the data
* collected in support of this mission.
*
* GTE Station: Easter Island, Chile
*
* Crespo, Juan, Met Office, Easter Island, Chile
* Ozone/Ecc sonde
* Pem-Tropics
* Latitude of Sonde Launch Station:  -27.17 South
* Longitude of Sonde Launch Station: -109.42 West
* Altitude of Sonde Launch Station: 69.2 Meters
* The geometric altitude, integrated column ozone
* and ozone mixing ratio were calculated by NASA
* as data was not provided by Easter.  All sonde
* levels are reported. 
*
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1,1
*
#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
1997-1-20,EIMO,1,"Crespo, Juan, , Climatological Services Office, Santiago, Chile"
* NASA-LaRC Project Co-ordinator: Vince Brackett, NASA-LaRC
*
#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,441,Easter Island,CHL
*
#INSTRUMENT
Name,Model,Number
ECC,na,na
*
#LOCATION
Latitude,Longitude,Height
-27.17,-109.42,69.2
*
#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2007-6-15,23:55
*
*
#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1014.3,1.47,17,49,89
976.6,1.75,14.9,371,73
936.9,1.8,12.2,721,80
882.2,1.74,9.8,1223,80
844.7,1.69,6.9,1582,80
813.6,1.74,5.3,1891,80
785.5,1.75,3.7,2177,80
763.3,1.79,2.1,2409,80
739.8,2.08,0.8,2660,31
719,2.21,0.7,2890,23
696.7,2.23,-1,3142,40
673.1,2.11,-2.6,3416,22
651.8,2.06,-4.1,3670,23
631,2.2,-4.9,3926,18
612.2,2.01,-5,4163,27
593.9,2.04,-6.1,4401,18
575.1,2.05,-7.5,4652,27
555.6,1.98,-9.8,4919,27
538.4,1.93,-11.6,5161,21
522.1,1.87,-12.6,5396,19
504.8,1.82,-14.3,5652,20
488.2,1.71,-16.3,5905,17
470.9,1.69,-18.5,6176,19
454.7,1.59,-20.4,6435,38
438.9,1.58,-22.3,6696,31
423.1,1.79,-24.1,6964,16
407.4,1.9,-26.1,7239,17
391.6,1.83,-28.7,7524,18
376.4,1.69,-31.4,7805,16
361.6,1.64,-33.1,8088,26
347.7,1.37,-35.2,8363,20
335.5,1.28,-37.5,8610,23
323.1,1.12,-39.7,8870,22
309.8,1.12,-41.7,9154,21
295.8,1.11,-44.1,9467,23
285.5,1.09,-46.9,9702,17
275,1.02,-48.6,9949,19
264.6,1.15,-50.5,10201,18
253.8,1.26,-52.1,10474,17
242.1,1.31,-53.7,10776,15
233.4,1.36,-53.9,11011,17
224.7,1.22,-56.1,11256,15
216.3,1.1,-57.7,11497,16
207.8,1.34,-59.4,11748,17
199.9,1.75,-59.1,11991,18
192.2,1.89,-57.6,12239,16
185.1,1.86,-58.3,12476,15
178.2,1.81,-59.4,12713,13
171.4,1.79,-60.2,12954,13
164.9,1.75,-61.9,13196,13
159,1.66,-62.5,13423,13
153.2,1.48,-62.8,13650,13
147.8,1.7,-60.8,13871,13
142.9,2.39,-60.3,14084,12
137.9,2.38,-60.1,14304,11
132.7,2.31,-61.1,14545,13
127.3,2.35,-62.4,14803,13
122.1,2.57,-62.2,15061,14
117.3,2.77,-63.1,15305,13
112.8,2.14,-63.4,15545,15
108.5,1.96,-64.2,15784,15
104.4,2.45,-63.6,16021,16
100.2,3.44,-63.5,16269,15
96.5,3.78,-64.4,16506,15
92.6,6.68,-63.1,16754,14
88.9,7.1,-63.5,17003,15
85.1,7.17,-64.2,17272,15
81.5,7.26,-64.7,17539,14
78.1,8,-64.1,17799,15
75.1,7.33,-63.7,18035,17
72.2,9.37,-61.9,18277,17
69.3,9.82,-62.6,18538,16
66.5,10.79,-61.6,18793,17
63.7,11.61,-60.9,19052,17
61.1,11.75,-61.1,19314,19
58.6,11.78,-61.6,19575,19
56,12.18,-60.8,19852,18
53.7,11.57,-59.7,20115,20
51.4,11.62,-58.7,20388,20
49.3,12.04,-58.9,20648,21
47.2,12.69,-57.6,20930,22
45,12.89,-57.2,21235,22
42.7,13.66,-57,21566,23
40.6,14.31,-56.5,21881,24
38.9,14.69,-56.6,22157,22
37.1,15.14,-56.6,22451,22
35.4,14.69,-56.7,22747,22
33.7,14.96,-57,23070,23
32.1,14.55,-56.2,23365,25
30.7,14.33,-55.5,23649,24
29.4,14.03,-55.5,23931,24
28,13.79,-55.4,24251,25
26.5,13.48,-55.1,24594,25
25.2,13.15,-54.8,24911,24
24.1,13.2,-54,25192,24
23.1,12.69,-53.4,25473,25
22,12.4,-53.2,25787,25
20.9,12.29,-52.7,26128,25
19.9,11.51,-51.5,26444,25
19,10.97,-50.9,26749,25
18.1,11,-49,27043,26
17.3,10.17,-48.2,27354,26
16.4,9.19,-49.5,27694,25
15.5,10.56,-49.1,28057,25
14.7,9.96,-50.5,28400,24
14.1,9.69,-50.2,28710,24
13.5,9.36,-49.8,28994,24
12.8,8.69,-48.6,29319,24
12.1,7.54,-48.3,29680,24
11.6,7.51,-50.3,29998,22
11,6.63,-51.5,30297,22
10.5,6.08,-50.3,30597,22
10.1,6.75,-49.6,30867,22
9.6,5.81,-52,31200,21
9.1,5.2,-52.9,31534,20
8.7,4.46,-54.9,31832,22
8.3,2.96,-55.2,32145,23
7.9,1.39,-52.3,32459,24
