* GTE (Global Tropospheric Experiment) is a project of NASA Langley Research
* Center (NASA-LaRC).  Ozonesonde launches are one component of the data
* collected in support of this mission.
*
* GTE Station: Easter Island, Chile
*
* Crespo, Juan, Met Office, Easter Island, Chile
* Ozone/Ecc sonde
* Pem-Tropics
* Latitude of Sonde Launch Station:  -27.17 South
* Longitude of Sonde Launch Station: -109.42 West
* Altitude of Sonde Launch Station: 69.2 Meters
* The geometric altitude, integrated column ozone
* and ozone mixing ratio were calculated by NASA
* as data was not provided by Easter.  All sonde
* levels are reported. 
*
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1,1
*
#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
1997-1-20,EIMO,1,"Crespo, Juan, , Climatological Services Office, Santiago, Chile"
* NASA-LaRC Project Co-ordinator: Vince Brackett, NASA-LaRC
*
#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,441,Easter Island,CHL
*
#INSTRUMENT
Name,Model,Number
ECC,na,na
*
#LOCATION
Latitude,Longitude,Height
-27.17,-109.42,69.2
*
#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2007-6-28,23:49
*
*
#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1004.3,2.05,16.4,49,65
969.2,3.21,12.6,350,56
934.1,3.76,10.2,658,57
896.4,3.68,6.9,999,69
861.6,3.51,4.2,1323,69
827.2,3.48,1.3,1653,79
792.4,3.52,-0.4,1998,76
761.8,3.7,-2,2311,67
730.9,4.14,-3.7,2640,33
702.5,5.37,-3.7,2952,1
675.3,5.31,-5.7,3263,1
651.5,5.98,-6.2,3544,1
632.2,6.18,-6.3,3779,1
609.9,6.88,-7.7,4058,1
585.6,6.43,-8.8,4374,1
558.7,7,-10.6,4736,1
532.9,6.5,-11.7,5099,11
509.1,5.74,-13.7,5448,22
487.6,5.66,-15.1,5775,23
468,5.53,-15.6,6085,1
448.1,5.29,-17.3,6412,1
430.1,5.65,-18,6718,1
413.5,4.88,-20.1,7011,1
395.6,4.65,-23.3,7336,4
378.2,4.09,-26.4,7663,6
362.4,3.82,-29.4,7969,10
346.9,3.99,-32.3,8279,14
331.4,4.21,-35.1,8599,17
315.1,4.41,-38,8950,18
301,3.67,-40.8,9262,20
284.6,3.38,-44.1,9641,28
269.5,3.61,-47.3,10004,35
256.2,3.36,-50.4,10336,38
245.9,3.22,-52.4,10604,40
236,3.36,-53.7,10868,30
224.9,3.3,-55.8,11176,22
214.6,3.57,-58.2,11474,22
203.8,3.9,-59.4,11797,21
192.8,4.5,-59.1,12144,14
181.8,4.2,-60.7,12511,9
172.1,3.9,-62.7,12849,8
162.9,3.53,-64.7,13186,6
153.9,3.88,-59.3,13537,5
144.4,5.26,-58.7,13935,1
136.3,5.55,-58.9,14298,1
130.2,5,-58,14585,1
124.8,4.46,-59,14854,1
119.3,4.47,-60.5,15134,1
114.5,4.49,-60.4,15391,1
109,5.15,-60.7,15697,1
103.5,5.16,-62.3,16019,1
99.3,5.33,-61.9,16277,1
95.1,5.57,-59.9,16539,1
91.1,7.04,-58.9,16812,1
87.1,7.27,-59.2,17091,1
83.1,8.75,-59.6,17384,1
79.2,10.79,-58.3,17690,1
75.4,8.52,-58,17999,1
72.1,9.4,-57.5,18282,1
68.9,10.38,-57.8,18568,1
65.6,11.77,-57.4,18871,1
62.3,12.01,-58.4,19199,1
59.5,10.57,-58.6,19494,1
56.7,10.08,-58,19787,1
54.1,10.3,-57.8,20085,1
51.6,10.94,-57.8,20382,1
49.4,11.79,-56.3,20664,1
47.1,11.98,-55.1,20966,1
44.8,12.04,-54.8,21279,1
42.6,12.42,-54.4,21614,1
40.5,12.42,-54.8,21923,1
38.6,11.79,-56.8,22230,1
36.8,12.59,-55.4,22535,1
35.1,11.68,-56.2,22832,///
33.5,10.7,-58.4,23134,///
31.8,10.62,-57.8,23461,///
30.3,12.34,-56.3,23770,///
28.8,13.27,-53.3,24082,///
27.5,13.44,-53,24392,///
26.1,13.1,-53.5,24724,///
24.7,13,-53.4,25083,///
23.4,12.49,-55.5,25437,///
22.1,11.91,-56.1,25787,///
20.9,11.39,-56.2,26140,///
19.9,10.82,-55,26464,///
18.9,10.7,-55.5,26775,///
18,10.71,-55.5,27095,///
17.1,10.62,-54,27435,///
16.2,10.43,-54.1,27776,///
15.3,9.52,-53.8,28137,///
14.4,10.03,-53.1,28514,///
13.6,9.98,-53.8,28877,///
12.9,8.91,-54.5,29222,///
12.3,8.16,-55,29535,///
11.7,7.43,-55,29856,///
11.1,7.06,-55.7,30189,///
10.6,6.89,-55.9,30520,///
